FileName :   09KS_04(A)_points.qtiDat 
Signal(s) Used :  Fe Ka, Si Ka, Cr Ka, Mg Ka, Ti Ka, Al Ka, Mn Ka, Ni Ka, Ca Ka 
Spectromers Conditions :   Sp5 LIF,  Sp1 LTAP,  Sp3 LLIF,  Sp4 TAP,  Sp2 PET,  Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp2 PET 
Full Spectromers Conditions :   Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Fe Ka, Si Ka, Cr Ka, Mg Ka, Ti Ka 
 	Cond 2 : Al Ka, Mn Ka, Ni Ka, Ca Ka 
Date :  1-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_31oct2013.qtiSet 
DataSet Comment :  09KS_04(A)_ol15 
Comment :   
Analysis Date :  31/10/2013 19:54:42 
Project Name :  Lucy Tweed 
Sample Name :  31 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp3(Cr Ka)	1815	350	3	560	816	Inte	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte 
Peak Position :   Sp5 48089 (-250, 300),  Sp1 27741 (-500, 300),  Sp3 56853 (-250, 300),  Sp4 38519 (-500, 500),  Sp2 31432 (-350, 250),  Sp4 32472 (-500, 500),  Sp5 52207 (200, 1.0221),  Sp3 41160 (-250, 300),  Sp2 38386 (-300, 250) 
Current Sample Position :   X = -10260 Y = 423 Z = 26 
Standard Name :   
 Fe On Fayalite 
 Si, Ca On Diopside 
 Cr On Cr 
 Mg On Olivine (St. Johns) 
 Ti On Rutile 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cr = Cr : 100.% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Fe : Fayalite_Fe257.calDat 
 Si : Diopside_Si_Si_Ca001.calDat 
 Cr : Cr_Cr_Cr003.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg016.calDat 
 Ti : Rutile_Ti_Ti030.calDat 
 Al : Cor_Al_Al017.calDat 
 Mn : Mn_Mn265.calDat 
 Ni : NiO_Ni065.calDat 
 Ca : Diopside_Si_Si_Ca_Ca020.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Fe	Si	Cr	Mg	Ti	Al	Mn	Ni	Ca	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	8.6599	18.9648	0.0428	28.3006	0.0041	0.0171	0.1339	0.2019	0.1708	42.9191	99.4150	-15184.	8303.	57.	09KS_04(A)_ol1	 1	31/10/2013 14:57:20	
2 / 1 . 	8.4622	19.0022	0.0042	28.3300	0.0006	0.0154	0.1266	0.2229	0.1772	42.9089	99.2502	-15160.	8470.	57.	09KS_04(A)_ol1	 2	31/10/2013 15:04:04	
3 / 1 . 	8.6522	19.0074	0.0280	28.4579	0.0000	0.0165	0.1272	0.2167	0.1939	43.0659	99.7657	-14883.	8321.	55.	09KS_04(A)_ol1	 3	31/10/2013 15:10:54	
4 / 1 . 	10.6773	18.5817	0.0103	27.0760	0.0044	0.0099	0.1616	0.1490	0.0957	42.1970	98.9629	-12870.	8471.	44.	09KS_04(A)_ol2	 4	31/10/2013 15:17:40	
5 / 1 . 	10.2261	18.8938	0.0168	27.4427	0.0182	0.0114	0.1630	0.1497	0.1208	42.6889	99.7315	-12691.	8447.	44.	09KS_04(A)_ol2	 5	31/10/2013 15:24:26	
6 / 1 . 	10.3367	18.9147	0.0114	27.6379	0.0248	0.0141	0.1509	0.1477	0.1119	42.8696	100.2197	-12933.	8322.	47.	09KS_04(A)_ol2	 6	31/10/2013 15:31:14	
7 / 1 . 	9.7130	18.9134	0.0195	27.6948	0.0057	0.0261	0.1431	0.1876	0.2329	42.7853	99.7211	-10730.	8762.	40.	09KS_04(A)_ol3	 7	31/10/2013 15:38:02	
8 / 1 . 	10.1042	18.9678	0.0265	27.2824	0.0046	0.0286	0.1435	0.1760	0.2259	42.6867	99.6460	-10636.	8751.	41.	09KS_04(A)_ol3	 8	31/10/2013 15:44:48	
9 / 1 . 	9.8306	18.7236	0.0253	27.6161	0.0040	0.0244	0.1508	0.1794	0.2270	42.5487	99.3299	-10659.	8633.	36.	09KS_04(A)_ol3	 9	31/10/2013 15:51:34	
10 / 1 . 	8.4829	19.0664	0.0033	28.1976	0.0029	0.0373	0.1346	0.1873	0.2199	42.9312	99.2635	-5639.	6180.	17.	09KS_04(A)_ol4	 10	31/10/2013 15:58:20	
11 / 1 . 	8.6873	19.0934	0.0211	28.3705	0.0006	0.0389	0.1146	0.1958	0.2224	43.1399	99.8846	-5534.	6163.	16.	09KS_04(A)_ol4	 11	31/10/2013 16:05:08	
12 / 1 . 	8.6548	19.0791	0.0065	28.3658	0.0025	0.0371	0.1205	0.1968	0.2225	43.1062	99.7918	-5643.	6057.	18.	09KS_04(A)_ol4	 12	31/10/2013 16:11:56	
13 / 1 . 	8.2386	19.1182	0.0398	28.4897	0.0100	0.0377	0.1274	0.2549	0.2254	43.1529	99.6946	-9324.	5228.	30.	09KS_04(A)_ol5	 13	31/10/2013 16:18:43	
14 / 1 . 	8.3612	19.1364	0.0182	28.4691	0.0071	0.0387	0.1169	0.2539	0.2271	43.1815	99.8100	-9235.	5278.	30.	09KS_04(A)_ol5	 14	31/10/2013 16:25:27	
15 / 1 . 	8.2433	19.0925	0.0347	28.4550	0.0000	0.0361	0.1266	0.2510	0.2353	43.0899	99.5644	-9382.	5052.	32.	09KS_04(A)_ol5	 15	31/10/2013 16:32:10	
16 / 1 . 	8.9414	18.9663	0.0328	27.9754	0.0070	0.0358	0.1391	0.2412	0.2359	42.8396	99.4145	-12482.	4352.	42.	09KS_04(A)_ol6	 16	31/10/2013 16:38:54	
17 / 1 . 	8.8113	18.9758	0.0459	28.1623	0.0084	0.0349	0.1347	0.2397	0.2310	42.9388	99.5828	-12386.	4274.	42.	09KS_04(A)_ol6	 17	31/10/2013 16:45:39	
