Ref_number,Sample_number,Volcanic_zone,System,Eruption,Location,Phase,Phase_number,Point_number,Core_rim,Profile_distance,Pheno_xeno_nod_gm,Texture,Inclusion,Hostref,Machine,Lab,Analyst,Comment,Point,Date,Notes,SiO2,TiO2,Al203,Cr2O3,V2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,SO2,F,Cl,Total,SiO2_err,TiO2_err,Al2O3_err,Cr2O3_err,V2O3_err,Fe2O3_err,FeO_err,MnO_err,MgO_err,CaO_err,Na2O_err,K2O_err,P2O5_err,NiO_err,SO2_err,F_err,Cl_err,SiO2_dl,TiO2_dl,Al203_dl,Cr2O3_dl,V2O3_dl,Fe2O3_dl,FeO_dl,MnO_dl,MgO_dl,CaO_dl,Na2O_dl,K2O_dl,P2O5_dl,NiO_dl,SO2_dl,F_dl,Cl_dl,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol1,1,31/10/2013,0.0000,40.5727,0.0068,0.0323,0.0626,0.0000,0.0000,11.1409,0.1729,46.9309,0.2389,0.0000,0.0000,0.0000,0.2570,0.0000,0.0000,0.0000,99.4150,0.6156,0.0220,0.0036,0.0255,0.0000,0.0000,0.4543,0.0188,1.4123,0.0094,0.0000,9.0000,0.0000,0.0150,0.0000,0.0000,0.0000,25.0000,263.0000,4.0000,276.0000,0.0000,0.0000,940.0000,188.0000,443.0000,65.0000,0.0000,9.0000,0.0000,143.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol1,2,31/10/2013,0.0000,40.6528,0.0011,0.0290,0.0061,0.0000,0.0000,10.8866,0.1635,46.9796,0.2479,0.0000,0.0000,0.0000,0.2836,0.0000,0.0000,0.0000,99.2502,0.6168,0.0225,0.0035,0.0268,0.0000,0.0000,0.4459,0.0192,1.4137,0.0094,0.0000,9.0000,0.0000,0.0152,0.0000,0.0000,0.0000,250.0000,270.0000,40.0000,320.0000,0.0000,0.0000,898.0000,197.0000,446.0000,64.0000,0.0000,9.0000,0.0000,141.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol1,3,31/10/2013,0.0000,40.6639,0.0000,0.0311,0.0409,0.0000,0.0000,11.1310,0.1643,47.1917,0.2712,0.0000,0.0000,0.0000,0.2758,0.0000,0.0000,0.0000,99.7699,0.6170,0.0218,0.0036,0.0261,0.0000,0.0000,0.4538,0.0191,1.4200,0.0099,0.0000,9.0000,0.0000,0.0154,0.0000,0.0000,0.0000,250.0000,265.0000,41.0000,295.0000,0.0000,0.0000,942.0000,195.0000,44.0000,65.0000,0.0000,9.0000,0.0000,144.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol2,4,31/10/2013,0.0000,39.7533,0.0073,0.0187,0.0150,0.0000,0.0000,13.7363,0.2087,44.9000,0.1339,0.0000,0.0000,0.0000,0.1897,0.0000,0.0000,0.0000,98.9629,0.6033,0.0222,0.0036,0.0254,0.0000,0.0000,0.5312,0.0203,1.3522,0.0075,0.0000,9.0000,0.0000,0.0142,0.0000,0.0000,0.0000,250.0000,265.0000,41.0000,299.0000,0.0000,0.0000,947.0000,199.0000,437.0000,65.0000,0.0000,9.0000,0.0000,14.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol2,5,31/10/2013,0.0000,40.4210,0.0304,0.0216,0.0245,0.0000,0.0000,13.1558,0.2104,45.5082,0.1690,0.0000,0.0000,0.0000,0.1905,0.0000,0.0000,0.0000,99.7315,0.6133,0.0229,0.0036,0.0256,0.0000,0.0000,0.5138,0.0200,1.3702,0.0080,0.0000,9.0000,0.0000,0.0143,0.0000,0.0000,0.0000,250.0000,266.0000,41.0000,297.0000,0.0000,0.0000,929.0000,19.0000,441.0000,6.0000,0.0000,9.0000,0.0000,146.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol2,6,31/10/2013,0.0000,40.4656,0.0414,0.0266,0.0167,0.0000,0.0000,13.2981,0.1949,45.8319,0.1565,0.0000,0.0000,0.0000,0.1880,0.0000,0.0000,0.0000,100.2197,0.6139,0.0228,0.0036,0.0253,0.0000,0.0000,0.5159,0.0202,1.3796,0.0079,0.0000,9.0000,0.0000,0.0142,0.0000,0.0000,0.0000,250.0000,262.0000,41.0000,297.0000,0.0000,0.0000,853.0000,202.0000,439.0000,65.0000,0.0000,9.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol3,7,31/10/2013,0.0000,40.4627,0.0095,0.0493,0.0285,0.0000,0.0000,12.4957,0.1847,45.9262,0.3259,0.0000,0.0000,0.0000,0.2387,0.0000,0.0000,0.0000,99.7211,0.6139,0.0214,0.0038,0.0259,0.0000,0.0000,0.4924,0.0192,1.3823,0.0110,0.0000,9.0000,0.0000,0.0148,0.0000,0.0000,0.0000,249.0000,254.0000,41.0000,300.0000,0.0000,0.0000,899.0000,191.0000,441.0000,65.0000,0.0000,9.0000,0.0000,144.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol3,8,31/10/2013,0.0000,40.5792,0.0076,0.0540,0.0387,0.0000,0.0000,12.9990,0.1853,45.2423,0.3160,0.0000,0.0000,0.0000,0.2239,0.0000,0.0000,0.0000,99.6460,0.6156,0.0226,0.0038,0.0264,0.0000,0.0000,0.5078,0.0198,1.3621,0.0108,0.0000,9.0000,0.0000,0.0145,0.0000,0.0000,0.0000,24.0000,269.0000,41.0000,301.0000,0.0000,0.0000,91.0000,199.0000,436.0000,65.0000,0.0000,9.0000,0.0000,143.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol3,9,31/10/2013,0.0000,40.0568,0.0066,0.0461,0.0370,0.0000,0.0000,12.6470,0.1947,45.7958,0.3176,0.0000,0.0000,0.0000,0.2282,0.0000,0.0000,0.0000,99.3299,0.6078,0.0217,0.0038,0.0268,0.0000,0.0000,0.4978,0.0198,1.3786,0.0108,0.0000,0.0000,0.0000,0.0148,0.0000,0.0000,0.0000,250.0000,25.0000,41.0000,306.0000,0.0000,0.0000,923.0000,196.0000,445.0000,65.0000,0.0000,0.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol4,10,31/10/2013,0.0000,40.7902,0.0048,0.0706,0.0048,0.0000,0.0000,10.9132,0.1739,46.7600,0.3077,0.0000,0.0000,0.0000,0.2383,0.0000,0.0000,0.0000,99.2635,0.6189,0.0219,0.0039,0.0259,0.0000,0.0000,0.4472,0.0191,1.4071,0.0107,0.0000,9.0000,0.0000,0.0149,0.0000,0.0000,0.0000,252.0000,263.0000,40.0000,309.0000,0.0000,0.0000,934.0000,193.0000,439.0000,66.0000,0.0000,9.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol4,11,31/10/2013,0.0000,40.8479,0.0011,0.0735,0.0309,0.0000,0.0000,11.1762,0.1480,47.0467,0.3112,0.0000,0.0000,0.0000,0.2492,0.0000,0.0000,0.0000,99.8846,0.6198,0.0229,0.0040,0.0268,0.0000,0.0000,0.4548,0.0195,1.4157,0.0107,0.0000,9.0000,0.0000,0.0151,0.0000,0.0000,0.0000,251.0000,275.0000,41.0000,309.0000,0.0000,0.0000,910.0000,204.0000,438.0000,65.0000,0.0000,9.0000,0.0000,146.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol4,12,31/10/2013,0.0000,40.8174,0.0041,0.0701,0.0095,0.0000,0.0000,11.1343,0.1557,47.0390,0.3113,0.0000,0.0000,0.0000,0.2505,0.0000,0.0000,0.0000,99.7918,0.6192,0.0220,0.0040,0.0260,0.0000,0.0000,0.4524,0.0191,1.4153,0.0107,0.0000,9.0000,0.0000,0.0152,0.0000,0.0000,0.0000,248.0000,263.0000,41.0000,309.0000,0.0000,0.0000,918.0000,197.0000,451.0000,65.0000,0.0000,9.0000,0.0000,147.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol5,13,31/10/2013,0.0000,40.9009,0.0166,0.0713,0.0582,0.0000,0.0000,10.5989,0.1645,47.2444,0.3154,0.0000,0.0000,0.0000,0.3243,0.0000,0.0000,0.0000,99.6946,0.6205,0.0216,0.0040,0.0268,0.0000,0.0000,0.4374,0.0186,1.4215,0.0108,0.0000,9.0000,0.0000,0.0160,0.0000,0.0000,0.0000,249.0000,255.0000,41.0000,297.0000,0.0000,0.0000,906.0000,188.0000,445.0000,65.0000,0.0000,9.0000,0.0000,144.0000,0.0000,0.0000,0.0000,
