Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment	Point	Date	Notes			SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8256	-13223	7892	0	0	0	40.5188	0	0	0	47.0262	0.0645	0	0	0	0	0	11.3843	0	0	0	0.0506	0	0	0.4668	0	0	0	0.7417	0.0283	0	0.0211	0	9	0	0.5344	0	0	0	0	0	250	0	0	0	443	313	0	257	0	9	0	935	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7435	-13257	7765	0	1	0	40.608	0	0	0	46.8528	0.0585	0	0	0	0	0	11.3995	0	0	0	0.0471	1	0	0.4677	0	0	0	0.7386	0.0269	0	0.0218	0	9	0	0.5331	0	0	0	1	0	249	0	0	0	447	298	0	264	0	9	0	91	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.799	-13125	7713	0	1	0	40.741	0	0	0	46.775	0.0597	0	0	0	0	0	11.4007	0	0	0	0.0497	1	0	0.4687	0	0	0	0.7358	0.026	0	0.0212	0	9	0	0.5287	0	0	0	1	0	242	0	0	0	43	286	0	260	0	9	0	916	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4513	-10910	7685	0	1	0	40.6376	0	0	0	46.6259	0.0612	0	0.0105	0	0	0	11.2767	0	0	0	0.0604	1	0	0.468	0	0	0	0.7352	0.0279	0	0.0223	0	9	0	0.5284	0	0	0	1	0	246	0	0	0	445	309	0	265	0	9	0	897	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.9921	-10910	7810	0	1	0	40.4155	0	0	0	46.7874	0.0473	0	0.0134	0	0	0	11.8842	0	0	0	0.0514	1	0	0.4657	0	0	0	0.7383	0.0279	0	0.0215	0	9	0	0.5528	0	0	0	1	0	252	0	0	0	443	31	0	25	0	9	0	917	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.359	-10910	7626	0	1	0	40.5461	0	0	0	46.8188	0.0558	0	0.0092	0	0	0	11.0764	0	0	0	0.0608	1	0	0.4666	0	0	0	0.7367	0.0264	0	0.021	0	9	0	0.5178	0	0	0	1	0	240	0	0	0	43	294	0	250	0	9	0	970	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7574	-8451	8073	0	1	0	40.498	0	0	0	46.7773	0.0506	0	0.0033	0	0	0	11.5722	0	0	0	0.0629	1	0	0.466	0	0	0	0.736	0.0267	0	0.0217	0	9	0	0.5346	0	0	0	1	0	242	0	0	0	431	300	0	260	0	9	0	850	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.3211	-8330	8079	0	1	0	40.5227	0	0	0	46.8396	0.0512	0	0.0064	0	0	0	11.0211	0	0	0	0.0702	1	0	0.4667	0	0	0	0.7384	0.0273	0	0.0221	0	9	0	0.5191	0	0	0	1	0	247	0	0	0	444	306	0	264	0	9	0	923	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.3981	-8301	7944	0	1	0	40.6449	0	0	0	46.5365	0.0296	0	0	0	0	0	11.3065	0	0	0	0.0662	1	0	0.4677	0	0	0	0.7325	0.0258	0	0.0211	0	0	0	0.5245	0	0	0	1	0	244	0	0	0	434	297	0	254	0	0	0	811	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5677	-6439	7910	0	1	0	40.7249	0	0	0	46.6948	0.0499	0	0.0028	0	0	0	11.2315	0	0	0	0.0747	1	0	0.4691	0	0	0	0.7367	0.027	0	0.0224	0	9	0	0.528	0	0	0	1	0	249	0	0	0	449	302	0	268	0	9	0	899	0	0	0		
