FileName :   CHRG10_5D_points.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp2 PET,  Sp3 LLIF,  Sp5 LIF,  Sp4 TAP,  Sp2 PET,  Sp5 LIF,  Sp3 LLIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  4-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_1nov2013.qtiSet 
DataSet Comment :  CHRG10_5D_ol1 
Comment :   
Analysis Date :  03/11/2013 09:58:47 
Project Name :  Lucy Tweed 
Sample Name :  1 November 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp3(Cr Ka)	1819	362	3	560	816	Inte	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte 
Peak Position :   Sp4 38519 (-500, 500),  Sp1 27734 (-500, 300),  Sp2 31420 (-350, 250),  Sp3 56855 (-250, 300),  Sp5 48105 (-250, 300),  Sp4 32470 (-500, 500),  Sp2 38381 (-300, 250),  Sp5 52217 (200, 1.0221),  Sp3 41162 (-250, 300) 
Current Sample Position :   X = 9880 Y = 3741 Z = -28 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 Ti On Rutile 
 Cr On Cr 
 Fe On Fayalite 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg017.calDat 
 Si, Ca : Diopside_Si_Si_Ca003.calDat 
 Ti : Rutile_Ti236.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Fe : Fayalite_Fe_Fe002.calDat 
 Al : Cor_Al_Al018.calDat 
 Mn : Mn_Mn_Mn004.calDat 
 Ni : NiO_Ni_Ni002.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	Ti	Cr	Fe	Al	Ca	Mn	Ni	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	23.6356	17.9952	0.0000	0.0013	16.3659	0.0212	0.1848	0.2514	0.1075	40.9469	99.5097	9880.	3741.	-28.	CHRG10_5D_ol1	 1	03/11/2013 09:58:47	
2 / 1 . 	23.7633	18.0200	0.0176	0.0000	16.4594	0.0200	0.1788	0.2373	0.0997	41.0863	99.8822	9947.	3901.	-30.	CHRG10_5D_ol1	 2	03/11/2013 10:06:27	
3 / 1 . 	23.6913	17.8821	0.0202	0.0000	16.1528	0.0227	0.1881	0.2549	0.1106	40.8085	99.1312	10034.	3736.	-32.	CHRG10_5D_ol1	 3	03/11/2013 10:13:15	
4 / 1 . 	25.2521	18.3329	0.0165	0.0071	13.2611	0.0249	0.1875	0.2067	0.1031	41.5103	98.9022	11241.	4522.	-34.	CHRG10_5D_ol2	 4	03/11/2013 10:20:03	
5 / 1 . 	25.4736	18.3934	0.0242	0.0000	13.2768	0.0247	0.1893	0.2244	0.0928	41.7300	99.4293	11215.	4373.	-35.	CHRG10_5D_ol2	 5	03/11/2013 10:26:54	
6 / 1 . 	25.5466	18.5004	0.0204	0.0037	13.3303	0.0244	0.1982	0.2133	0.0964	41.9198	99.8534	11340.	4383.	-35.	CHRG10_5D_ol2	 6	03/11/2013 10:33:42	
7 / 1 . 	25.4284	18.3537	0.0143	0.0191	13.7442	0.0249	0.1964	0.2170	0.1231	41.8045	99.9255	12559.	4621.	-40.	CHRG10_5D_ol3	 7	03/11/2013 10:40:26	
8 / 1 . 	25.2730	18.3058	0.0189	0.0036	13.3583	0.0251	0.1945	0.2157	0.1241	41.5323	99.0513	12527.	4476.	-41.	CHRG10_5D_ol3	 8	03/11/2013 10:47:11	
9 / 1 . 	25.4273	18.3758	0.0056	0.0075	13.7427	0.0246	0.1885	0.2163	0.1156	41.8117	99.9156	12634.	4386.	-41.	CHRG10_5D_ol3	 9	03/11/2013 10:53:55	
10 / 1 . 	23.8526	18.1205	0.0010	0.0002	16.3303	0.0227	0.1205	0.1999	0.0980	41.1807	99.9264	13885.	4581.	-46.	CHRG10_5D_ol4	 10	03/11/2013 11:00:41	
11 / 1 . 	24.0583	18.1448	0.0114	0.0144	15.8742	0.0230	0.1178	0.2178	0.1036	41.2326	99.7979	13882.	4467.	-45.	CHRG10_5D_ol4	 11	03/11/2013 11:07:30	
12 / 1 . 	23.8865	18.0046	0.0175	0.0000	16.0720	0.0203	0.1179	0.2155	0.1083	41.0097	99.4525	13773.	4537.	-47.	CHRG10_5D_ol4	 12	03/11/2013 11:14:20	
13 / 1 . 	26.0247	18.5067	0.0232	0.0285	12.7211	0.0275	0.1971	0.2094	0.1286	42.0904	99.9573	14893.	4142.	-52.	CHRG10_5D_ol5	 13	03/11/2013 11:21:04	
14 / 1 . 	26.0257	18.4682	0.0031	0.0220	12.9169	0.0256	0.1912	0.2086	0.1362	42.0847	100.0822	15100.	4070.	-52.	CHRG10_5D_ol5	 14	03/11/2013 11:27:55	
15 / 1 . 	26.0658	18.5412	0.0000	0.0144	12.6411	0.0240	0.2002	0.1936	0.1272	42.0964	99.9039	15163.	3868.	-53.	CHRG10_5D_ol5	 15	03/11/2013 11:34:43	
16 / 1 . 	25.4707	18.2968	0.0116	0.0147	13.4566	0.0258	0.1854	0.2219	0.1196	41.6783	99.4815	16451.	3528.	-61.	CHRG10_5D_ol6	 16	03/11/2013 11:41:32	
17 / 1 . 	25.5662	18.4082	0.0176	0.0060	13.2771	0.0277	0.1917	0.2115	0.1201	41.8179	99.6440	16587.	3454.	-61.	CHRG10_5D_ol6	 17	03/11/2013 11:48:20	
