FileName :   MH2013_G(B)_points.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp2 PET,  Sp3 LLIF,  Sp5 LIF,  Sp4 TAP,  Sp2 PET,  Sp5 LIF,  Sp3 LLIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  4-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_1nov2013.qtiSet 
DataSet Comment :  MH2013_G(B)_ol1 
Comment :   
Analysis Date :  03/11/2013 22:42:07 
Project Name :  Lucy Tweed 
Sample Name :  1 November 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp3(Cr Ka)	1819	362	3	560	816	Inte	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte 
Peak Position :   Sp4 38519 (-500, 500),  Sp1 27734 (-500, 300),  Sp2 31420 (-350, 250),  Sp3 56855 (-250, 300),  Sp5 48105 (-250, 300),  Sp4 32470 (-500, 500),  Sp2 38381 (-300, 250),  Sp5 52217 (200, 1.0221),  Sp3 41162 (-250, 300) 
Current Sample Position :   X = -11884 Y = -33625 Z = -116 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 Ti On Rutile 
 Cr On Cr 
 Fe On Fayalite 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg017.calDat 
 Si, Ca : Diopside_Si_Si_Ca003.calDat 
 Ti : Rutile_Ti236.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Fe : Fayalite_Fe_Fe002.calDat 
 Al : Cor_Al_Al018.calDat 
 Mn : Mn_Mn_Mn004.calDat 
 Ni : NiO_Ni_Ni002.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	Ti	Cr	Fe	Al	Ca	Mn	Ni	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	27.4344	18.8093	0.0082	0.0283	9.8670	0.0333	0.2514	0.1491	0.1640	42.5543	99.2993	-11884.	-33625.	-116.	MH2013_G(B)_ol1	 1	03/11/2013 22:42:07	
2 / 1 . 	27.4780	18.8352	0.0024	0.0415	9.9805	0.0321	0.2551	0.1555	0.1806	42.6541	99.6151	-11870.	-33879.	-117.	MH2013_G(B)_ol1	 2	03/11/2013 22:48:56	
3 / 1 . 	27.6013	18.8689	0.0000	0.0193	10.0436	0.0352	0.2531	0.1445	0.1742	42.7746	99.9148	-12185.	-33843.	-117.	MH2013_G(B)_ol1	 3	03/11/2013 22:55:39	
4 / 1 . 	29.0435	19.0984	0.0049	0.0716	7.3458	0.0433	0.2509	0.1180	0.2545	43.2626	99.4933	-15092.	-35144.	-117.	MH2013_G(B)_ol2	 4	03/11/2013 23:02:27	
5 / 1 . 	29.0292	19.0967	0.0000	0.0704	7.4548	0.0424	0.2451	0.1255	0.2507	43.2752	99.5899	-14929.	-35366.	-122.	MH2013_G(B)_ol2	 5	03/11/2013 23:09:16	
6 / 1 . 	28.9836	19.1091	0.0000	0.0755	7.5997	0.0378	0.2523	0.1127	0.2501	43.2971	99.7178	-14907.	-34868.	-117.	MH2013_G(B)_ol2	 6	03/11/2013 23:16:08	
7 / 1 . 	28.6665	19.0859	0.0006	0.0584	7.9476	0.0320	0.2541	0.1208	0.2418	43.1523	99.5600	-17281.	-31905.	-93.	MH2013_G(B)_ol3a	 7	03/11/2013 23:22:56	
8 / 1 . 	28.6182	19.0022	0.0043	0.0530	8.1312	0.0313	0.2552	0.1271	0.2327	43.0769	99.5321	-17183.	-31873.	-93.	MH2013_G(B)_ol3a	 8	03/11/2013 23:29:41	
9 / 1 . 	28.6220	19.0171	0.0000	0.0501	8.0495	0.0311	0.2556	0.1179	0.2349	43.0583	99.4365	-17239.	-31998.	-93.	MH2013_G(B)_ol3a	 9	03/11/2013 23:36:29	
10 / 1 . 	27.9559	18.9374	0.0043	0.0402	9.3946	0.0354	0.2414	0.1342	0.1870	42.9110	99.8415	-14531.	-29552.	-87.	MH2013_G(B)_ol4	 10	03/11/2013 23:43:13	
11 / 1 . 	27.9981	18.9876	0.0000	0.0481	9.2755	0.0357	0.2441	0.1343	0.1892	42.9570	99.8697	-14401.	-29705.	-88.	MH2013_G(B)_ol4	 11	03/11/2013 23:49:56	
12 / 1 . 	27.9809	19.0239	0.0187	0.0277	9.2461	0.0360	0.2536	0.1481	0.1902	42.9976	99.9229	-14612.	-29850.	-87.	MH2013_G(B)_ol4	 12	03/11/2013 23:56:40	
13 / 1 . 	27.8948	18.9302	0.0109	0.0251	9.4593	0.0276	0.2522	0.1527	0.1926	42.8828	99.8283	-11436.	-28699.	-89.	MH2013_G(B)_ol5	 13	04/11/2013 00:03:26	
14 / 1 . 	27.7036	18.9054	0.0000	0.0375	9.8525	0.0260	0.2559	0.1494	0.1664	42.8315	99.9282	-11234.	-28817.	-88.	MH2013_G(B)_ol5	 14	04/11/2013 00:10:12	
15 / 1 . 	27.7533	18.9499	0.0000	0.0194	9.6521	0.0250	0.2409	0.1509	0.1722	42.8435	99.8072	-11149.	-29008.	-90.	MH2013_G(B)_ol5	 15	04/11/2013 00:16:58	
16 / 1 . 	27.6295	18.8898	0.0089	0.0406	9.4082	0.0328	0.2384	0.1479	0.1845	42.6488	99.2293	-7439.	-27090.	-84.	MH2013_G(B)_ol6	 16	04/11/2013 00:23:47	
17 / 1 . 	27.6248	18.8944	0.0000	0.0366	9.4376	0.0327	0.2438	0.1461	0.1866	42.6522	99.2547	-7197.	-26936.	-86.	MH2013_G(B)_ol6	 17	04/11/2013 00:30:30	
18 / 1 . 	27.7270	18.9342	0.0000	0.0333	9.6986	0.0313	0.2399	0.1531	0.1814	42.8349	99.8336	-7141.	-27039.	-85.	MH2013_G(B)_ol6	 18	04/11/2013 00:37:16	
19 / 1 . 	28.1781	18.9209	0.0059	0.0457	9.0308	0.0313	0.2542	0.1306	0.1969	42.9408	99.7352	-3755.	-26379.	-92.	MH2013_G(B)_ol7	 19	04/11/2013 00:44:04	
20 / 1 . 	28.0895	19.0318	0.0022	0.0521	8.9217	0.0370	0.2522	0.1284	0.2052	42.9840	99.7039	-3771.	-26745.	-92.	MH2013_G(B)_ol7	 20	04/11/2013 00:50:54	
21 / 1 . 	28.1709	19.0398	0.0190	0.0429	8.9103	0.0352	0.2569	0.1401	0.2136	43.0565	99.8852	-3423.	-26576.	-92.	MH2013_G(B)_ol7	 21	04/11/2013 00:57:41	
22 / 1 . 	28.7077	19.1256	0.0083	0.1038	8.2962	0.0544	0.2567	0.1190	0.2612	43.3764	100.3093	-4794.	-21795.	-62.	MH2013_G(B)_ol8	 22	04/11/2013 01:04:27	
23 / 1 . 	28.5878	19.0734	0.0140	0.0799	7.9513	0.0545	0.2621	0.1176	0.2633	43.1345	99.5384	-4519.	-21509.	-61.	MH2013_G(B)_ol8	 23	04/11/2013 01:11:13	
24 / 1 . 	28.4949	19.0099	0.0010	0.0879	8.2233	0.0540	0.2594	0.1270	0.2563	43.0731	99.5868	-4214.	-21945.	-64.	MH2013_G(B)_ol8	 24	04/11/2013 01:17:59	
25 / 1 . 	27.7624	18.9603	0.0101	0.0516	9.5905	0.0341	0.2447	0.1491	0.1967	42.8821	99.8815	-12678.	-25018.	-65.	MH2013_G(B)_ol10	 25	04/11/2013 01:24:45	
26 / 1 . 	27.7222	18.8960	0.0000	0.0403	9.5685	0.0384	0.2436	0.1618	0.1944	42.7702	99.6353	-12358.	-24961.	-65.	MH2013_G(B)_ol10	 26	04/11/2013 01:31:32	
27 / 1 . 	27.7143	18.9225	0.0000	0.0516	9.6026	0.0375	0.2477	0.1534	0.1925	42.8071	99.7293	-12387.	-25158.	-65.	MH2013_G(B)_ol10	 27	04/11/2013 01:38:18	
28 / 1 . 	29.7369	19.2968	0.0094	0.0655	6.3881	0.0470	0.2565	0.1107	0.3031	43.6877	99.9018	-15397.	-26463.	-66.	MH2013_G(B)_ol11	 28	04/11/2013 01:45:05	
29 / 1 . 	29.4551	19.2261	0.0117	0.0771	6.5496	0.0453	0.2530	0.1070	0.3106	43.4729	99.5083	-15205.	-26540.	-66.	MH2013_G(B)_ol11	 29	04/11/2013 01:51:55	
30 / 1 . 	29.5411	19.2393	0.0138	0.0657	6.5230	0.0453	0.2582	0.1255	0.3151	43.5418	99.6687	-14973.	-26608.	-66.	MH2013_G(B)_ol11	 30	04/11/2013 01:58:43	
31 / 1 . 	27.1456	18.8690	0.0016	0.0249	10.3815	0.0267	0.2591	0.1645	0.1616	42.5747	99.6093	-8617.	-23556.	-62.	MH2013_G(B)_ol9	 31	04/11/2013 02:05:29	
32 / 1 . 	27.2036	18.9036	0.0000	0.0253	10.4266	0.0245	0.2582	0.1626	0.1652	42.6567	99.8263	-8930.	-23692.	-62.	MH2013_G(B)_ol9	 32	04/11/2013 02:12:16	
33 / 1 . 	27.2458	18.8328	0.0089	0.0361	10.4394	0.0279	0.2572	0.1647	0.1630	42.6268	99.8026	-8918.	-23355.	-60.	MH2013_G(B)_ol9	 33	04/11/2013 02:19:04	
34 / 1 . 	28.2500	18.9761	0.0191	0.0599	8.6595	0.0366	0.2584	0.1418	0.2206	42.9763	99.5983	-20620.	-28280.	-68.	MH2013_G(B)_ol12	 34	04/11/2013 02:25:52	
35 / 1 . 	28.3146	19.1138	0.0000	0.0550	8.6166	0.0360	0.2685	0.1326	0.2258	43.1474	99.9103	-20230.	-28075.	-68.	MH2013_G(B)_ol12	 35	04/11/2013 02:32:40	
