FileName :   STAP01_13G(A)_points.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp2 PET,  Sp3 LLIF,  Sp5 LIF,  Sp4 TAP,  Sp2 PET,  Sp5 LIF,  Sp3 LLIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  4-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_1nov2013.qtiSet 
DataSet Comment :  STAP01_13G(A)_ol1 
Comment :   
Analysis Date :  02/11/2013 16:04:14 
Project Name :  Lucy Tweed 
Sample Name :  1 November 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp3(Cr Ka)	1819	362	3	560	816	Inte	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte 
Peak Position :   Sp4 38519 (-500, 500),  Sp1 27734 (-500, 300),  Sp2 31420 (-350, 250),  Sp3 56855 (-250, 300),  Sp5 48105 (-250, 300),  Sp4 32470 (-500, 500),  Sp2 38381 (-300, 250),  Sp5 52217 (200, 1.0221),  Sp3 41162 (-250, 300) 
Current Sample Position :   X = 12189 Y = -17417 Z = -227 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 Ti On Rutile 
 Cr On Cr 
 Fe On Fayalite 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg017.calDat 
 Si, Ca : Diopside_Si_Si_Ca003.calDat 
 Ti : Rutile_Ti236.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Fe : Fayalite_Fe_Fe002.calDat 
 Al : Cor_Al_Al018.calDat 
 Mn : Mn_Mn_Mn004.calDat 
 Ni : NiO_Ni_Ni002.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	MgO	SiO2	TiO2	Cr2O3	FeO	Al2O3	CaO	MnO	NiO	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	42.8371	39.5378	0.0042	0.0396	16.4339	0.0369	0.2963	0.2764	0.1604	99.6226	12189.	-17417.	-227.	STAP01_13G(A)_ol1	 1	02/11/2013 16:04:14	
2 / 1 . 	42.7531	39.8186	0.0118	0.0056	16.7566	0.0384	0.3016	0.2660	0.1688	100.1206	12393.	-17420.	-226.	STAP01_13G(A)_ol1	 2	02/11/2013 16:11:00	
3 / 1 . 	43.7529	39.9173	0.0259	0.0142	15.2456	0.0402	0.3000	0.2472	0.1838	99.7272	12478.	-17543.	-228.	STAP01_13G(A)_ol1	 3	02/11/2013 16:17:46	
4 / 1 . 	45.3262	40.2931	0.0000	0.0189	13.1813	0.0454	0.2676	0.2020	0.2057	99.5401	15111.	-16860.	-238.	STAP01_13G(A)_ol2	 4	02/11/2013 16:24:31	
5 / 1 . 	45.3739	40.3510	0.0189	0.0272	13.2151	0.0450	0.2660	0.1965	0.2160	99.7096	15256.	-16859.	-238.	STAP01_13G(A)_ol2	 5	02/11/2013 16:31:17	
6 / 1 . 	45.7378	40.3697	0.0171	0.0371	13.1355	0.0473	0.2724	0.2155	0.2220	100.0544	15305.	-17140.	-238.	STAP01_13G(A)_ol2	 6	02/11/2013 16:38:04	
7 / 1 . 	46.2885	40.6143	0.0103	0.0483	12.2371	0.0469	0.2638	0.1900	0.2631	99.9623	18172.	-20087.	-241.	STAP01_13G(A)_ol7	 7	02/11/2013 16:44:53	
8 / 1 . 	46.4233	40.5542	0.0000	0.0366	12.1955	0.0380	0.2685	0.1881	0.2644	99.9686	18234.	-20322.	-239.	STAP01_13G(A)_ol7	 8	02/11/2013 16:51:40	
9 / 1 . 	46.2858	40.5851	0.0175	0.0482	12.1254	0.0461	0.2775	0.1848	0.2666	99.8368	18416.	-20174.	-241.	STAP01_13G(A)_ol7	 9	02/11/2013 16:58:25	
10 / 1 . 	46.2050	40.4854	0.0246	0.0406	12.2951	0.0513	0.2803	0.1984	0.2832	99.8639	15120.	-20592.	-227.	STAP01_13G(A)_ol6	 10	02/11/2013 17:05:11	
11 / 1 . 	46.0924	40.3650	0.0007	0.0516	12.3217	0.0508	0.2748	0.2081	0.2725	99.6376	15319.	-20575.	-229.	STAP01_13G(A)_ol6	 11	02/11/2013 17:11:55	
12 / 1 . 	46.2017	40.4858	0.0149	0.0713	12.6176	0.0525	0.2778	0.1840	0.2786	100.1841	15223.	-20740.	-226.	STAP01_13G(A)_ol6	 12	02/11/2013 17:18:38	
13 / 1 . 	43.3032	39.7884	0.0070	0.0229	15.5387	0.0388	0.2767	0.2475	0.2248	99.4480	11297.	-21862.	-209.	STAP01_13G(A)_ol5	 13	02/11/2013 17:25:28	
14 / 1 . 	43.8827	39.8831	0.0025	0.0444	15.3926	0.0366	0.2826	0.2433	0.2286	99.9964	11655.	-21670.	-211.	STAP01_13G(A)_ol5	 14	02/11/2013 17:32:13	
15 / 1 . 	43.5599	39.6790	0.0000	0.0479	15.8200	0.0391	0.2711	0.2596	0.2246	99.9011	11599.	-22073.	-210.	STAP01_13G(A)_ol5	 15	02/11/2013 17:38:59	
16 / 1 . 	41.0156	39.0898	0.0105	0.0161	18.7865	0.0366	0.2908	0.3162	0.1340	99.6961	7279.	-22859.	-190.	STAP01_13G(A)_ol4	 16	02/11/2013 17:45:43	
17 / 1 . 	41.2431	39.2966	0.0000	0.0000	18.2742	0.0377	0.3021	0.3031	0.1515	99.6082	7724.	-22822.	-190.	STAP01_13G(A)_ol4	 17	02/11/2013 17:52:31	
18 / 1 . 	40.9060	39.3082	0.0004	0.0000	18.9247	0.0365	0.2905	0.3006	0.1347	99.9015	7592.	-23028.	-190.	STAP01_13G(A)_ol4	 18	02/11/2013 17:59:17	
