FileName :   STAP01_13G(A)_points.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp2 PET,  Sp3 LLIF,  Sp5 LIF,  Sp4 TAP,  Sp2 PET,  Sp5 LIF,  Sp3 LLIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  4-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_1nov2013.qtiSet 
DataSet Comment :  STAP01_13G(A)_ol1 
Comment :   
Analysis Date :  02/11/2013 16:04:14 
Project Name :  Lucy Tweed 
Sample Name :  1 November 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp3(Cr Ka)	1819	362	3	560	816	Inte	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte 
Peak Position :   Sp4 38519 (-500, 500),  Sp1 27734 (-500, 300),  Sp2 31420 (-350, 250),  Sp3 56855 (-250, 300),  Sp5 48105 (-250, 300),  Sp4 32470 (-500, 500),  Sp2 38381 (-300, 250),  Sp5 52217 (200, 1.0221),  Sp3 41162 (-250, 300) 
Current Sample Position :   X = 12189 Y = -17417 Z = -227 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 Ti On Rutile 
 Cr On Cr 
 Fe On Fayalite 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg017.calDat 
 Si, Ca : Diopside_Si_Si_Ca003.calDat 
 Ti : Rutile_Ti236.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Fe : Fayalite_Fe_Fe002.calDat 
 Al : Cor_Al_Al018.calDat 
 Mn : Mn_Mn_Mn004.calDat 
 Ni : NiO_Ni_Ni002.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	Ti	Cr	Fe	Al	Ca	Mn	Ni	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	25.8320	18.4810	0.0025	0.0271	12.7741	0.0195	0.2118	0.2141	0.1261	41.9345	99.6226	12189.	-17417.	-227.	STAP01_13G(A)_ol1	 1	02/11/2013 16:04:14	
2 / 1 . 	25.7813	18.6123	0.0071	0.0038	13.0250	0.0203	0.2155	0.2060	0.1326	42.1165	100.1206	12393.	-17420.	-226.	STAP01_13G(A)_ol1	 2	02/11/2013 16:11:00	
3 / 1 . 	26.3842	18.6584	0.0155	0.0097	11.8505	0.0213	0.2144	0.1915	0.1444	42.2372	99.7272	12478.	-17543.	-228.	STAP01_13G(A)_ol1	 3	02/11/2013 16:17:46	
4 / 1 . 	27.3329	18.8341	0.0000	0.0129	10.2459	0.0240	0.1913	0.1565	0.1616	42.5700	99.5292	15111.	-16860.	-238.	STAP01_13G(A)_ol2	 4	02/11/2013 16:24:31	
5 / 1 . 	27.3617	18.8611	0.0113	0.0186	10.2722	0.0238	0.1901	0.1522	0.1697	42.6488	99.7096	15256.	-16859.	-238.	STAP01_13G(A)_ol2	 5	02/11/2013 16:31:17	
6 / 1 . 	27.5812	18.8699	0.0102	0.0254	10.2103	0.0250	0.1947	0.1669	0.1745	42.7964	100.0544	15305.	-17140.	-238.	STAP01_13G(A)_ol2	 6	02/11/2013 16:38:04	
7 / 1 . 	27.9133	18.9842	0.0062	0.0330	9.5120	0.0248	0.1886	0.1472	0.2068	42.9464	99.9623	18172.	-20087.	-241.	STAP01_13G(A)_ol7	 7	02/11/2013 16:44:53	
8 / 1 . 	27.9945	18.9561	0.0000	0.0251	9.4796	0.0201	0.1919	0.1457	0.2078	42.9445	99.9653	18234.	-20322.	-239.	STAP01_13G(A)_ol7	 8	02/11/2013 16:51:40	
9 / 1 . 	27.9116	18.9706	0.0105	0.0330	9.4251	0.0244	0.1983	0.1431	0.2095	42.9108	99.8368	18416.	-20174.	-241.	STAP01_13G(A)_ol7	 9	02/11/2013 16:58:25	
10 / 1 . 	27.8629	18.9240	0.0147	0.0278	9.5570	0.0271	0.2003	0.1536	0.2226	42.8738	99.8639	15120.	-20592.	-227.	STAP01_13G(A)_ol6	 10	02/11/2013 17:05:11	
11 / 1 . 	27.7950	18.8677	0.0004	0.0353	9.5777	0.0269	0.1964	0.1611	0.2141	42.7629	99.6376	15319.	-20575.	-229.	STAP01_13G(A)_ol6	 11	02/11/2013 17:11:55	
12 / 1 . 	27.8609	18.9241	0.0089	0.0488	9.8077	0.0278	0.1986	0.1425	0.2189	42.9459	100.1841	15223.	-20740.	-226.	STAP01_13G(A)_ol6	 12	02/11/2013 17:18:38	
13 / 1 . 	26.1130	18.5982	0.0042	0.0156	12.0783	0.0206	0.1978	0.1916	0.1767	42.0520	99.4480	11297.	-21862.	-209.	STAP01_13G(A)_ol5	 13	02/11/2013 17:25:28	
14 / 1 . 	26.4625	18.6424	0.0015	0.0304	11.9647	0.0193	0.2020	0.1884	0.1796	42.3055	99.9964	11655.	-21670.	-211.	STAP01_13G(A)_ol5	 14	02/11/2013 17:32:13	
15 / 1 . 	26.2678	18.5470	0.0000	0.0328	12.2970	0.0207	0.1937	0.2011	0.1765	42.1623	99.8989	11599.	-22073.	-210.	STAP01_13G(A)_ol5	 15	02/11/2013 17:38:59	
16 / 1 . 	24.7335	18.2716	0.0063	0.0110	14.6029	0.0194	0.2078	0.2449	0.1053	41.4934	99.6961	7279.	-22859.	-190.	STAP01_13G(A)_ol4	 16	02/11/2013 17:45:43	
17 / 1 . 	24.8707	18.3683	0.0000	0.0000	14.2046	0.0200	0.2159	0.2348	0.1190	41.5729	99.6061	7724.	-22822.	-190.	STAP01_13G(A)_ol4	 17	02/11/2013 17:52:31	
18 / 1 . 	24.6675	18.3737	0.0002	0.0000	14.7102	0.0193	0.2076	0.2328	0.1059	41.5839	99.9010	7592.	-23028.	-190.	STAP01_13G(A)_ol4	 18	02/11/2013 17:59:17	
19 / 1 . 	27.3004	18.8291	0.0000	0.0296	10.8089	0.0268	0.1924	0.1680	0.1931	42.7334	100.2817	3708.	-24188.	-172.	STAP01_13G(A)_ol3	 19	02/11/2013 18:06:04	
20 / 1 . 	27.3099	18.7885	0.0168	0.0404	10.5520	0.0261	0.1880	0.1496	0.1918	42.6323	99.8954	3906.	-24154.	-173.	STAP01_13G(A)_ol3	 20	02/11/2013 18:12:53	
21 / 1 . 	27.2705	18.6922	0.0000	0.0402	10.6079	0.0250	0.1877	0.1620	0.1950	42.5038	99.6843	3912.	-24296.	-175.	STAP01_13G(A)_ol3	 21	02/11/2013 18:19:39	
22 / 1 . 	27.4009	18.7991	0.0147	0.0378	10.5844	0.0232	0.1885	0.1361	0.1792	42.7013	100.0653	3930.	-28620.	-164.	STAP01_13G(A)_ol8	 22	02/11/2013 18:26:26	
23 / 1 . 	27.3106	18.7913	0.0069	0.0269	10.6776	0.0279	0.1905	0.1687	0.1700	42.6614	100.0319	3980.	-28798.	-164.	STAP01_13G(A)_ol8	 23	02/11/2013 18:33:12	
24 / 1 . 	27.2695	18.8041	0.0012	0.0296	10.2908	0.0246	0.1957	0.1576	0.1733	42.5322	99.4786	4156.	-28667.	-164.	STAP01_13G(A)_ol8	 24	02/11/2013 18:39:57	
25 / 1 . 	27.9951	18.8666	0.0120	0.0424	9.3242	0.0267	0.1797	0.1619	0.2034	42.8223	99.6343	8307.	-27785.	-182.	STAP01_13G(A)_ol9	 25	02/11/2013 18:46:41	
26 / 1 . 	28.0270	18.9267	0.0000	0.0391	9.3421	0.0258	0.1813	0.1442	0.1986	42.8917	99.7765	8646.	-27773.	-182.	STAP01_13G(A)_ol9	 26	02/11/2013 18:53:32	
27 / 1 . 	28.1368	18.9617	0.0008	0.0473	9.4731	0.0248	0.1797	0.1448	0.2051	43.0552	100.2293	8731.	-27926.	-182.	STAP01_13G(A)_ol9	 27	02/11/2013 19:00:19	
28 / 1 . 	27.5894	18.7009	0.0000	0.0332	10.4450	0.0248	0.2059	0.1544	0.2037	42.6804	100.0377	12418.	-26429.	-203.	STAP01_13G(A)_ol10	 28	02/11/2013 19:07:03	
29 / 1 . 	27.3838	18.6848	0.0053	0.0392	10.4728	0.0248	0.1978	0.1545	0.1968	42.5373	99.6969	12703.	-26189.	-203.	STAP01_13G(A)_ol10	 29	02/11/2013 19:13:47	
30 / 1 . 	27.4123	18.7053	0.0000	0.0547	10.5613	0.0267	0.1978	0.1536	0.1962	42.6091	99.9169	12687.	-25962.	-204.	STAP01_13G(A)_ol10	 30	02/11/2013 19:20:32	
31 / 1 . 	27.2276	18.7052	0.0041	0.0156	10.7622	0.0235	0.1873	0.1544	0.1771	42.5183	99.7752	15860.	-25097.	-219.	STAP01_13G(A)_ol11	 31	02/11/2013 19:27:18	
32 / 1 . 	27.3238	18.7323	0.0045	0.0202	10.4699	0.0241	0.1800	0.1597	0.1839	42.5321	99.6303	16113.	-25060.	-221.	STAP01_13G(A)_ol11	 32	02/11/2013 19:34:02	
33 / 1 . 	27.2859	18.7686	0.0000	0.0182	10.6560	0.0236	0.1833	0.1622	0.1878	42.5989	99.8845	16278.	-24867.	-222.	STAP01_13G(A)_ol11	 33	02/11/2013 19:40:47	
34 / 1 . 	27.1993	18.6641	0.0063	0.0481	10.6732	0.0247	0.2090	0.1570	0.2099	42.4632	99.6548	19889.	-23582.	-243.	STAP01_13G(A)_ol12	 34	02/11/2013 19:47:33	
35 / 1 . 	27.2058	18.5336	0.0248	0.0553	10.5963	0.0260	0.2025	0.1559	0.1984	42.3075	99.3060	20244.	-24156.	-243.	STAP01_13G(A)_ol12	 35	02/11/2013 19:54:20	
36 / 1 . 	26.8896	18.6997	0.0052	0.0300	11.2134	0.0297	0.2013	0.1745	0.1936	42.4477	99.8847	20386.	-24107.	-241.	STAP01_13G(A)_ol12	 36	02/11/2013 20:01:04	
37 / 1 . 	28.2373	18.8730	0.0104	0.0446	9.0034	0.0278	0.1980	0.1372	0.2236	42.9035	99.6586	21773.	-21828.	-254.	STAP01_13G(A)_ol13	 37	02/11/2013 20:07:49	
38 / 1 . 	28.3073	18.9242	0.0105	0.0315	9.1152	0.0256	0.2010	0.1361	0.2267	43.0338	100.0119	21972.	-21953.	-254.	STAP01_13G(A)_ol13	 38	02/11/2013 20:14:34	
39 / 1 . 	28.0883	18.9301	0.0000	0.0513	9.0538	0.0276	0.2039	0.1349	0.2266	42.8824	99.5989	21947.	-22358.	-253.	STAP01_13G(A)_ol13	 39	02/11/2013 20:21:18	
40 / 1 . 	26.3759	18.5855	0.0203	0.0275	11.7533	0.0225	0.2048	0.1867	0.1762	42.1369	99.4897	22916.	-29212.	-246.	STAP01_13G(A)_ol22	 40	02/11/2013 20:28:04	
41 / 1 . 	26.4186	18.5891	0.0052	0.0358	12.0070	0.0215	0.2015	0.1847	0.1776	42.2329	99.8739	22633.	-28904.	-244.	STAP01_13G(A)_ol22	 41	02/11/2013 20:34:55	
42 / 1 . 	26.4878	18.4939	0.0141	0.0328	11.7612	0.0199	0.2112	0.1976	0.1765	42.1101	99.5051	22802.	-28936.	-246.	STAP01_13G(A)_ol22	 42	02/11/2013 20:41:40	
43 / 1 . 	27.8665	18.7477	0.0111	0.0541	9.5692	0.0233	0.2047	0.1498	0.2419	42.6910	99.5593	19135.	-27238.	-230.	STAP01_13G(A)_ol18	 43	02/11/2013 20:48:27	
44 / 1 . 	27.9333	18.8434	0.0047	0.0471	9.6168	0.0215	0.2044	0.1558	0.2238	42.8453	99.8962	19045.	-27358.	-229.	STAP01_13G(A)_ol18	 44	02/11/2013 20:55:12	
45 / 1 . 	27.9473	18.7806	0.0215	0.0393	9.6306	0.0220	0.2100	0.1415	0.2201	42.7920	99.8048	18892.	-27645.	-227.	STAP01_13G(A)_ol18	 45	02/11/2013 21:02:02	
46 / 1 . 	27.2298	18.6594	0.0012	0.0170	10.5890	0.0218	0.1908	0.1592	0.1788	42.4184	99.4655	15626.	-28744.	-210.	STAP01_13G(A)_ol17	 46	02/11/2013 21:08:49	
47 / 1 . 	27.2252	18.7816	0.0105	0.0125	11.1153	0.0236	0.1942	0.1628	0.1809	42.7140	100.4205	15755.	-28732.	-210.	STAP01_13G(A)_ol17	 47	02/11/2013 21:15:35	
