FileName :   CHRG10_5A_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  CHRG10_5A_ol1_1 
Comment :   
Analysis Date :  26/10/2013 11:29:19 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = -16604 Y = 3790 Z = -54 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	204.	235.	143.	471.	142.	74.	47.	175.		-16604.	3790.	-54.	CHRG10_5A_ol1_1	 1	26/10/2013 11:29:19	
2 / 1 . 	203.	238.	143.	484.	141.	73.	47.	170.		-16493.	3786.	-54.	CHRG10_5A_ol1_2	 2	26/10/2013 11:34:28	
3 / 1 . 	203.	239.	144.	485.	141.	73.	47.	173.		-16530.	3688.	-54.	CHRG10_5A_ol1_3	 3	26/10/2013 11:39:37	
4 / 1 . 	200.	240.	141.	467.	138.	70.	46.	165.		-15062.	4270.	-65.	CHRG10_5A_ol2_1	 4	26/10/2013 11:44:47	
5 / 1 . 	200.	228.	141.	459.	138.	71.	46.	168.		-14925.	4313.	-65.	CHRG10_5A_ol2_2	 5	26/10/2013 11:49:57	
6 / 1 . 	205.	237.	145.	473.	142.	73.	47.	174.		-14976.	4198.	-65.	CHRG10_5A_ol2_3	 6	26/10/2013 11:55:06	
7 / 1 . 	202.	243.	146.	516.	140.	75.	48.	174.		-12950.	4363.	-82.	CHRG10_5A_ol3_1	 7	26/10/2013 12:00:16	
8 / 1 . 	202.	237.	146.	500.	140.	74.	47.	172.		-12806.	4379.	-82.	CHRG10_5A_ol3_2	 8	26/10/2013 12:05:26	
9 / 1 . 	200.	242.	146.	500.	140.	74.	47.	173.		-12853.	4290.	-84.	CHRG10_5A_ol3_3	 9	26/10/2013 12:10:36	
10 / 1 . 	197.	237.	142.	485.	136.	71.	47.	168.		-11048.	4281.	-105.	CHRG10_5A_ol4_1	 10	26/10/2013 12:15:46	
11 / 1 . 	202.	235.	147.	494.	141.	74.	47.	172.		-10965.	3969.	-106.	CHRG10_5A_ol4_2	 11	26/10/2013 12:20:56	
12 / 1 . 	203.	235.	145.	491.	142.	73.	47.	177.		-11234.	3942.	-106.	CHRG10_5A_ol4_3	 12	26/10/2013 12:26:08	
13 / 1 . 	209.	222.	144.	444.	142.	73.	47.	172.		-8679.	3339.	-140.	CHRG10_5A_ol5_1	 13	26/10/2013 12:31:16	
14 / 1 . 	207.	229.	144.	468.	142.	73.	47.	173.		-8572.	3339.	-140.	CHRG10_5A_ol5_2	 14	26/10/2013 12:36:27	
15 / 1 . 	205.	232.	144.	447.	141.	73.	47.	174.		-8582.	3121.	-140.	CHRG10_5A_ol5_3	 15	26/10/2013 12:41:36	
16 / 1 . 	204.	232.	147.	472.	142.	73.	47.	175.		-10105.	1647.	-141.	CHRG10_5A_ol6_1	 16	26/10/2013 12:46:46	
17 / 1 . 	203.	235.	142.	477.	141.	73.	47.	173.		-10022.	1714.	-141.	CHRG10_5A_ol6_2	 17	26/10/2013 12:51:55	
18 / 1 . 	204.	223.	144.	480.	141.	73.	47.	174.		-10023.	1591.	-141.	CHRG10_5A_ol6_3	 18	26/10/2013 12:57:05	
19 / 1 . 	206.	238.	146.	474.	143.	74.	47.	173.		-11986.	2300.	-116.	CHRG10_5A_ol7_1	 19	26/10/2013 13:02:14	
20 / 1 . 	206.	227.	146.	463.	141.	73.	47.	174.		-11860.	2287.	-116.	CHRG10_5A_ol7_2	 20	26/10/2013 13:07:26	
21 / 1 . 	205.	233.	145.	471.	141.	74.	47.	173.		-11899.	2196.	-117.	CHRG10_5A_ol7_3	 21	26/10/2013 13:12:35	
22 / 1 . 	205.	230.	144.	462.	140.	72.	47.	171.		-15023.	2305.	-82.	CHRG10_5A_ol8_1	 22	26/10/2013 13:17:43	
23 / 1 . 	203.	235.	144.	478.	141.	73.	47.	174.		-14832.	2394.	-84.	CHRG10_5A_ol8_2	 23	26/10/2013 13:22:52	
24 / 1 . 	207.	231.	146.	474.	141.	74.	47.	169.		-14934.	2195.	-84.	CHRG10_5A_ol8_3	 24	26/10/2013 13:28:02	
25 / 1 . 	206.	238.	147.	477.	142.	74.	47.	176.		-17566.	1480.	-67.	CHRG10_5A_ol9_1	 25	26/10/2013 13:33:14	
26 / 1 . 	203.	230.	144.	468.	142.	74.	47.	173.		-17365.	1484.	-67.	CHRG10_5A_ol9_2	 26	26/10/2013 13:38:26	
27 / 1 . 	205.	237.	145.	488.	142.	74.	48.	172.		-16991.	1755.	-71.	CHRG10_5A_ol9_3	 27	26/10/2013 13:43:36	
28 / 1 . 	203.	226.	145.	469.	142.	73.	47.	174.		-17499.	140.	-80.	CHRG10_5A_ol10_1	 28	26/10/2013 13:48:46	
29 / 1 . 	201.	235.	142.	453.	138.	72.	46.	168.		-17388.	-49.	-80.	CHRG10_5A_ol10_2	 29	26/10/2013 13:53:55	
30 / 1 . 	203.	232.	144.	481.	140.	73.	47.	175.		-17153.	-291.	-86.	CHRG10_5A_ol10_3	 30	26/10/2013 13:59:05	
31 / 1 . 	205.	228.	144.	470.	142.	74.	47.	177.		-15145.	-131.	-104.	CHRG10_5A_ol11_1	 31	26/10/2013 14:04:15	
32 / 1 . 	205.	227.	144.	476.	142.	73.	48.	172.		-14882.	-396.	-110.	CHRG10_5A_ol11_2	 32	26/10/2013 14:09:26	
33 / 1 . 	206.	234.	145.	480.	141.	75.	47.	173.		-14805.	-541.	-110.	CHRG10_5A_ol11_3	 33	26/10/2013 14:14:35	
34 / 1 . 	205.	235.	144.	463.	141.	73.	47.	171.		-13075.	577.	-118.	CHRG10_5A_ol12_1	 34	26/10/2013 14:19:44	
35 / 1 . 	203.	241.	144.	468.	143.	74.	46.	177.		-12909.	575.	-118.	CHRG10_5A_ol12_2	 35	26/10/2013 14:24:53	
36 / 1 . 	201.	230.	145.	466.	141.	75.	47.	172.		-13008.	442.	-118.	CHRG10_5A_ol12_3	 36	26/10/2013 14:30:05	
37 / 1 . 	204.	229.	145.	464.	140.	72.	47.	175.		-10924.	-92.	-145.	CHRG10_5A_ol13_1	 37	26/10/2013 14:35:15	
