FileName :   CHRG10_5C_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  CHRG10_5C_ol26_1 
Comment :   
Analysis Date :  26/10/2013 17:10:21 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 12635 Y = 30746 Z = -241 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	MgO	MnO	NiO	FeO	SiO2	CaO	Al2O3	TiO2	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	40.2714	0.2751	0.1414	19.5255	38.1374	0.2811	0.0436	0.0056	98.6811	12635.	30746.	-241.	CHRG10_5C_ol26_1	 1	26/10/2013 17:10:21	
2 / 1 . 	40.3031	0.2838	0.1492	19.3600	38.0638	0.2741	0.0454	0.0389	98.5182	12665.	30622.	-241.	CHRG10_5C_ol26_2	 2	26/10/2013 17:15:30	
3 / 1 . 	40.2875	0.2815	0.1487	19.4349	38.0765	0.2685	0.0422	0.0193	98.5590	12725.	30685.	-242.	CHRG10_5C_ol26_3	 3	26/10/2013 17:20:40	
4 / 1 . 	42.0236	0.2830	0.1561	17.4929	38.6435	0.2805	0.0517	0.0331	98.9643	14941.	30283.	-236.	CHRG10_5C_ol26_1	 4	26/10/2013 17:25:50	
5 / 1 . 	41.9397	0.2748	0.1648	17.4994	38.5748	0.2763	0.0479	0.0064	98.7840	14999.	30260.	-236.	CHRG10_5C_ol26_2	 5	26/10/2013 17:30:58	
6 / 1 . 	41.7978	0.2884	0.1454	17.3567	38.5222	0.2804	0.0541	0.0289	98.4739	15151.	30188.	-236.	CHRG10_5C_ol26_3	 6	26/10/2013 17:36:08	
7 / 1 . 	37.2507	0.3521	0.0884	23.3486	37.4562	0.2712	0.0347	0.0246	98.8264	17154.	29137.	-220.	CHRG10_5C_ol30_1	 7	26/10/2013 17:41:18	
8 / 1 . 	37.2348	0.3427	0.0957	23.5260	37.5814	0.2718	0.0333	0.0252	99.1108	17193.	29312.	-220.	CHRG10_5C_ol30_2	 8	26/10/2013 17:46:30	
9 / 1 . 	37.2009	0.3581	0.0935	23.5932	37.5857	0.2713	0.0388	0.0214	99.1628	17073.	29491.	-220.	CHRG10_5C_ol30_3	 9	26/10/2013 17:51:42	
10 / 1 . 	38.3213	0.3387	0.1034	21.9920	37.7330	0.2836	0.0403	0.0211	98.8334	17427.	27397.	-189.	CHRG10_5C_ol29_1	 10	26/10/2013 17:56:50	
11 / 1 . 	38.4278	0.3359	0.0996	21.7788	37.7665	0.2729	0.0362	0.0272	98.7449	17176.	27449.	-189.	CHRG10_5C_ol29_2	 11	26/10/2013 18:01:59	
12 / 1 . 	38.3075	0.3315	0.0979	22.0498	37.8142	0.2776	0.0405	0.0214	98.9403	17797.	27461.	-189.	CHRG10_5C_ol29_3	 12	26/10/2013 18:07:10	
13 / 1 . 	41.8129	0.2808	0.1642	17.5326	38.4560	0.2674	0.0495	0.0141	98.5775	15057.	28184.	-198.	CHRG10_5C_ol28_1	 13	26/10/2013 18:12:21	
14 / 1 . 	41.9045	0.2782	0.1635	17.6435	38.6244	0.2728	0.0488	0.0323	98.9680	15173.	28267.	-198.	CHRG10_5C_ol28_2	 14	26/10/2013 18:17:31	
15 / 1 . 	41.8377	0.2756	0.1632	17.4468	38.5104	0.2722	0.0526	0.0202	98.5788	15163.	28146.	-198.	CHRG10_5C_ol28_3	 15	26/10/2013 18:22:42	
16 / 1 . 	41.8466	0.2851	0.1595	17.5243	38.6775	0.2674	0.0527	0.0242	98.8372	13050.	29224.	-213.	CHRG10_5C_ol24_1	 16	26/10/2013 18:27:53	
