FileName :   CHRG10_5C_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  CHRG10_5C_ol26_1 
Comment :   
Analysis Date :  26/10/2013 17:10:21 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 12635 Y = 30746 Z = -241 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	24.2848	0.2130	0.1111	15.1772	17.8264	0.2009	0.0231	0.0034	40.8411	98.6811	12635.	30746.	-241.	CHRG10_5C_ol26_1	 1	26/10/2013 17:10:21	
2 / 1 . 	24.3039	0.2198	0.1172	15.0486	17.7920	0.1959	0.0240	0.0233	40.7934	98.5182	12665.	30622.	-241.	CHRG10_5C_ol26_2	 2	26/10/2013 17:15:30	
3 / 1 . 	24.2945	0.2180	0.1168	15.1068	17.7980	0.1919	0.0223	0.0116	40.7991	98.5590	12725.	30685.	-242.	CHRG10_5C_ol26_3	 3	26/10/2013 17:20:40	
4 / 1 . 	25.3414	0.2192	0.1226	13.5973	18.0630	0.2005	0.0273	0.0198	41.3731	98.9643	14941.	30283.	-236.	CHRG10_5C_ol26_1	 4	26/10/2013 17:25:50	
5 / 1 . 	25.2908	0.2128	0.1295	13.6024	18.0309	0.1974	0.0254	0.0039	41.2910	98.7840	14999.	30260.	-236.	CHRG10_5C_ol26_2	 5	26/10/2013 17:30:58	
6 / 1 . 	25.2052	0.2234	0.1143	13.4914	18.0063	0.2004	0.0287	0.0173	41.1869	98.4739	15151.	30188.	-236.	CHRG10_5C_ol26_3	 6	26/10/2013 17:36:08	
7 / 1 . 	22.4632	0.2727	0.0695	18.1490	17.5080	0.1938	0.0184	0.0147	40.1372	98.8264	17154.	29137.	-220.	CHRG10_5C_ol30_1	 7	26/10/2013 17:41:18	
8 / 1 . 	22.4536	0.2654	0.0752	18.2869	17.5666	0.1943	0.0176	0.0151	40.2362	99.1108	17193.	29312.	-220.	CHRG10_5C_ol30_2	 8	26/10/2013 17:46:30	
9 / 1 . 	22.4332	0.2773	0.0735	18.3391	17.5685	0.1939	0.0205	0.0129	40.2440	99.1628	17073.	29491.	-220.	CHRG10_5C_ol30_3	 9	26/10/2013 17:51:42	
10 / 1 . 	23.1088	0.2623	0.0813	17.0945	17.6374	0.2027	0.0213	0.0126	40.4125	98.8334	17427.	27397.	-189.	CHRG10_5C_ol29_1	 10	26/10/2013 17:56:50	
11 / 1 . 	23.1731	0.2601	0.0783	16.9288	17.6531	0.1950	0.0191	0.0163	40.4211	98.7449	17176.	27449.	-189.	CHRG10_5C_ol29_2	 11	26/10/2013 18:01:59	
12 / 1 . 	23.1005	0.2567	0.0769	17.1394	17.6754	0.1984	0.0214	0.0128	40.4588	98.9403	17797.	27461.	-189.	CHRG10_5C_ol29_3	 12	26/10/2013 18:07:10	
13 / 1 . 	25.2143	0.2175	0.1291	13.6282	17.9753	0.1911	0.0262	0.0085	41.1874	98.5775	15057.	28184.	-198.	CHRG10_5C_ol28_1	 13	26/10/2013 18:12:21	
14 / 1 . 	25.2696	0.2155	0.1285	13.7144	18.0541	0.1949	0.0258	0.0193	41.3459	98.9680	15173.	28267.	-198.	CHRG10_5C_ol28_2	 14	26/10/2013 18:17:31	
15 / 1 . 	25.2293	0.2134	0.1283	13.5615	18.0008	0.1945	0.0279	0.0121	41.2110	98.5788	15163.	28146.	-198.	CHRG10_5C_ol28_3	 15	26/10/2013 18:22:42	
