FileName :   CHRG10_5D_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  CHRG10_5D_ol28_1 
Comment :   
Analysis Date :  26/10/2013 04:40:50 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 11148 Y = 5097 Z = -130 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	206.	240.	147.	476.	143.	73.	48.	177.		11148.	5097.	-130.	CHRG10_5D_ol28_1	 1	26/10/2013 04:40:50	
2 / 1 . 	204.	224.	146.	475.	141.	72.	47.	175.		11391.	5024.	-131.	CHRG10_5D_ol28_2	 2	26/10/2013 04:46:03	
3 / 1 . 	205.	232.	146.	475.	141.	73.	46.	178.		11515.	5104.	-134.	CHRG10_5D_ol28_3	 3	26/10/2013 04:51:14	
4 / 1 . 	205.	231.	144.	466.	142.	72.	47.	172.		14150.	5327.	-172.	CHRG10_5D_ol14_1	 4	26/10/2013 04:56:23	
5 / 1 . 	204.	232.	144.	470.	141.	73.	47.	173.		14350.	5280.	-173.	CHRG10_5D_ol14_2	 5	26/10/2013 05:01:33	
6 / 1 . 	206.	237.	145.	473.	143.	74.	47.	172.		14629.	5121.	-179.	CHRG10_5D_ol14_3	 6	26/10/2013 05:06:41	
7 / 1 . 	205.	229.	143.	475.	142.	73.	47.	172.		16136.	3147.	-190.	CHRG10_5D_ol13_1	 7	26/10/2013 05:11:51	
8 / 1 . 	199.	223.	141.	462.	138.	72.	46.	166.		16511.	3020.	-195.	CHRG10_5D_ol13_2	 8	26/10/2013 05:17:00	
9 / 1 . 	204.	230.	145.	471.	141.	73.	46.	172.		16626.	2812.	-197.	CHRG10_5D_ol13_3	 9	26/10/2013 05:22:10	
10 / 1 . 	205.	235.	146.	464.	141.	73.	47.	177.		13707.	3142.	-157.	CHRG10_5D_ol15_1	 10	26/10/2013 05:27:24	
11 / 1 . 	206.	236.	146.	468.	142.	73.	46.	179.		14028.	3006.	-165.	CHRG10_5D_ol15_2	 11	26/10/2013 05:32:33	
12 / 1 . 	203.	235.	146.	474.	142.	72.	47.	176.		14170.	3339.	-165.	CHRG10_5D_ol15_3	 12	26/10/2013 05:37:46	
13 / 1 . 	206.	228.	145.	466.	142.	73.	47.	177.		11702.	3185.	-126.	CHRG10_5D_ol27_1	 13	26/10/2013 05:42:58	
14 / 1 . 	199.	226.	141.	477.	138.	71.	47.	172.		12006.	3085.	-135.	CHRG10_5D_ol27_2	 14	26/10/2013 05:48:09	
15 / 1 . 	206.	241.	144.	473.	142.	73.	47.	174.		12181.	3643.	-139.	CHRG10_5D_ol27_3	 15	26/10/2013 05:53:20	
16 / 1 . 	199.	229.	140.	459.	138.	71.	46.	167.		12379.	3455.	-140.	CHRG10_5D_ol27_4	 16	26/10/2013 05:58:34	
17 / 1 . 	207.	233.	144.	456.	142.	73.	47.	175.		12569.	3904.	-149.	CHRG10_5D_ol27_5	 17	26/10/2013 06:03:44	
18 / 1 . 	206.	231.	143.	458.	143.	73.	47.	176.		12655.	3798.	-149.	CHRG10_5D_ol27_6	 18	26/10/2013 06:08:52	
19 / 1 . 	202.	230.	145.	476.	142.	74.	47.	174.		10989.	2737.	-118.	CHRG10_5D_ol26_1	 19	26/10/2013 06:14:02	
20 / 1 . 	204.	233.	146.	475.	141.	74.	47.	174.		11133.	2691.	-118.	CHRG10_5D_ol26_2	 20	26/10/2013 06:19:11	
21 / 1 . 	205.	238.	146.	476.	141.	73.	47.	177.		10938.	2551.	-115.	CHRG10_5D_ol26_3	 21	26/10/2013 06:24:22	
22 / 1 . 	204.	234.	145.	477.	142.	73.	47.	174.		9195.	3663.	-99.	CHRG10_5D_ol29_1	 22	26/10/2013 06:29:33	
23 / 1 . 	206.	230.	144.	462.	142.	74.	47.	174.		9365.	3663.	-102.	CHRG10_5D_ol29_2	 23	26/10/2013 06:34:41	
24 / 1 . 	204.	232.	144.	484.	142.	74.	47.	173.		9393.	3516.	-100.	CHRG10_5D_ol29_3	 24	26/10/2013 06:39:52	
25 / 1 . 	206.	237.	144.	473.	141.	74.	47.	175.		7765.	2614.	-74.	CHRG10_5D_ol31_1	 25	26/10/2013 06:45:01	
26 / 1 . 	205.	238.	145.	476.	142.	74.	47.	172.		7999.	2484.	-76.	CHRG10_5D_ol31_2	 26	26/10/2013 06:50:12	
27 / 1 . 	204.	233.	144.	477.	141.	73.	47.	175.		7814.	2447.	-72.	CHRG10_5D_ol31_3	 27	26/10/2013 06:55:20	
28 / 1 . 	204.	234.	144.	468.	141.	73.	46.	171.		9283.	1880.	-92.	CHRG10_5D_ol30_1	 28	26/10/2013 07:00:30	
29 / 1 . 	203.	243.	145.	468.	142.	75.	47.	174.		9390.	1915.	-93.	CHRG10_5D_ol30_2	 29	26/10/2013 07:05:38	
30 / 1 . 	204.	235.	144.	471.	141.	73.	47.	176.		9401.	1814.	-95.	CHRG10_5D_ol30_3	 30	26/10/2013 07:10:48	
31 / 1 . 	205.	232.	145.	480.	140.	73.	47.	176.		10765.	736.	-106.	CHRG10_5D_ol25_1	 31	26/10/2013 07:15:58	
32 / 1 . 	199.	235.	140.	470.	138.	71.	45.	168.		10828.	806.	-106.	CHRG10_5D_ol25_2	 32	26/10/2013 07:21:11	
33 / 1 . 	205.	245.	145.	490.	141.	72.	47.	176.		10875.	633.	-110.	CHRG10_5D_ol25_3	 33	26/10/2013 07:26:20	
34 / 1 . 	204.	233.	144.	470.	141.	75.	47.	177.		12019.	260.	-125.	CHRG10_5D_ol18_1	 34	26/10/2013 07:31:30	
35 / 1 . 	205.	235.	144.	476.	141.	74.	48.	171.		12160.	294.	-128.	CHRG10_5D_ol18_2	 35	26/10/2013 07:36:41	
36 / 1 . 	206.	234.	145.	478.	142.	73.	47.	175.		12328.	335.	-128.	CHRG10_5D_ol18_3	 36	26/10/2013 07:41:51	
37 / 1 . 	205.	237.	145.	457.	142.	73.	47.	176.		14224.	-271.	-152.	CHRG10_5D_ol10A_1	 37	26/10/2013 07:47:00	
38 / 1 . 	200.	228.	140.	459.	139.	71.	45.	168.		14101.	-456.	-152.	CHRG10_5D_ol10A_2	 38	26/10/2013 07:52:10	
39 / 1 . 	199.	228.	141.	448.	137.	71.	45.	167.		14678.	-447.	-158.	CHRG10_5D_ol10B_1	 39	26/10/2013 07:57:19	
40 / 1 . 	202.	223.	141.	449.	137.	72.	45.	165.		14746.	-635.	-160.	CHRG10_5D_ol10B_2	 40	26/10/2013 08:02:28	
41 / 1 . 	202.	232.	146.	493.	141.	74.	47.	174.		12837.	1962.	-141.	CHRG10_5D_ol17_1	 41	26/10/2013 08:07:37	
42 / 1 . 	203.	231.	146.	500.	141.	73.	47.	175.		12993.	1813.	-142.	CHRG10_5D_ol17_2	 42	26/10/2013 08:12:47	
43 / 1 . 	205.	241.	146.	498.	142.	72.	47.	175.		12809.	1642.	-142.	CHRG10_5D_ol17_3	 43	26/10/2013 08:17:57	
44 / 1 . 	204.	227.	144.	472.	141.	73.	46.	175.		14294.	1737.	-161.	CHRG10_5D_ol16_1	 44	26/10/2013 08:23:09	
45 / 1 . 	201.	222.	140.	459.	138.	72.	46.	167.		14413.	1804.	-163.	CHRG10_5D_ol16_2	 45	26/10/2013 08:28:17	
46 / 1 . 	204.	233.	145.	478.	141.	74.	47.	174.		14365.	1462.	-158.	CHRG10_5D_ol16_3	 46	26/10/2013 08:33:28	
47 / 1 . 	205.	233.	145.	476.	143.	72.	47.	176.		15752.	1059.	-175.	CHRG10_5D_ol12_1	 47	26/10/2013 08:38:39	
48 / 1 . 	204.	232.	145.	484.	141.	74.	47.	172.		16155.	1126.	-182.	CHRG10_5D_ol12_2	 48	26/10/2013 08:43:48	
49 / 1 . 	204.	236.	145.	467.	142.	73.	47.	173.		16051.	967.	-183.	CHRG10_5D_ol12_3	 49	26/10/2013 08:48:59	
50 / 1 . 	204.	235.	144.	478.	141.	74.	47.	177.		17368.	-306.	-197.	CHRG10_5D_ol2_1	 50	26/10/2013 08:54:09	
51 / 1 . 	205.	241.	145.	474.	142.	73.	47.	172.		17545.	-356.	-199.	CHRG10_5D_ol2_2	 51	26/10/2013 08:59:20	
52 / 1 . 	204.	233.	144.	477.	141.	73.	47.	175.		17492.	-411.	-196.	CHRG10_5D_ol2_3	 52	26/10/2013 09:04:32	
53 / 1 . 	205.	238.	144.	472.	141.	75.	47.	174.		15989.	-416.	-176.	CHRG10_5D_ol11_1	 53	26/10/2013 09:09:43	
54 / 1 . 	204.	226.	145.	462.	142.	73.	47.	176.		16213.	-401.	-178.	CHRG10_5D_ol11_2	 54	26/10/2013 09:14:52	
55 / 1 . 	205.	230.	145.	475.	141.	74.	47.	176.		16289.	-529.	-181.	CHRG10_5D_ol11_3	 55	26/10/2013 09:20:02	
56 / 1 . 	205.	237.	146.	481.	141.	74.	47.	174.		16858.	-1429.	-183.	CHRG10_5D_ol3_1	 56	26/10/2013 09:25:11	
57 / 1 . 	205.	234.	145.	468.	141.	73.	47.	172.		16920.	-1474.	-189.	CHRG10_5D_ol3_2	 57	26/10/2013 09:30:21	
58 / 1 . 	206.	235.	143.	469.	141.	73.	46.	170.		17015.	-1544.	-187.	CHRG10_5D_ol3_3	 58	26/10/2013 09:35:34	
59 / 1 . 	202.	236.	146.	492.	141.	74.	48.	174.		16257.	-2510.	-172.	CHRG10_5D_ol4_1	 59	26/10/2013 09:40:41	
60 / 1 . 	204.	235.	147.	495.	141.	75.	47.	176.		16465.	-2544.	-176.	CHRG10_5D_ol4_2	 60	26/10/2013 09:45:51	
61 / 1 . 	197.	234.	142.	491.	137.	71.	46.	169.		16190.	-2572.	-171.	CHRG10_5D_ol4_3	 61	26/10/2013 09:51:00	
62 / 1 . 	205.	239.	142.	455.	142.	72.	47.	178.		14975.	-3310.	-157.	CHRG10_5D_ol5_1	 62	26/10/2013 09:56:11	
63 / 1 . 	207.	236.	143.	472.	142.	74.	46.	172.		15168.	-3356.	-158.	CHRG10_5D_ol5_2	 63	26/10/2013 10:01:23	
64 / 1 . 	205.	235.	143.	461.	141.	73.	47.	175.		15338.	-3405.	-158.	CHRG10_5D_ol5_3	 64	26/10/2013 10:06:33	
65 / 1 . 	205.	234.	144.	485.	142.	75.	47.	173.		13733.	-2223.	-141.	CHRG10_5D_ol9_1	 65	26/10/2013 10:11:42	
66 / 1 . 	205.	239.	144.	479.	141.	75.	47.	171.		13833.	-2224.	-140.	CHRG10_5D_ol9_2	 66	26/10/2013 10:16:53	
67 / 1 . 	199.	233.	141.	459.	138.	71.	46.	170.		13733.	-2331.	-138.	CHRG10_5D_ol9_3	 67	26/10/2013 10:22:02	
68 / 1 . 	204.	232.	145.	471.	142.	74.	46.	173.		12536.	-3187.	-122.	CHRG10_5D_ol8_1	 68	26/10/2013 10:27:12	
69 / 1 . 	205.	236.	146.	468.	141.	73.	47.	175.		12666.	-3180.	-121.	CHRG10_5D_ol8_2	 69	26/10/2013 10:32:21	
70 / 1 . 	201.	230.	143.	453.	139.	70.	46.	169.		12699.	-3288.	-122.	CHRG10_5D_ol8_3	 70	26/10/2013 10:37:32	
71 / 1 . 	199.	226.	141.	466.	137.	71.	46.	169.		11488.	-2506.	-110.	CHRG10_5D_ol20_1	 71	26/10/2013 10:42:41	
72 / 1 . 	196.	232.	141.	473.	138.	72.	46.	167.		11613.	-2523.	-112.	CHRG10_5D_ol20_2	 72	26/10/2013 10:47:51	
73 / 1 . 	202.	236.	145.	485.	140.	74.	48.	175.		11550.	-2731.	-110.	CHRG10_5D_ol20_3	 73	26/10/2013 10:53:01	
74 / 1 . 	204.	241.	144.	484.	141.	72.	47.	175.		11289.	-1180.	-111.	CHRG10_5D_ol19_1	 74	26/10/2013 10:58:12	
75 / 1 . 	203.	238.	144.	469.	141.	75.	46.	174.		11620.	-1213.	-116.	CHRG10_5D_ol19_2	 75	26/10/2013 11:03:23	
76 / 1 . 	204.	240.	145.	481.	141.	74.	47.	176.		11721.	-1157.	-117.	CHRG10_5D_ol19_3	 76	26/10/2013 11:08:34	
77 / 1 . 	203.	228.	145.	476.	141.	73.	47.	171.		8731.	-249.	-78.	CHRG10_5D_ol24_1	 77	26/10/2013 11:13:45	
78 / 1 . 	198.	233.	142.	451.	138.	72.	46.	170.		8947.	-560.	-79.	CHRG10_5D_ol24_2	 78	26/10/2013 11:18:52	
79 / 1 . 	205.	232.	143.	468.	141.	72.	47.	176.		9066.	-393.	-84.	CHRG10_5D_ol24_3	 79	26/10/2013 11:24:02	
