FileName :   CHRG10_5D_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  CHRG10_5D_ol28_1 
Comment :   
Analysis Date :  26/10/2013 04:40:50 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 11148 Y = 5097 Z = -130 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	25.1372	0.2201	0.1133	13.7050	18.0248	0.1973	0.0248	0.0049	41.2102	98.6376	11148.	5097.	-130.	CHRG10_5D_ol28_1	 1	26/10/2013 04:40:50	
2 / 1 . 	25.1151	0.2237	0.1089	13.6048	18.0984	0.1952	0.0275	0.0073	41.2539	98.6348	11391.	5024.	-131.	CHRG10_5D_ol28_2	 2	26/10/2013 04:46:03	
3 / 1 . 	25.1094	0.2177	0.1127	13.5857	18.0457	0.1939	0.0277	0.0012	41.1795	98.4736	11515.	5104.	-134.	CHRG10_5D_ol28_3	 3	26/10/2013 04:51:14	
4 / 1 . 	25.3321	0.2010	0.1253	13.2318	18.0928	0.1921	0.0250	0.0133	41.2819	98.4952	14150.	5327.	-172.	CHRG10_5D_ol14_1	 4	26/10/2013 04:56:23	
5 / 1 . 	25.3419	0.2060	0.1184	13.2972	18.1709	0.1900	0.0250	0.0126	41.3943	98.7563	14350.	5280.	-173.	CHRG10_5D_ol14_2	 5	26/10/2013 05:01:33	
6 / 1 . 	25.3148	0.1937	0.1201	13.3088	17.9876	0.1905	0.0256	0.0131	41.1688	98.3229	14629.	5121.	-179.	CHRG10_5D_ol14_3	 6	26/10/2013 05:06:41	
7 / 1 . 	25.2115	0.2233	0.1325	13.5345	18.0250	0.1911	0.0255	0.0130	41.2203	98.5767	16136.	3147.	-190.	CHRG10_5D_ol13_1	 7	26/10/2013 05:11:51	
8 / 1 . 	25.1283	0.2079	0.1323	13.4622	18.0301	0.1898	0.0270	0.0203	41.1518	98.3498	16511.	3020.	-195.	CHRG10_5D_ol13_2	 8	26/10/2013 05:17:00	
9 / 1 . 	25.2356	0.2209	0.1256	13.5529	17.9681	0.1942	0.0278	0.0064	41.1729	98.5044	16626.	2812.	-197.	CHRG10_5D_ol13_3	 9	26/10/2013 05:22:10	
10 / 1 . 	25.0714	0.2194	0.1086	13.8094	18.0358	0.1919	0.0246	0.0072	41.2072	98.6756	13707.	3142.	-157.	CHRG10_5D_ol15_1	 10	26/10/2013 05:27:24	
11 / 1 . 	24.9493	0.2246	0.1178	13.7711	17.8141	0.1852	0.0275	0.0069	40.8669	97.9634	14028.	3006.	-165.	CHRG10_5D_ol15_2	 11	26/10/2013 05:32:33	
12 / 1 . 	25.0238	0.2130	0.1229	13.7862	17.9982	0.1918	0.0261	0.0051	41.1282	98.4954	14170.	3339.	-165.	CHRG10_5D_ol15_3	 12	26/10/2013 05:37:46	
13 / 1 . 	25.1059	0.2335	0.1181	13.7100	18.0803	0.1925	0.0284	0.0074	41.2625	98.7386	11702.	3185.	-126.	CHRG10_5D_ol27_1	 13	26/10/2013 05:42:58	
14 / 1 . 	25.0314	0.2167	0.1272	13.7607	17.8992	0.2000	0.0254	0.0111	41.0220	98.2937	12006.	3085.	-135.	CHRG10_5D_ol27_2	 14	26/10/2013 05:48:09	
15 / 1 . 	25.2977	0.2059	0.1173	13.3306	18.0339	0.1945	0.0276	0.0137	41.2233	98.4445	12181.	3643.	-139.	CHRG10_5D_ol27_3	 15	26/10/2013 05:53:20	
16 / 1 . 	25.3184	0.2030	0.1191	13.2939	18.0294	0.1988	0.0255	0.0193	41.2245	98.4318	12379.	3455.	-140.	CHRG10_5D_ol27_4	 16	26/10/2013 05:58:34	
17 / 1 . 	25.7403	0.1881	0.1606	12.1794	17.9481	0.2046	0.0270	0.0044	41.0908	97.5433	12569.	3904.	-149.	CHRG10_5D_ol27_5	 17	26/10/2013 06:03:44	
18 / 1 . 	25.6865	0.1905	0.1524	12.3386	17.9526	0.2063	0.0238	0.0000	41.0976	97.6484	12655.	3798.	-149.	CHRG10_5D_ol27_6	 18	26/10/2013 06:08:52	
19 / 1 . 	24.7282	0.2082	0.1111	14.1286	17.9308	0.1865	0.0256	0.0095	40.9507	98.2792	10989.	2737.	-118.	CHRG10_5D_ol26_1	 19	26/10/2013 06:14:02	
20 / 1 . 	24.7877	0.2080	0.0998	14.2542	18.0355	0.1908	0.0238	0.0109	41.1430	98.7537	11133.	2691.	-118.	CHRG10_5D_ol26_2	 20	26/10/2013 06:19:11	
21 / 1 . 	24.8907	0.2067	0.1020	14.2470	18.0216	0.1944	0.0240	0.0095	41.1938	98.8896	10938.	2551.	-115.	CHRG10_5D_ol26_3	 21	26/10/2013 06:24:22	
22 / 1 . 	24.9358	0.2063	0.1069	13.7907	17.8610	0.2065	0.0264	0.0175	40.9233	98.0744	9195.	3663.	-99.	CHRG10_5D_ol29_1	 22	26/10/2013 06:29:33	
