FileName :   MH2013_GA_ol_2.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  MH2013_G(A)_ol5_1 
Comment :   
Analysis Date :  24/10/2013 18:47:11 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 8776 Y = -3938 Z = -24 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	213.	226.	143.	412.	146.	72.	46.	171.		8776.	-3938.	-24.	MH2013_G(A)_ol5_1	 1	24/10/2013 18:47:11	
2 / 1 . 	205.	214.	137.	378.	140.	69.	45.	164.		8726.	-4015.	-24.	MH2013_G(A)_ol5_2	 2	24/10/2013 18:52:23	
3 / 1 . 	215.	224.	141.	404.	146.	72.	46.	175.		8417.	-4112.	-27.	MH2013_G(A)_ol5_3	 3	24/10/2013 18:57:30	
4 / 1 . 	204.	212.	140.	397.	139.	70.	45.	167.		6988.	-7206.	-39.	MH2013_G(A)_ol6_1	 4	24/10/2013 19:02:44	
5 / 1 . 	213.	233.	143.	419.	143.	72.	47.	171.		6979.	-7351.	-39.	MH2013_G(A)_ol6_2	 5	24/10/2013 19:07:58	
6 / 1 . 	204.	218.	138.	391.	139.	70.	46.	167.		7295.	-7328.	-39.	MH2013_G(A)_ol6_3	 6	24/10/2013 19:13:03	
7 / 1 . 	209.	233.	144.	429.	143.	73.	46.	172.		11795.	-7492.	-41.	MH2013_G(A)_ol7_1	 7	24/10/2013 19:18:10	
8 / 1 . 	209.	235.	143.	434.	143.	73.	46.	175.		11803.	-7342.	-41.	MH2013_G(A)_ol7_2	 8	24/10/2013 19:23:17	
9 / 1 . 	203.	219.	138.	419.	138.	70.	46.	168.		11962.	-7341.	-41.	MH2013_G(A)_ol7_3	 9	24/10/2013 19:28:25	
10 / 1 . 	205.	209.	138.	387.	139.	70.	45.	165.		13054.	-2988.	-25.	MH2013_G(A)_ol8_1	 10	24/10/2013 19:33:32	
11 / 1 . 	212.	220.	142.	394.	146.	73.	47.	177.		13212.	-2998.	-25.	MH2013_G(A)_ol8_2	 11	24/10/2013 19:38:41	
12 / 1 . 	213.	230.	141.	398.	144.	73.	46.	174.		13353.	-2841.	-25.	MH2013_G(A)_ol8_3	 12	24/10/2013 19:43:46	
13 / 1 . 	213.	230.	145.	431.	145.	73.	47.	172.		13356.	228.	-12.	MH2013_G(A)_ol9_1	 13	24/10/2013 19:48:52	
14 / 1 . 	211.	234.	142.	412.	143.	72.	46.	170.		13381.	289.	-12.	MH2013_G(A)_ol9_2	 14	24/10/2013 19:54:01	
15 / 1 . 	210.	220.	144.	416.	143.	72.	47.	172.		13633.	442.	-12.	MH2013_G(A)_ol9_3	 15	24/10/2013 19:59:09	
16 / 1 . 	208.	227.	142.	431.	142.	73.	47.	172.		14081.	3236.	2.	MH2013_G(A)_ol10_1	 16	24/10/2013 20:04:15	
17 / 1 . 	213.	229.	146.	432.	145.	73.	48.	175.		13919.	3012.	2.	MH2013_G(A)_ol10_2	 17	24/10/2013 20:09:23	
18 / 1 . 	210.	223.	143.	414.	144.	72.	47.	172.		13720.	3861.	1.	MH2013_G(A)_ol10_3	 18	24/10/2013 20:14:33	
19 / 1 . 	213.	221.	144.	425.	144.	73.	47.	176.		14141.	8514.	9.	MH2013_G(A)_ol11_1	 19	24/10/2013 20:19:42	
20 / 1 . 	209.	220.	143.	419.	142.	72.	47.	173.		13768.	8711.	9.	MH2013_G(A)_ol11_2	 20	24/10/2013 20:24:47	
