FileName :   MH2013_GA_ol_2.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  MH2013_G(A)_ol5_1 
Comment :   
Analysis Date :  24/10/2013 18:47:11 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 8776 Y = -3938 Z = -24 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	MgO	MnO	NiO	FeO	SiO2	CaO	Al2O3	TiO2	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	48.3062	0.1389	0.3254	8.9842	40.1943	0.3628	0.0820	0.0152	98.4091	8776.	-3938.	-24.	MH2013_G(A)_ol5_1	 1	24/10/2013 18:47:11	
2 / 1 . 	48.3221	0.1399	0.3344	9.2255	40.0689	0.3603	0.0742	0.0067	98.5320	8726.	-4015.	-24.	MH2013_G(A)_ol5_2	 2	24/10/2013 18:52:23	
3 / 1 . 	48.4309	0.1560	0.3454	9.1927	39.9532	0.3682	0.0807	0.0000	98.5273	8417.	-4112.	-27.	MH2013_G(A)_ol5_3	 3	24/10/2013 18:57:30	
4 / 1 . 	47.0183	0.1722	0.3111	10.5366	39.4759	0.3689	0.0594	0.0069	97.9491	6988.	-7206.	-39.	MH2013_G(A)_ol6_1	 4	24/10/2013 19:02:44	
5 / 1 . 	47.1633	0.1457	0.3206	10.6716	39.7431	0.3654	0.0606	0.0091	98.4794	6979.	-7351.	-39.	MH2013_G(A)_ol6_2	 5	24/10/2013 19:07:58	
6 / 1 . 	47.4014	0.1586	0.3169	10.8607	39.6178	0.3719	0.0614	0.0000	98.7886	7295.	-7328.	-39.	MH2013_G(A)_ol6_3	 6	24/10/2013 19:13:03	
7 / 1 . 	45.9968	0.1749	0.2426	12.3523	39.1906	0.3449	0.0710	0.0000	98.3729	11795.	-7492.	-41.	MH2013_G(A)_ol7_1	 7	24/10/2013 19:18:10	
8 / 1 . 	45.9956	0.1751	0.2434	12.2601	39.1968	0.3368	0.0712	0.0036	98.2825	11803.	-7342.	-41.	MH2013_G(A)_ol7_2	 8	24/10/2013 19:23:17	
9 / 1 . 	45.9354	0.1874	0.2343	12.2988	39.0671	0.3469	0.0627	0.0094	98.1421	11962.	-7341.	-41.	MH2013_G(A)_ol7_3	 9	24/10/2013 19:28:25	
10 / 1 . 	48.4003	0.1549	0.3309	9.1321	39.6520	0.3631	0.0769	0.0000	98.1102	13054.	-2988.	-25.	MH2013_G(A)_ol8_1	 10	24/10/2013 19:33:32	
11 / 1 . 	48.3986	0.1553	0.3272	9.0117	39.7019	0.3634	0.0826	0.0000	98.0406	13212.	-2998.	-25.	MH2013_G(A)_ol8_2	 11	24/10/2013 19:38:41	
12 / 1 . 	48.4865	0.1513	0.3331	9.1181	39.5985	0.3615	0.0765	0.0024	98.1278	13353.	-2841.	-25.	MH2013_G(A)_ol8_3	 12	24/10/2013 19:43:46	
13 / 1 . 	46.8104	0.1691	0.2699	11.1570	39.5480	0.3582	0.0688	0.0088	98.3903	13356.	228.	-12.	MH2013_G(A)_ol9_1	 13	24/10/2013 19:48:52	
14 / 1 . 	46.9056	0.1662	0.2731	11.1800	39.4369	0.3623	0.0720	0.0122	98.4084	13381.	289.	-12.	MH2013_G(A)_ol9_2	 14	24/10/2013 19:54:01	
15 / 1 . 	46.8508	0.1955	0.2628	11.0744	39.4296	0.3611	0.0714	0.0020	98.2476	13633.	442.	-12.	MH2013_G(A)_ol9_3	 15	24/10/2013 19:59:09	
16 / 1 . 	46.0036	0.1905	0.2682	12.6332	39.5404	0.3580	0.0600	0.0000	99.0539	14081.	3236.	2.	MH2013_G(A)_ol10_1	 16	24/10/2013 20:04:15	
17 / 1 . 	46.0815	0.2010	0.2531	12.5267	39.5730	0.3566	0.0651	0.0064	99.0634	13919.	3012.	2.	MH2013_G(A)_ol10_2	 17	24/10/2013 20:09:23	
18 / 1 . 	45.9749	0.1976	0.2716	12.4946	39.4248	0.3570	0.0657	0.0033	98.7896	13720.	3861.	1.	MH2013_G(A)_ol10_3	 18	24/10/2013 20:14:33	
19 / 1 . 	45.8953	0.2112	0.2436	12.5129	39.3986	0.3486	0.0629	0.0000	98.6729	14141.	8514.	9.	MH2013_G(A)_ol11_1	 19	24/10/2013 20:19:42	
20 / 1 . 	45.9244	0.1957	0.2333	12.5060	39.4682	0.3545	0.0607	0.0026	98.7454	13768.	8711.	9.	MH2013_G(A)_ol11_2	 20	24/10/2013 20:24:47	
21 / 1 . 	45.8971	0.1862	0.2260	12.5253	39.4795	0.3523	0.0604	0.0101	98.7369	14146.	8754.	9.	MH2013_G(A)_ol11_3	 21	24/10/2013 20:29:56	
22 / 1 . 	47.5761	0.1595	0.3461	9.8750	39.5359	0.3534	0.0873	0.0064	97.9397	18119.	6867.	.	MH2013_G(A)_ol12_1	 22	24/10/2013 20:35:03	
23 / 1 . 	47.3427	0.1580	0.3403	9.9408	39.3006	0.3520	0.0860	0.0068	97.5273	17547.	7063.	.	MH2013_G(A)_ol12_2	 23	24/10/2013 20:40:13	
24 / 1 . 	47.4653	0.1518	0.3390	9.8294	39.6127	0.3489	0.0748	0.0153	97.8371	18701.	7111.	.	MH2013_G(A)_ol12_3	 24	24/10/2013 20:45:21	
25 / 1 . 	45.2498	0.1873	0.2318	13.4543	39.1553	0.3518	0.0560	0.0000	98.6864	17809.	2166.	-5.	MH2013_G(A)_ol13_1	 25	24/10/2013 20:50:30	
26 / 1 . 	45.1572	0.2003	0.2317	13.3109	39.1056	0.3432	0.0531	0.0099	98.4119	17749.	2475.	-5.	MH2013_G(A)_ol13_2	 26	24/10/2013 20:55:37	
27 / 1 . 	45.6466	0.2024	0.2281	12.6579	39.3809	0.3585	0.0657	0.0026	98.5427	18336.	2526.	-5.	MH2013_G(A)_ol13_3	 27	24/10/2013 21:00:43	
28 / 1 . 	46.1656	0.1694	0.3035	11.9048	39.3309	0.3654	0.0585	0.0233	98.3213	17035.	-2245.	-21.	MH2013_G(A)_ol14_1	 28	24/10/2013 21:05:54	
29 / 1 . 	46.3338	0.1852	0.2919	12.0335	39.2433	0.3600	0.0555	0.0061	98.5092	17071.	-2121.	-21.	MH2013_G(A)_ol14_2	 29	24/10/2013 21:10:58	
30 / 1 . 	46.2891	0.1893	0.2907	11.8571	39.3945	0.3632	0.0604	0.0068	98.4511	17342.	-2421.	-21.	MH2013_G(A)_ol14_3	 30	24/10/2013 21:16:07	
31 / 1 . 	46.3530	0.1860	0.2817	11.7267	39.2637	0.3630	0.0555	0.0065	98.2361	16437.	-4735.	-29.	MH2013_G(A)_ol15_1	 31	24/10/2013 21:21:13	
32 / 1 . 	46.3134	0.1798	0.2828	11.7124	39.2953	0.3698	0.0584	0.0081	98.2200	15489.	-4694.	-29.	MH2013_G(A)_ol15_2	 32	24/10/2013 21:26:21	
33 / 1 . 	46.4519	0.1726	0.2774	11.7760	39.3985	0.3568	0.0577	0.0015	98.4925	16784.	-4881.	-29.	MH2013_G(A)_ol15_3	 33	24/10/2013 21:31:24	
34 / 1 . 	46.0497	0.1906	0.2498	12.4550	39.4313	0.3506	0.0563	0.0162	98.7996	15445.	-9296.	-45.	MH2013_G(A)_ol16_1	 34	24/10/2013 21:36:30	
35 / 1 . 	45.8828	0.1843	0.2379	12.4147	39.5265	0.3490	0.0533	0.0059	98.6544	15249.	-9230.	-45.	MH2013_G(A)_ol16_2	 35	24/10/2013 21:41:36	
36 / 1 . 	46.0184	0.1966	0.2439	12.2832	39.1925	0.3556	0.0584	0.0000	98.3486	15282.	-8725.	-45.	MH2013_G(A)_ol16_3	 36	24/10/2013 21:46:45	
37 / 1 . 	45.4985	0.1883	0.2388	12.7728	39.3005	0.3537	0.0683	0.0092	98.4302	21259.	-5315.	-33.	MH2013_G(A)_ol17_1	 37	24/10/2013 21:51:51	
38 / 1 . 	45.4906	0.1962	0.2441	12.7354	39.1761	0.3484	0.0653	0.0076	98.2637	21292.	-4978.	-33.	MH2013_G(A)_ol17_2	 38	24/10/2013 21:57:01	
39 / 1 . 	45.5041	0.2082	0.2438	12.8442	38.9933	0.3549	0.0709	0.0031	98.2226	21561.	-4800.	-33.	MH2013_G(A)_ol17_3	 39	24/10/2013 22:02:08	
40 / 1 . 	46.0799	0.1836	0.2776	11.8871	39.4967	0.3728	0.0712	0.0030	98.3720	21359.	-2355.	-22.	MH2013_G(A)_ol18_1	 40	24/10/2013 22:07:14	
41 / 1 . 	46.0809	0.1561	0.2747	11.9791	39.5164	0.3681	0.0566	0.0000	98.4318	21786.	-2260.	-22.	MH2013_G(A)_ol18_2	 41	24/10/2013 22:12:23	
42 / 1 . 	46.2281	0.1795	0.2848	11.9557	39.7404	0.3746	0.0607	0.0010	98.8248	21951.	-2807.	-22.	MH2013_G(A)_ol18_3	 42	24/10/2013 22:17:31	
43 / 1 . 	47.8431	0.1369	0.3543	9.9146	39.8998	0.3580	0.0692	0.0042	98.5801	22161.	2474.	-12.	MH2013_G(A)_ol19_1	 43	24/10/2013 22:22:38	
44 / 1 . 	47.6410	0.1556	0.3429	9.7998	39.9756	0.3509	0.0937	0.0116	98.3710	22087.	1691.	-12.	MH2013_G(A)_ol19_2	 44	24/10/2013 22:27:46	
45 / 1 . 	47.5704	0.1572	0.3523	10.0246	39.8791	0.3588	0.0899	0.0000	98.4323	22958.	2281.	-14.	MH2013_G(A)_ol19_3	 45	24/10/2013 22:32:53	
46 / 1 . 	46.7137	0.1778	0.2943	10.8368	39.3007	0.3855	0.0659	0.0018	97.7764	21273.	5685.	-7.	MH2013_G(A)_ol20_1	 46	24/10/2013 22:38:02	
47 / 1 . 	46.8343	0.1563	0.2993	10.9841	39.3524	0.3745	0.0695	0.0123	98.0828	21459.	5643.	-7.	MH2013_G(A)_ol20_2	 47	24/10/2013 22:43:09	
48 / 1 . 	46.8746	0.1714	0.2976	11.0313	39.6674	0.3821	0.0674	0.0000	98.4919	20911.	6054.	-1.	MH2013_G(A)_ol20_3	 48	24/10/2013 22:48:19	
