FileName :   MH2013_GA_ol_2.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  MH2013_G(A)_ol5_1 
Comment :   
Analysis Date :  24/10/2013 18:47:11 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 8776 Y = -3938 Z = -24 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	0.7751	0.0216	0.0158	0.3454	0.3129	0.0112	0.0046	0.0145		8776.	-3938.	-24.	MH2013_G(A)_ol5_1	 1	24/10/2013 18:47:11	
2 / 1 . 	0.7748	0.0206	0.0154	0.3516	0.3116	0.0108	0.0044	0.0137		8726.	-4015.	-24.	MH2013_G(A)_ol5_2	 2	24/10/2013 18:52:23	
3 / 1 . 	0.7772	0.0218	0.0159	0.3529	0.3111	0.0113	0.0045	0.0146		8417.	-4112.	-27.	MH2013_G(A)_ol5_3	 3	24/10/2013 18:57:30	
4 / 1 . 	0.7542	0.0210	0.0152	0.3978	0.3071	0.0110	0.0043	0.0140		6988.	-7206.	-39.	MH2013_G(A)_ol6_1	 4	24/10/2013 19:02:44	
5 / 1 . 	0.7569	0.0222	0.0157	0.4044	0.3094	0.0112	0.0044	0.0144		6979.	-7351.	-39.	MH2013_G(A)_ol6_2	 5	24/10/2013 19:07:58	
6 / 1 . 	0.7602	0.0212	0.0151	0.4092	0.3081	0.0110	0.0043	0.0138		7295.	-7328.	-39.	MH2013_G(A)_ol6_3	 6	24/10/2013 19:13:03	
7 / 1 . 	0.7384	0.0228	0.0147	0.4634	0.3051	0.0109	0.0045	0.0143		11795.	-7492.	-41.	MH2013_G(A)_ol7_1	 7	24/10/2013 19:18:10	
8 / 1 . 	0.7384	0.0229	0.0146	0.4602	0.3052	0.0108	0.0044	0.0146		11803.	-7342.	-41.	MH2013_G(A)_ol7_2	 8	24/10/2013 19:23:17	
9 / 1 . 	0.7370	0.0218	0.0141	0.4599	0.3039	0.0106	0.0043	0.0141		11962.	-7341.	-41.	MH2013_G(A)_ol7_3	 9	24/10/2013 19:28:25	
10 / 1 . 	0.7760	0.0205	0.0153	0.3483	0.3084	0.0108	0.0044	0.0137		13054.	-2988.	-25.	MH2013_G(A)_ol8_1	 10	24/10/2013 19:33:32	
11 / 1 . 	0.7766	0.0215	0.0158	0.3463	0.3092	0.0112	0.0046	0.0147		13212.	-2998.	-25.	MH2013_G(A)_ol8_2	 11	24/10/2013 19:38:41	
12 / 1 . 	0.7779	0.0221	0.0157	0.3496	0.3083	0.0111	0.0045	0.0145		13353.	-2841.	-25.	MH2013_G(A)_ol8_3	 12	24/10/2013 19:43:46	
13 / 1 . 	0.7515	0.0225	0.0152	0.4220	0.3080	0.0112	0.0045	0.0145		13356.	228.	-12.	MH2013_G(A)_ol9_1	 13	24/10/2013 19:48:52	
14 / 1 . 	0.7528	0.0226	0.0150	0.4221	0.3070	0.0111	0.0045	0.0143		13381.	289.	-12.	MH2013_G(A)_ol9_2	 14	24/10/2013 19:54:01	
15 / 1 . 	0.7519	0.0222	0.0149	0.4183	0.3069	0.0111	0.0045	0.0143		13633.	442.	-12.	MH2013_G(A)_ol9_3	 15	24/10/2013 19:59:09	
16 / 1 . 	0.7385	0.0226	0.0149	0.4731	0.3078	0.0111	0.0044	0.0143		14081.	3236.	2.	MH2013_G(A)_ol10_1	 16	24/10/2013 20:04:15	
17 / 1 . 	0.7400	0.0230	0.0150	0.4702	0.3082	0.0111	0.0045	0.0147		13919.	3012.	2.	MH2013_G(A)_ol10_2	 17	24/10/2013 20:09:23	
