FileName :   MH2013_GA_ol_2.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  MH2013_G(A)_ol5_1 
Comment :   
Analysis Date :  24/10/2013 18:47:11 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 8776 Y = -3938 Z = -24 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	29.1300	0.1076	0.2557	6.9835	18.7879	0.2593	0.0434	0.0091	42.8326	98.4091	8776.	-3938.	-24.	MH2013_G(A)_ol5_1	 1	24/10/2013 18:47:11	
2 / 1 . 	29.1396	0.1083	0.2628	7.1710	18.7293	0.2575	0.0393	0.0040	42.8202	98.5320	8726.	-4015.	-24.	MH2013_G(A)_ol5_2	 2	24/10/2013 18:52:23	
3 / 1 . 	29.2052	0.1208	0.2714	7.1456	18.6752	0.2632	0.0427	0.0000	42.8031	98.5272	8417.	-4112.	-27.	MH2013_G(A)_ol5_3	 3	24/10/2013 18:57:30	
4 / 1 . 	28.3533	0.1334	0.2444	8.1901	18.4521	0.2637	0.0314	0.0041	42.2766	97.9491	6988.	-7206.	-39.	MH2013_G(A)_ol6_1	 4	24/10/2013 19:02:44	
5 / 1 . 	28.4408	0.1128	0.2519	8.2951	18.5770	0.2612	0.0321	0.0054	42.5031	98.4794	6979.	-7351.	-39.	MH2013_G(A)_ol6_2	 5	24/10/2013 19:07:58	
6 / 1 . 	28.5844	0.1228	0.2490	8.4421	18.5184	0.2658	0.0325	0.0000	42.5721	98.7870	7295.	-7328.	-39.	MH2013_G(A)_ol6_3	 6	24/10/2013 19:13:03	
7 / 1 . 	27.7374	0.1354	0.1906	9.6015	18.3187	0.2465	0.0376	0.0000	42.1049	98.3724	11795.	-7492.	-41.	MH2013_G(A)_ol7_1	 7	24/10/2013 19:18:10	
8 / 1 . 	27.7366	0.1356	0.1913	9.5298	18.3216	0.2407	0.0377	0.0022	42.0871	98.2825	11803.	-7342.	-41.	MH2013_G(A)_ol7_2	 8	24/10/2013 19:23:17	
9 / 1 . 	27.7004	0.1452	0.1841	9.5599	18.2610	0.2479	0.0332	0.0056	42.0048	98.1421	11962.	-7341.	-41.	MH2013_G(A)_ol7_3	 9	24/10/2013 19:28:25	
10 / 1 . 	29.1867	0.1199	0.2601	7.0984	18.5344	0.2595	0.0407	0.0000	42.6094	98.1092	13054.	-2988.	-25.	MH2013_G(A)_ol8_1	 10	24/10/2013 19:33:32	
11 / 1 . 	29.1857	0.1203	0.2572	7.0048	18.5577	0.2597	0.0437	0.0000	42.6104	98.0394	13212.	-2998.	-25.	MH2013_G(A)_ol8_2	 11	24/10/2013 19:38:41	
12 / 1 . 	29.2387	0.1172	0.2617	7.0875	18.5094	0.2583	0.0405	0.0014	42.6130	98.1278	13353.	-2841.	-25.	MH2013_G(A)_ol8_3	 12	24/10/2013 19:43:46	
13 / 1 . 	28.2280	0.1310	0.2121	8.6724	18.4858	0.2560	0.0364	0.0053	42.3633	98.3903	13356.	228.	-12.	MH2013_G(A)_ol9_1	 13	24/10/2013 19:48:52	
14 / 1 . 	28.2854	0.1287	0.2146	8.6903	18.4339	0.2590	0.0381	0.0073	42.3511	98.4084	13381.	289.	-12.	MH2013_G(A)_ol9_2	 14	24/10/2013 19:54:01	
15 / 1 . 	28.2524	0.1514	0.2065	8.6082	18.4304	0.2581	0.0378	0.0012	42.3017	98.2476	13633.	442.	-12.	MH2013_G(A)_ol9_3	 15	24/10/2013 19:59:09	
