FileName :   MH2013_GB_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  MH2013_G(B)_ol1_1 
Comment :   
Analysis Date :  25/10/2013 17:34:03 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 20434 Y = -28063 Z = -110 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	MgO	MnO	NiO	FeO	SiO2	CaO	Al2O3	TiO2	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	45.1285	0.2122	0.2362	13.0219	39.3374	0.3496	0.0663	0.0163	98.3683	20434.	-28063.	-110.	MH2013_G(B)_ol1_1	 1	25/10/2013 17:34:03	
2 / 1 . 	45.2861	0.1915	0.2247	12.9265	39.3932	0.3601	0.0673	0.0113	98.4606	20506.	-28328.	-110.	MH2013_G(B)_ol1_2	 2	25/10/2013 17:39:26	
3 / 1 . 	45.1581	0.2020	0.2414	12.9987	39.3321	0.3632	0.0581	0.0000	98.3536	21028.	-28513.	-114.	MH2013_G(B)_ol1_3	 3	25/10/2013 17:44:36	
4 / 1 . 	47.4237	0.1427	0.3233	9.7708	39.6090	0.3520	0.0793	0.0090	97.7098	20332.	-32191.	-106.	MH2013_G(B)_ol2_1	 4	25/10/2013 17:49:44	
5 / 1 . 	47.5159	0.1577	0.3184	9.8034	39.9008	0.3627	0.0780	0.0175	98.1544	20731.	-32032.	-106.	MH2013_G(B)_ol2_2	 5	25/10/2013 17:54:53	
6 / 1 . 	47.5561	0.1660	0.3211	9.8277	39.9186	0.3438	0.0720	0.0005	98.2057	20700.	-31706.	-106.	MH2013_G(B)_ol2_3	 6	25/10/2013 18:00:01	
7 / 1 . 	46.9084	0.1786	0.3164	10.7448	39.9340	0.3582	0.0643	0.0000	98.5048	16211.	-32168.	-74.	MH2013_G(B)_ol3a_1	 7	25/10/2013 18:05:10	
8 / 1 . 	46.8301	0.1523	0.3064	10.6468	39.5416	0.3570	0.0607	0.0000	97.8950	16360.	-32159.	-80.	MH2013_G(B)_ol3a_2	 8	25/10/2013 18:10:17	
9 / 1 . 	47.0495	0.1554	0.3117	10.7511	39.8206	0.3529	0.0660	0.0000	98.5070	16360.	-32543.	-77.	MH2013_G(B)_ol3a_3	 9	25/10/2013 18:15:26	
10 / 1 . 	9.4368	0.1575	0.0198	9.4977	46.0705	14.2198	15.3692	0.8445	95.6157	16022.	-33962.	-78.	MH2013_G(B)_ol3b_1	 10	25/10/2013 18:20:35	
11 / 1 . 	9.4178	0.1796	0.0153	9.4921	46.2090	14.2051	15.3404	0.8655	95.7247	16264.	-33915.	-78.	MH2013_G(B)_ol3b_2	 11	25/10/2013 18:25:45	
12 / 1 . 	9.4100	0.1687	0.0174	9.4777	46.1422	14.1808	15.3297	0.8257	95.5521	16205.	-33810.	-78.	MH2013_G(B)_ol3b_3	 12	25/10/2013 18:30:54	
13 / 1 . 	45.6890	0.1807	0.2487	12.3369	39.5402	0.3473	0.0658	0.0043	98.4128	16137.	-28997.	-81.	MH2013_G(B)_ol4_1	 13	25/10/2013 18:36:03	
14 / 1 . 	45.7585	0.1708	0.2402	12.2771	39.4241	0.3469	0.0638	0.0191	98.3004	15950.	-28997.	-81.	MH2013_G(B)_ol4_2	 14	25/10/2013 18:41:14	
15 / 1 . 	45.7533	0.1738	0.2486	12.1493	39.4868	0.3426	0.0630	0.0005	98.2179	16053.	-28741.	-81.	MH2013_G(B)_ol4_3	 15	25/10/2013 18:46:24	
16 / 1 . 	45.4750	0.1979	0.2115	12.7618	39.6624	0.3508	0.0465	0.0021	98.7080	16428.	-25443.	-86.	MH2013_G(B)_ol5_1	 16	25/10/2013 18:51:34	
