FileName :   MH2013_GB_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  MH2013_G(B)_ol1_1 
Comment :   
Analysis Date :  25/10/2013 17:34:03 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 20434 Y = -28063 Z = -110 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	0.7247	0.0231	0.0145	0.4872	0.3063	0.0110	0.0045	0.0144		20434.	-28063.	-110.	MH2013_G(B)_ol1_1	 1	25/10/2013 17:34:03	
2 / 1 . 	0.7272	0.0229	0.0144	0.4839	0.3067	0.0112	0.0044	0.0143		20506.	-28328.	-110.	MH2013_G(B)_ol1_2	 2	25/10/2013 17:39:26	
3 / 1 . 	0.7252	0.0227	0.0145	0.4862	0.3062	0.0112	0.0044	0.0145		21028.	-28513.	-114.	MH2013_G(B)_ol1_3	 3	25/10/2013 17:44:36	
4 / 1 . 	0.7610	0.0219	0.0157	0.3727	0.3084	0.0110	0.0045	0.0142		20332.	-32191.	-106.	MH2013_G(B)_ol2_1	 4	25/10/2013 17:49:44	
5 / 1 . 	0.7625	0.0219	0.0156	0.3738	0.3106	0.0111	0.0045	0.0145		20731.	-32032.	-106.	MH2013_G(B)_ol2_2	 5	25/10/2013 17:54:53	
6 / 1 . 	0.7631	0.0216	0.0156	0.3743	0.3107	0.0108	0.0045	0.0144		20700.	-31706.	-106.	MH2013_G(B)_ol2_3	 6	25/10/2013 18:00:01	
7 / 1 . 	0.7528	0.0220	0.0155	0.4068	0.3108	0.0111	0.0043	0.0144		16211.	-32168.	-74.	MH2013_G(B)_ol3a_1	 7	25/10/2013 18:05:10	
8 / 1 . 	0.7516	0.0223	0.0154	0.4034	0.3079	0.0110	0.0044	0.0143		16360.	-32159.	-80.	MH2013_G(B)_ol3a_2	 8	25/10/2013 18:10:17	
9 / 1 . 	0.7551	0.0217	0.0155	0.4071	0.3100	0.0110	0.0044	0.0143		16360.	-32543.	-77.	MH2013_G(B)_ol3a_3	 9	25/10/2013 18:15:26	
10 / 1 . 	0.1576	0.0230	0.0122	0.3627	0.3576	0.1991	0.1640	0.0284		16022.	-33962.	-78.	MH2013_G(B)_ol3b_1	 10	25/10/2013 18:20:35	
11 / 1 . 	0.1573	0.0225	0.0122	0.3628	0.3587	0.1989	0.1637	0.0289		16264.	-33915.	-78.	MH2013_G(B)_ol3b_2	 11	25/10/2013 18:25:45	
12 / 1 . 	0.1572	0.0224	0.0122	0.3622	0.3581	0.1986	0.1636	0.0282		16205.	-33810.	-78.	MH2013_G(B)_ol3b_3	 12	25/10/2013 18:30:54	
13 / 1 . 	0.7336	0.0229	0.0147	0.4629	0.3078	0.0110	0.0045	0.0145		16137.	-28997.	-81.	MH2013_G(B)_ol4_1	 13	25/10/2013 18:36:03	
14 / 1 . 	0.7347	0.0228	0.0146	0.4610	0.3069	0.0110	0.0044	0.0145		15950.	-28997.	-81.	MH2013_G(B)_ol4_2	 14	25/10/2013 18:41:14	
15 / 1 . 	0.7345	0.0229	0.0146	0.4563	0.3074	0.0109	0.0045	0.0145		16053.	-28741.	-81.	MH2013_G(B)_ol4_3	 15	25/10/2013 18:46:24	
16 / 1 . 	0.7302	0.0226	0.0142	0.4779	0.3087	0.0109	0.0043	0.0145		16428.	-25443.	-86.	MH2013_G(B)_ol5_1	 16	25/10/2013 18:51:34	
17 / 1 . 	0.7289	0.0228	0.0142	0.4850	0.3080	0.0108	0.0043	0.0143		16428.	-25118.	-88.	MH2013_G(B)_ol5_2	 17	25/10/2013 18:56:45	
18 / 1 . 	0.7262	0.0233	0.0142	0.4826	0.3072	0.0108	0.0043	0.0145		16524.	-24960.	-90.	MH2013_G(B)_ol5_3	 18	25/10/2013 19:01:53	
19 / 1 . 	0.7310	0.0230	0.0146	0.4700	0.3072	0.0110	0.0044	0.0145		16519.	-21184.	-100.	MH2013_G(B)_ol6_1	 19	25/10/2013 19:07:03	
20 / 1 . 	0.7311	0.0222	0.0145	0.4656	0.3081	0.0108	0.0044	0.0146		16650.	-21035.	-102.	MH2013_G(B)_ol6_2	 20	25/10/2013 19:12:25	
21 / 1 . 	0.7328	0.0228	0.0145	0.4718	0.3081	0.0109	0.0044	0.0145		16528.	-20910.	-99.	MH2013_G(B)_ol6_3	 21	25/10/2013 19:17:37	
22 / 1 . 	0.7401	0.0225	0.0149	0.4421	0.3083	0.0112	0.0044	0.0145		17935.	-17751.	-123.	MH2013_G(B)_ol7_1	 22	25/10/2013 19:22:45	
23 / 1 . 	0.7402	0.0223	0.0151	0.4421	0.3092	0.0112	0.0044	0.0143		17950.	-17510.	-123.	MH2013_G(B)_ol7_2	 23	25/10/2013 19:27:54	
24 / 1 . 	0.7411	0.0225	0.0151	0.4356	0.3090	0.0113	0.0044	0.0146		18084.	-17405.	-124.	MH2013_G(B)_ol7_3	 24	25/10/2013 19:33:03	
25 / 1 . 	0.7545	0.0222	0.0158	0.4003	0.3097	0.0113	0.0048	0.0144		12604.	-16568.	-89.	MH2013_G(B)_ol8_1	 25	25/10/2013 19:38:21	
26 / 1 . 	0.7489	0.0214	0.0159	0.4064	0.3095	0.0113	0.0048	0.0143		12939.	-16595.	-92.	MH2013_G(B)_ol8_2	 26	25/10/2013 19:43:30	
27 / 1 . 	0.7508	0.0218	0.0158	0.4024	0.3101	0.0114	0.0048	0.0145		13014.	-16331.	-92.	MH2013_G(B)_ol8_3	 27	25/10/2013 19:48:39	
28 / 1 . 	0.7154	0.0230	0.0139	0.5175	0.3053	0.0109	0.0042	0.0142		12680.	-20876.	-78.	MH2013_G(B)_ol9_1	 28	25/10/2013 19:53:49	
29 / 1 . 	0.7155	0.0233	0.0141	0.5138	0.3053	0.0112	0.0043	0.0142		12664.	-21023.	-78.	MH2013_G(B)_ol9_2	 29	25/10/2013 19:58:59	
30 / 1 . 	0.7161	0.0231	0.0142	0.5160	0.3052	0.0112	0.0043	0.0145		12854.	-21029.	-78.	MH2013_G(B)_ol9_3	 30	25/10/2013 20:04:09	
31 / 1 . 	0.7322	0.0228	0.0148	0.4694	0.3082	0.0107	0.0044	0.0143		12201.	-24953.	-62.	MH2013_G(B)_ol10_1	 31	25/10/2013 20:09:20	
32 / 1 . 	0.7285	0.0226	0.0148	0.4722	0.3071	0.0108	0.0044	0.0143		12388.	-24949.	-67.	MH2013_G(B)_ol10_2	 32	25/10/2013 20:14:28	
33 / 1 . 	0.7322	0.0226	0.0148	0.4652	0.3072	0.0109	0.0044	0.0145		12369.	-25077.	-65.	MH2013_G(B)_ol10_3	 33	25/10/2013 20:19:39	
34 / 1 . 	0.7702	0.0216	0.0168	0.3438	0.3095	0.0110	0.0046	0.0143		12278.	-27696.	-62.	MH2013_G(B)_ol11_1	 34	25/10/2013 20:24:48	
35 / 1 . 	0.7701	0.0214	0.0167	0.3417	0.3114	0.0111	0.0046	0.0144		12595.	-27672.	-62.	MH2013_G(B)_ol11_2	 35	25/10/2013 20:29:58	
36 / 1 . 	0.7709	0.0219	0.0169	0.3411	0.3109	0.0111	0.0046	0.0145		12671.	-27790.	-62.	MH2013_G(B)_ol11_3	 36	25/10/2013 20:35:09	
37 / 1 . 	0.7433	0.0223	0.0151	0.4238	0.3095	0.0113	0.0045	0.0144		12315.	-33250.	-51.	MH2013_G(B)_ol12_1	 37	25/10/2013 20:40:19	
38 / 1 . 	0.7433	0.0225	0.0151	0.4272	0.3101	0.0113	0.0045	0.0144		12416.	-33309.	-51.	MH2013_G(B)_ol12_2	 38	25/10/2013 20:45:28	
