FileName :   MH2013_GB_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  MH2013_G(B)_ol1_1 
Comment :   
Analysis Date :  25/10/2013 17:34:03 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = 20434 Y = -28063 Z = -110 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	27.2137	0.1643	0.1856	10.1220	18.3873	0.2498	0.0351	0.0097	42.0006	98.3683	20434.	-28063.	-110.	MH2013_G(B)_ol1_1	 1	25/10/2013 17:34:03	
2 / 1 . 	27.3088	0.1483	0.1766	10.0478	18.4134	0.2573	0.0356	0.0068	42.0660	98.4606	20506.	-28328.	-110.	MH2013_G(B)_ol1_2	 2	25/10/2013 17:39:26	
3 / 1 . 	27.2316	0.1564	0.1897	10.1040	18.3849	0.2596	0.0307	0.0000	41.9966	98.3535	21028.	-28513.	-114.	MH2013_G(B)_ol1_3	 3	25/10/2013 17:44:36	
4 / 1 . 	28.5978	0.1106	0.2541	7.5949	18.5143	0.2515	0.0420	0.0054	42.3393	97.7098	20332.	-32191.	-106.	MH2013_G(B)_ol2_1	 4	25/10/2013 17:49:44	
5 / 1 . 	28.6534	0.1221	0.2502	7.6202	18.6507	0.2592	0.0413	0.0105	42.5467	98.1544	20731.	-32032.	-106.	MH2013_G(B)_ol2_2	 5	25/10/2013 17:54:53	
6 / 1 . 	28.6776	0.1286	0.2523	7.6391	18.6590	0.2457	0.0381	0.0003	42.5650	98.2057	20700.	-31706.	-106.	MH2013_G(B)_ol2_3	 6	25/10/2013 18:00:01	
7 / 1 . 	28.2871	0.1383	0.2487	8.3520	18.6662	0.2560	0.0341	0.0000	42.5191	98.5014	16211.	-32168.	-74.	MH2013_G(B)_ol3a_1	 7	25/10/2013 18:05:10	
8 / 1 . 	28.2398	0.1179	0.2408	8.2758	18.4828	0.2551	0.0321	0.0000	42.2495	97.8940	16360.	-32159.	-80.	MH2013_G(B)_ol3a_2	 8	25/10/2013 18:10:17	
9 / 1 . 	28.3721	0.1203	0.2449	8.3569	18.6132	0.2522	0.0349	0.0000	42.5081	98.5027	16360.	-32543.	-77.	MH2013_G(B)_ol3a_3	 9	25/10/2013 18:15:26	
10 / 1 . 	5.6906	0.1220	0.0155	7.3826	21.5346	10.1628	8.1341	0.5063	42.0673	95.6157	16022.	-33962.	-78.	MH2013_G(B)_ol3b_1	 10	25/10/2013 18:20:35	
11 / 1 . 	5.6792	0.1391	0.0120	7.3783	21.5993	10.1523	8.1188	0.5189	42.1269	95.7247	16264.	-33915.	-78.	MH2013_G(B)_ol3b_2	 11	25/10/2013 18:25:45	
12 / 1 . 	5.6745	0.1306	0.0136	7.3671	21.5681	10.1349	8.1131	0.4950	42.0552	95.5521	16205.	-33810.	-78.	MH2013_G(B)_ol3b_3	 12	25/10/2013 18:30:54	
13 / 1 . 	27.5517	0.1399	0.1954	9.5895	18.4821	0.2482	0.0348	0.0026	42.1685	98.4128	16137.	-28997.	-81.	MH2013_G(B)_ol4_1	 13	25/10/2013 18:36:03	
14 / 1 . 	27.5937	0.1322	0.1888	9.5431	18.4279	0.2479	0.0337	0.0115	42.1217	98.3004	15950.	-28997.	-81.	MH2013_G(B)_ol4_2	 14	25/10/2013 18:41:14	
15 / 1 . 	27.5905	0.1346	0.1953	9.4437	18.4572	0.2448	0.0333	0.0003	42.1180	98.2179	16053.	-28741.	-81.	MH2013_G(B)_ol4_3	 15	25/10/2013 18:46:24	
