FileName :   STAP01_13G(B)_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  STAP01_13G(B)_ol15_1 
Comment :   
Analysis Date :  25/10/2013 22:59:49 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = -18483 Y = -22903 Z = -4 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	MgO	MnO	NiO	FeO	SiO2	CaO	Al2O3	TiO2	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	45.5048	0.1972	0.2151	12.6060	39.4731	0.2728	0.0456	0.0114	98.3260	-18483.	-22903.	-4.	STAP01_13G(B)_ol15_1	 1	25/10/2013 22:59:49	
2 / 1 . 	43.7562	0.2186	0.2351	14.9852	38.6387	0.2851	0.0492	0.0007	98.1687	-21059.	-19871.	.	STAP01_13G(B)_ol15_2	 2	25/10/2013 23:04:59	
3 / 1 . 	45.5773	0.2023	0.2169	13.0606	39.4585	0.2775	0.0490	0.0188	98.8610	-18228.	-22981.	-4.	STAP01_13G(B)_ol15_3	 3	25/10/2013 23:10:10	
4 / 1 . 	43.6956	0.2408	0.2453	14.7794	38.6740	0.2881	0.0508	0.0147	97.9886	-21175.	-19735.	.	STAP01_13G(B)_ol22_1	 4	25/10/2013 23:15:19	
5 / 1 . 	43.6963	0.2330	0.2381	14.9257	38.5535	0.2887	0.0505	0.0115	97.9972	-21059.	-19871.	.	STAP01_13G(B)_ol22_2	 5	25/10/2013 23:20:28	
6 / 1 . 	43.7818	0.2279	0.2361	14.9548	38.5943	0.2775	0.0447	0.0056	98.1227	-21072.	-20043.	.	STAP01_13G(B)_ol22_3	 6	25/10/2013 23:25:37	
7 / 1 . 	42.3740	0.2729	0.1897	17.0000	38.5475	0.2573	0.0307	0.0105	98.6825	-18059.	-19031.	-8.	STAP01_13G(B)_ol21_1	 7	25/10/2013 23:30:48	
8 / 1 . 	42.3202	0.2617	0.1851	16.9164	38.5669	0.2636	0.0373	0.0225	98.5736	-18206.	-19035.	-8.	STAP01_13G(B)_ol21_2	 8	25/10/2013 23:35:57	
9 / 1 . 	42.3829	0.2699	0.1904	16.9838	38.4895	0.2593	0.0350	0.0011	98.6118	-18159.	-19141.	-8.	STAP01_13G(B)_ol21_3	 9	25/10/2013 23:41:07	
10 / 1 . 	44.6573	0.1970	0.2486	13.9878	39.1806	0.2720	0.0381	0.0131	98.5945	-15092.	-19381.	-18.	STAP01_13G(B)_ol20_1	 10	25/10/2013 23:46:17	
11 / 1 . 	44.5064	0.1954	0.2640	13.7206	39.0277	0.2642	0.0359	0.0184	98.0325	-15032.	-19440.	-19.	STAP01_13G(B)_ol20_2	 11	25/10/2013 23:51:26	
12 / 1 . 	44.5241	0.2181	0.2578	13.8591	39.0681	0.2729	0.0414	0.0263	98.2678	-14793.	-19193.	-20.	STAP01_13G(B)_ol20_3	 12	25/10/2013 23:56:35	
13 / 1 . 	44.1327	0.2345	0.2405	14.4965	38.9603	0.2934	0.0394	0.0174	98.4147	-12677.	-19152.	-29.	STAP01_13G(B)_ol19_1	 13	26/10/2013 00:01:44	
14 / 1 . 	44.2217	0.2267	0.2243	14.4325	39.0708	0.2983	0.0393	0.0105	98.5239	-12529.	-19174.	-29.	STAP01_13G(B)_ol19_2	 14	26/10/2013 00:06:55	
15 / 1 . 	44.1568	0.2064	0.2409	14.4738	39.0042	0.2847	0.0379	0.0260	98.4307	-12562.	-19248.	-29.	STAP01_13G(B)_ol19_3	 15	26/10/2013 00:12:06	
16 / 1 . 	45.0339	0.1893	0.2605	13.6572	39.3075	0.2909	0.0467	0.0129	98.7989	-9917.	-18163.	-38.	STAP01_13G(B)_ol18_1	 16	26/10/2013 00:17:13	
17 / 1 . 	44.8380	0.1961	0.2548	13.5918	39.1297	0.2889	0.0523	0.0024	98.3540	-9911.	-18330.	-39.	STAP01_13G(B)_ol18_2	 17	26/10/2013 00:22:25	
18 / 1 . 	44.7665	0.1950	0.2674	13.3116	39.2424	0.2888	0.0491	0.0112	98.1320	-9509.	-18686.	-40.	STAP01_13G(B)_ol18_3	 18	26/10/2013 00:27:34	
19 / 1 . 	44.9542	0.2081	0.2377	13.4961	39.2802	0.2717	0.0485	0.0194	98.5158	-8971.	-22047.	-40.	STAP01_13G(B)_ol17_1	 19	26/10/2013 00:32:43	
