FileName :   STAP01_13G(B)_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  STAP01_13G(B)_ol15_1 
Comment :   
Analysis Date :  25/10/2013 22:59:49 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = -18483 Y = -22903 Z = -4 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	0.7306	0.0226	0.0143	0.4724	0.3073	0.0099	0.0042	0.0144		-18483.	-22903.	-4.	STAP01_13G(B)_ol15_1	 1	25/10/2013 22:59:49	
2 / 1 . 	0.7030	0.0235	0.0146	0.5562	0.3009	0.0100	0.0043	0.0145		-21059.	-19871.	.	STAP01_13G(B)_ol15_2	 2	25/10/2013 23:04:59	
3 / 1 . 	0.7318	0.0233	0.0143	0.4885	0.3072	0.0099	0.0043	0.0143		-18228.	-22981.	-4.	STAP01_13G(B)_ol15_3	 3	25/10/2013 23:10:10	
4 / 1 . 	0.7020	0.0234	0.0147	0.5490	0.3012	0.0100	0.0043	0.0146		-21175.	-19735.	.	STAP01_13G(B)_ol22_1	 4	25/10/2013 23:15:19	
5 / 1 . 	0.7020	0.0237	0.0147	0.5542	0.3002	0.0101	0.0043	0.0146		-21059.	-19871.	.	STAP01_13G(B)_ol22_2	 5	25/10/2013 23:20:28	
6 / 1 . 	0.7034	0.0236	0.0146	0.5550	0.3005	0.0099	0.0043	0.0143		-21072.	-20043.	.	STAP01_13G(B)_ol22_3	 6	25/10/2013 23:25:37	
7 / 1 . 	0.6811	0.0243	0.0140	0.6271	0.3002	0.0097	0.0042	0.0148		-18059.	-19031.	-8.	STAP01_13G(B)_ol21_1	 7	25/10/2013 23:30:48	
8 / 1 . 	0.6802	0.0244	0.0141	0.6241	0.3003	0.0097	0.0042	0.0145		-18206.	-19035.	-8.	STAP01_13G(B)_ol21_2	 8	25/10/2013 23:35:57	
9 / 1 . 	0.6813	0.0253	0.0141	0.6267	0.2998	0.0098	0.0042	0.0145		-18159.	-19141.	-8.	STAP01_13G(B)_ol21_3	 9	25/10/2013 23:41:07	
10 / 1 . 	0.7173	0.0233	0.0147	0.5212	0.3051	0.0100	0.0042	0.0147		-15092.	-19381.	-18.	STAP01_13G(B)_ol20_1	 10	25/10/2013 23:46:17	
11 / 1 . 	0.7149	0.0232	0.0149	0.5119	0.3039	0.0098	0.0042	0.0146		-15032.	-19440.	-19.	STAP01_13G(B)_ol20_2	 11	25/10/2013 23:51:26	
12 / 1 . 	0.7147	0.0224	0.0145	0.5151	0.3040	0.0096	0.0041	0.0142		-14793.	-19193.	-20.	STAP01_13G(B)_ol20_3	 12	25/10/2013 23:56:35	
13 / 1 . 	0.7090	0.0233	0.0147	0.5392	0.3034	0.0102	0.0042	0.0148		-12677.	-19152.	-29.	STAP01_13G(B)_ol19_1	 13	26/10/2013 00:01:44	
14 / 1 . 	0.7103	0.0233	0.0146	0.5366	0.3042	0.0101	0.0042	0.0145		-12529.	-19174.	-29.	STAP01_13G(B)_ol19_2	 14	26/10/2013 00:06:55	
15 / 1 . 	0.7093	0.0235	0.0146	0.5382	0.3037	0.0101	0.0043	0.0147		-12562.	-19248.	-29.	STAP01_13G(B)_ol19_3	 15	26/10/2013 00:12:06	
16 / 1 . 	0.7232	0.0229	0.0149	0.5096	0.3060	0.0101	0.0043	0.0147		-9917.	-18163.	-38.	STAP01_13G(B)_ol18_1	 16	26/10/2013 00:17:13	
17 / 1 . 	0.7201	0.0228	0.0149	0.5073	0.3047	0.0102	0.0043	0.0145		-9911.	-18330.	-39.	STAP01_13G(B)_ol18_2	 17	26/10/2013 00:22:25	
18 / 1 . 	0.7189	0.0231	0.0150	0.4973	0.3055	0.0101	0.0043	0.0144		-9509.	-18686.	-40.	STAP01_13G(B)_ol18_3	 18	26/10/2013 00:27:34	
19 / 1 . 	0.7220	0.0232	0.0145	0.5039	0.3058	0.0099	0.0043	0.0146		-8971.	-22047.	-40.	STAP01_13G(B)_ol17_1	 19	26/10/2013 00:32:43	
20 / 1 . 	0.7213	0.0235	0.0145	0.5080	0.3052	0.0098	0.0043	0.0143		-8760.	-21957.	-42.	STAP01_13G(B)_ol17_2	 20	26/10/2013 00:37:53	
21 / 1 . 	0.7228	0.0228	0.0144	0.5021	0.3040	0.0099	0.0042	0.0143		-8904.	-21998.	-42.	STAP01_13G(B)_ol17_3	 21	26/10/2013 00:43:04	
22 / 1 . 	0.6817	0.0241	0.0136	0.6136	0.2983	0.0100	0.0043	0.0146		-13640.	-22660.	-24.	STAP01_13G(B)_ol16_1	 22	26/10/2013 00:48:13	
23 / 1 . 	0.6843	0.0245	0.0136	0.6139	0.2989	0.0101	0.0042	0.0145		-13824.	-22886.	-24.	STAP01_13G(B)_ol16_2	 23	26/10/2013 00:53:23	
24 / 1 . 	0.6839	0.0242	0.0136	0.6151	0.2994	0.0101	0.0043	0.0143		-13628.	-22934.	-24.	STAP01_13G(B)_ol16_3	 24	26/10/2013 00:58:34	
