FileName :   STAP01_13G(B)_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  STAP01_13G(B)_ol15_1 
Comment :   
Analysis Date :  25/10/2013 22:59:49 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = -18483 Y = -22903 Z = -4 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	27.4407	0.1527	0.1691	9.7987	18.4508	0.1950	0.0241	0.0068	42.0882	98.3260	-18483.	-22903.	-4.	STAP01_13G(B)_ol15_1	 1	25/10/2013 22:59:49	
2 / 1 . 	26.3862	0.1693	0.1847	11.6481	18.0608	0.2037	0.0260	0.0004	41.4895	98.1687	-21059.	-19871.	.	STAP01_13G(B)_ol15_2	 2	25/10/2013 23:04:59	
3 / 1 . 	27.4844	0.1567	0.1705	10.1521	18.4439	0.1983	0.0260	0.0113	42.2179	98.8610	-18228.	-22981.	-4.	STAP01_13G(B)_ol15_3	 3	25/10/2013 23:10:10	
4 / 1 . 	26.3496	0.1865	0.1928	11.4881	18.0772	0.2059	0.0269	0.0088	41.4528	97.9886	-21175.	-19735.	.	STAP01_13G(B)_ol22_1	 4	25/10/2013 23:15:19	
5 / 1 . 	26.3501	0.1805	0.1871	11.6018	18.0209	0.2063	0.0267	0.0069	41.4169	97.9972	-21059.	-19871.	.	STAP01_13G(B)_ol22_2	 5	25/10/2013 23:20:28	
6 / 1 . 	26.4017	0.1765	0.1856	11.6245	18.0400	0.1983	0.0236	0.0034	41.4693	98.1227	-21072.	-20043.	.	STAP01_13G(B)_ol22_3	 6	25/10/2013 23:25:37	
7 / 1 . 	25.5527	0.2113	0.1490	13.2142	18.0181	0.1839	0.0163	0.0063	41.3307	98.6825	-18059.	-19031.	-8.	STAP01_13G(B)_ol21_1	 7	25/10/2013 23:30:48	
8 / 1 . 	25.5202	0.2027	0.1454	13.1492	18.0272	0.1884	0.0197	0.0135	41.3073	98.5737	-18206.	-19035.	-8.	STAP01_13G(B)_ol21_2	 8	25/10/2013 23:35:57	
9 / 1 . 	25.5581	0.2090	0.1496	13.2016	17.9910	0.1853	0.0185	0.0006	41.2980	98.6118	-18159.	-19141.	-8.	STAP01_13G(B)_ol21_3	 9	25/10/2013 23:41:07	
10 / 1 . 	26.9296	0.1526	0.1954	10.8728	18.3141	0.1944	0.0202	0.0079	41.9077	98.5945	-15092.	-19381.	-18.	STAP01_13G(B)_ol20_1	 10	25/10/2013 23:46:17	
11 / 1 . 	26.8386	0.1513	0.2075	10.6651	18.2426	0.1888	0.0190	0.0110	41.7086	98.0325	-15032.	-19440.	-19.	STAP01_13G(B)_ol20_2	 11	25/10/2013 23:51:26	
12 / 1 . 	26.8493	0.1689	0.2026	10.7727	18.2615	0.1950	0.0219	0.0157	41.7801	98.2678	-14793.	-19193.	-20.	STAP01_13G(B)_ol20_3	 12	25/10/2013 23:56:35	
13 / 1 . 	26.6133	0.1816	0.1890	11.2682	18.2111	0.2097	0.0208	0.0105	41.7106	98.4147	-12677.	-19152.	-29.	STAP01_13G(B)_ol19_1	 13	26/10/2013 00:01:44	
14 / 1 . 	26.6669	0.1755	0.1763	11.2184	18.2627	0.2132	0.0208	0.0063	41.7838	98.5239	-12529.	-19174.	-29.	STAP01_13G(B)_ol19_2	 14	26/10/2013 00:06:55	
15 / 1 . 	26.6278	0.1598	0.1893	11.2506	18.2316	0.2034	0.0201	0.0156	41.7325	98.4307	-12562.	-19248.	-29.	STAP01_13G(B)_ol19_3	 15	26/10/2013 00:12:06	
