FileName :   Stap01_13GA_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  Stap01_13G(A)_ol2_1 
Comment :   
Analysis Date :  24/10/2013 22:53:34 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = -21874 Y = 5193 Z = -6 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	MgO	MnO	NiO	FeO	SiO2	CaO	Al2O3	TiO2	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	44.6367	0.2189	0.2083	13.8507	37.9666	0.2635	0.0429	0.0115	97.1991	-21874.	5193.	-6.	Stap01_13G(A)_ol2_1	 1	24/10/2013 22:53:34	
2 / 1 . 	44.6651	0.1929	0.2084	13.6891	38.0418	0.2717	0.0427	0.0125	97.1241	-21669.	5193.	-5.	Stap01_13G(A)_ol2_2	 2	24/10/2013 22:58:43	
3 / 1 . 	44.5493	0.1962	0.2070	13.8599	38.2303	0.2646	0.0431	0.0000	97.3504	-21740.	5064.	-5.	Stap01_13G(A)_ol2_3	 3	24/10/2013 23:03:52	
4 / 1 . 	44.1694	0.2312	0.2321	14.3523	38.4349	0.2880	0.0362	0.0125	97.7565	-21682.	2653.	-11.	Stap01_13G(A)_ol1_1	 4	24/10/2013 23:08:58	
5 / 1 . 	44.1676	0.2242	0.2298	14.2782	38.5399	0.2956	0.0381	0.0000	97.7735	-21685.	2653.	-9.	Stap01_13G(A)_ol1_2	 5	24/10/2013 23:14:04	
6 / 1 . 	42.6280	0.2594	0.1753	16.3225	38.3571	0.2904	0.0341	0.0147	98.0814	-22120.	2461.	-10.	Stap01_13G(A)_ol1_3	 6	24/10/2013 23:19:15	
7 / 1 . 	44.6835	0.2058	0.2490	13.8646	38.2781	0.2745	0.0441	0.0124	97.6119	-18061.	-7794.	-48.	Stap01_13G(A)_ol3_1	 7	24/10/2013 23:24:25	
8 / 1 . 	44.5374	0.2220	0.2555	13.6969	38.2215	0.2788	0.0508	0.0014	97.2642	-18061.	-7794.	-48.	Stap01_13G(A)_ol3_2	 8	24/10/2013 23:29:34	
9 / 1 . 	44.5774	0.2332	0.2621	13.9047	38.0520	0.2715	0.0455	0.0138	97.3603	-17773.	-7868.	-48.	Stap01_13G(A)_ol3_3	 9	24/10/2013 23:34:45	
10 / 1 . 	40.6349	0.2765	0.1352	19.0842	37.3357	0.2928	0.0369	0.0137	97.8097	-18398.	-3997.	-30.	Stap01_13G(A)_ol5_1	 10	24/10/2013 23:39:50	
11 / 1 . 	42.5793	0.2445	0.2097	16.5675	38.2108	0.2661	0.0343	0.0105	98.1228	-17990.	199.	-13.	Stap01_13G(A)_ol5_2	 11	24/10/2013 23:44:56	
12 / 1 . 	43.0618	0.2359	0.2163	15.7175	38.0164	0.2815	0.0411	0.0077	97.5782	-18406.	581.	-13.	Stap01_13G(A)_ol5_3	 12	24/10/2013 23:50:06	
13 / 1 . 	45.3714	0.1894	0.2806	12.6224	38.9625	0.2758	0.0484	0.0131	97.7636	-18069.	4214.	.	Stap01_13G(A)_ol6_1	 13	24/10/2013 23:55:14	
14 / 1 . 	45.7109	0.1904	0.2847	12.5478	38.9839	0.2826	0.0509	0.0073	98.0586	-18295.	4059.	.	Stap01_13G(A)_ol6_2	 14	25/10/2013 00:00:20	
15 / 1 . 	45.6339	0.1774	0.2717	12.5285	38.8147	0.2832	0.0546	0.0056	97.7697	-18373.	4362.	.	Stap01_13G(A)_ol6_3	 15	25/10/2013 00:05:27	
16 / 1 . 	45.6045	0.1831	0.2623	12.1932	38.7706	0.2778	0.0458	0.0117	97.3491	-17628.	7051.	7.	Stap01_13G(A)_ol7_1	 16	25/10/2013 00:10:34	
