FileName :   Stap01_13GA_ol.qtiDat 
Signal(s) Used :  Mg Ka, Mn Ka, Ni Ka, Fe Ka, Si Ka, Ca Ka, Al Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp5 LIF,  Sp1 LTAP,  Sp2 PET,  Sp4 TAP,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 60nA  
Date :  28-Oct-2013 
User Name :  sx 
Setup Name :  lucy_ol_24oct2013.qtiSet 
DataSet Comment :  Stap01_13G(A)_ol2_1 
Comment :   
Analysis Date :  24/10/2013 22:53:34 
Project Name :  Lucy Tweed 
Sample Name :  24 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1317	2728	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1822	364	3	1007	399	Inte	 
  Sp3(Ni Ka)	1821	359	3	560	816	Inte	 
  Sp5(Fe Ka)	1822	364	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2639	3	2008	2194	Inte	 
  Sp2(Ca Ka)	1303	917	3	890	2548	Inte	 
  Sp4(Al Ka)	1317	2728	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1303	917	3	890	2548	Inte 
Peak Position :   Sp4 38517 (-500, 500),  Sp5 52203 (200, 1.0221),  Sp3 41166 (-250, 300),  Sp5 48080 (-250, 300),  Sp1 27737 (-500, 300),  Sp2 38382 (-300, 250),  Sp4 32477 (-500, 500),  Sp2 31419 (-350, 250) 
Current Sample Position :   X = -21874 Y = 5193 Z = -6 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Mn On Mn 
 Ni On NiO 
 Fe On Fayalite 
 Si, Ca On Diopside 
 Al On Cor 
 Ti On Rutile 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg015.calDat 
 Mn : Mn_Mn_Mn003.calDat 
 Ni : NiO_Ni_Ni001.calDat 
 Fe : Fayalite_Fe_Fe001.calDat 
 Si, Ca : Diopside_Si_Si_Ca002.calDat 
 Al : Cor_Al_Al016.calDat 
 Ti : Rutile_Ti235.calDat 
Beam Size :  1 µm 

DataSet/Point	Mg	Mn	Ni	Fe	Si	Ca	Al	Ti	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	26.9172	0.1695	0.1637	10.7662	17.7466	0.1883	0.0227	0.0069	41.2180	97.1991	-21874.	5193.	-6.	Stap01_13G(A)_ol2_1	 1	24/10/2013 22:53:34	
2 / 1 . 	26.9343	0.1494	0.1637	10.6406	17.7817	0.1942	0.0226	0.0075	41.2301	97.1241	-21669.	5193.	-5.	Stap01_13G(A)_ol2_2	 2	24/10/2013 22:58:43	
3 / 1 . 	26.8645	0.1519	0.1627	10.7733	17.8699	0.1891	0.0228	0.0000	41.3156	97.3498	-21740.	5064.	-5.	Stap01_13G(A)_ol2_3	 3	24/10/2013 23:03:52	
4 / 1 . 	26.6354	0.1791	0.1824	11.1561	17.9655	0.2058	0.0192	0.0075	41.4056	97.7565	-21682.	2653.	-11.	Stap01_13G(A)_ol1_1	 4	24/10/2013 23:08:58	
5 / 1 . 	26.6343	0.1736	0.1806	11.0985	18.0146	0.2113	0.0202	0.0000	41.4368	97.7699	-21685.	2653.	-9.	Stap01_13G(A)_ol1_2	 5	24/10/2013 23:14:04	
6 / 1 . 	25.7059	0.2009	0.1377	12.6875	17.9291	0.2076	0.0181	0.0088	41.1859	98.0814	-22120.	2461.	-10.	Stap01_13G(A)_ol1_3	 6	24/10/2013 23:19:15	
7 / 1 . 	26.9454	0.1593	0.1957	10.7770	17.8922	0.1962	0.0233	0.0074	41.4153	97.6119	-18061.	-7794.	-48.	Stap01_13G(A)_ol3_1	 7	24/10/2013 23:24:25	
8 / 1 . 	26.8573	0.1719	0.2008	10.6467	17.8657	0.1992	0.0269	0.0008	41.2949	97.2642	-18061.	-7794.	-48.	Stap01_13G(A)_ol3_2	 8	24/10/2013 23:29:34	
9 / 1 . 	26.8814	0.1806	0.2060	10.8082	17.7865	0.1940	0.0241	0.0083	41.2712	97.3603	-17773.	-7868.	-48.	Stap01_13G(A)_ol3_3	 9	24/10/2013 23:34:45	
10 / 1 . 	24.5040	0.2141	0.1062	14.8343	17.4517	0.2092	0.0195	0.0082	40.4625	97.8097	-18398.	-3997.	-30.	Stap01_13G(A)_ol5_1	 10	24/10/2013 23:39:50	
11 / 1 . 	25.6765	0.1894	0.1648	12.8780	17.8608	0.1902	0.0182	0.0063	41.1387	98.1227	-17990.	199.	-13.	Stap01_13G(A)_ol5_2	 11	24/10/2013 23:44:56	
12 / 1 . 	25.9675	0.1827	0.1700	12.2173	17.7699	0.2012	0.0217	0.0046	41.0433	97.5782	-18406.	581.	-13.	Stap01_13G(A)_ol5_3	 12	24/10/2013 23:50:06	
13 / 1 . 	27.3602	0.1466	0.2205	9.8114	18.2121	0.1971	0.0256	0.0079	41.7821	97.7636	-18069.	4214.	.	Stap01_13G(A)_ol6_1	 13	24/10/2013 23:55:14	
14 / 1 . 	27.5650	0.1474	0.2237	9.7535	18.2221	0.2020	0.0269	0.0044	41.9135	98.0586	-18295.	4059.	.	Stap01_13G(A)_ol6_2	 14	25/10/2013 00:00:20	
15 / 1 . 	27.5185	0.1374	0.2135	9.7384	18.1430	0.2024	0.0289	0.0034	41.7841	97.7697	-18373.	4362.	.	Stap01_13G(A)_ol6_3	 15	25/10/2013 00:05:27	
16 / 1 . 	27.5008	0.1418	0.2062	9.4779	18.1224	0.1986	0.0242	0.0070	41.6703	97.3491	-17628.	7051.	7.	Stap01_13G(A)_ol7_1	 16	25/10/2013 00:10:34	
17 / 1 . 	27.5663	0.1473	0.2089	9.6306	18.1639	0.1904	0.0232	0.0000	41.7956	97.7261	-17732.	6997.	7.	Stap01_13G(A)_ol7_2	 17	25/10/2013 00:15:41	
18 / 1 . 	27.5954	0.1476	0.2091	9.7827	18.0845	0.1945	0.0220	0.0000	41.7673	97.8031	-17597.	7152.	7.	Stap01_13G(A)_ol7_3	 18	25/10/2013 00:20:51	
19 / 1 . 	27.7759	0.1294	0.2259	9.1810	18.2045	0.1972	0.0305	0.0000	41.8600	97.6043	-14867.	10195.	18.	Stap01_13G(A)_ol13_1	 19	25/10/2013 00:25:59	
20 / 1 . 	27.8724	0.1491	0.2229	9.1882	18.1493	0.2011	0.0256	0.0003	41.8669	97.6757	-14750.	10142.	18.	Stap01_13G(A)_ol13_2	 20	25/10/2013 00:31:06	
21 / 1 . 	27.8816	0.1428	0.2192	9.2406	18.3063	0.2021	0.0260	0.0047	42.0678	98.0912	-14486.	9888.	19.	Stap01_13G(A)_ol13_3	 21	25/10/2013 00:36:14	
22 / 1 . 	26.8940	0.1528	0.2103	10.8575	18.1043	0.2115	0.0267	0.0000	41.6524	98.1095	-14260.	7564.	13.	Stap01_13G(A)_ol12_1	 22	25/10/2013 00:41:25	
23 / 1 . 	26.9942	0.1702	0.2073	10.6887	18.1128	0.2198	0.0241	0.0000	41.6813	98.0984	-13323.	8005.	16.	Stap01_13G(A)_ol12_2	 23	25/10/2013 00:46:35	
24 / 1 . 	26.9240	0.1548	0.2105	10.7042	18.1818	0.2228	0.0256	0.0000	41.7203	98.1440	-13228.	8015.	16.	Stap01_13G(A)_ol12_3	 24	25/10/2013 00:51:42	
25 / 1 . 	26.9445	0.1570	0.1902	10.6073	18.2303	0.1932	0.0229	0.0092	41.7488	98.1033	-13823.	3525.	5.	Stap01_13G(A)_ol11_1	 25	25/10/2013 00:56:49	
