FileName :   09KS_04(A)_points.qtiDat 
Signal(s) Used :  Fe Ka, Si Ka, Cr Ka, Mg Ka, Ti Ka, Al Ka, Mn Ka, Ni Ka, Ca Ka 
Spectromers Conditions :   Sp5 LIF,  Sp1 LTAP,  Sp3 LLIF,  Sp4 TAP,  Sp2 PET,  Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp2 PET 
Full Spectromers Conditions :   Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Fe Ka, Si Ka, Cr Ka, Mg Ka, Ti Ka 
 	Cond 2 : Al Ka, Mn Ka, Ni Ka, Ca Ka 
Date :  1-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_31oct2013.qtiSet 
DataSet Comment :  09KS_04(A)_ol7 
Comment :   
Analysis Date :  31/10/2013 16:59:08 
Project Name :  Lucy Tweed 
Sample Name :  31 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp3(Cr Ka)	1815	350	3	560	816	Inte	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte 
Peak Position :   Sp5 48089 (-250, 300),  Sp1 27741 (-500, 300),  Sp3 56853 (-250, 300),  Sp4 38519 (-500, 500),  Sp2 31432 (-350, 250),  Sp4 32472 (-500, 500),  Sp5 52207 (200, 1.0221),  Sp3 41160 (-250, 300),  Sp2 38386 (-300, 250) 
Current Sample Position :   X = -14788 Y = 3878 Z = 48 
Standard Name :   
 Fe On Fayalite 
 Si, Ca On Diopside 
 Cr On Cr 
 Mg On Olivine (St. Johns) 
 Ti On Rutile 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cr = Cr : 100.% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Fe : Fayalite_Fe257.calDat 
 Si : Diopside_Si_Si_Ca001.calDat 
 Cr : Cr_Cr_Cr003.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg016.calDat 
 Ti : Rutile_Ti_Ti030.calDat 
 Al : Cor_Al_Al017.calDat 
 Mn : Mn_Mn265.calDat 
 Ni : NiO_Ni065.calDat 
 Ca : Diopside_Si_Si_Ca_Ca020.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	FeO	SiO2	Cr2O3	MgO	TiO2	Al2O3	MnO	NiO	CaO	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	11.1409	40.5727	0.0626	46.9309	0.0068	0.0323	0.1729	0.2570	0.2389	99.4150	-15184.	8303.	57.	09KS_04(A)_ol1	 1	31/10/2013 14:57:20	
2 / 1 . 	10.8866	40.6528	0.0061	46.9796	0.0011	0.0290	0.1635	0.2836	0.2479	99.2502	-15160.	8470.	57.	09KS_04(A)_ol1	 2	31/10/2013 15:04:04	
3 / 1 . 	11.1310	40.6639	0.0409	47.1917	0.0000	0.0311	0.1643	0.2758	0.2712	99.7699	-14883.	8321.	55.	09KS_04(A)_ol1	 3	31/10/2013 15:10:54	
4 / 1 . 	13.7363	39.7533	0.0150	44.9000	0.0073	0.0187	0.2087	0.1897	0.1339	98.9629	-12870.	8471.	44.	09KS_04(A)_ol2	 4	31/10/2013 15:17:40	
5 / 1 . 	13.1558	40.4210	0.0245	45.5082	0.0304	0.0216	0.2104	0.1905	0.1690	99.7315	-12691.	8447.	44.	09KS_04(A)_ol2	 5	31/10/2013 15:24:26	
6 / 1 . 	13.2981	40.4656	0.0167	45.8319	0.0414	0.0266	0.1949	0.1880	0.1565	100.2197	-12933.	8322.	47.	09KS_04(A)_ol2	 6	31/10/2013 15:31:14	
7 / 1 . 	12.4957	40.4627	0.0285	45.9262	0.0095	0.0493	0.1847	0.2387	0.3259	99.7211	-10730.	8762.	40.	09KS_04(A)_ol3	 7	31/10/2013 15:38:02	
8 / 1 . 	12.9990	40.5792	0.0387	45.2423	0.0076	0.0540	0.1853	0.2239	0.3160	99.6460	-10636.	8751.	41.	09KS_04(A)_ol3	 8	31/10/2013 15:44:48	
9 / 1 . 	12.6470	40.0568	0.0370	45.7958	0.0066	0.0461	0.1947	0.2282	0.3176	99.3299	-10659.	8633.	36.	09KS_04(A)_ol3	 9	31/10/2013 15:51:34	
10 / 1 . 	10.9132	40.7902	0.0048	46.7600	0.0048	0.0706	0.1739	0.2383	0.3077	99.2635	-5639.	6180.	17.	09KS_04(A)_ol4	 10	31/10/2013 15:58:20	
11 / 1 . 	11.1762	40.8479	0.0309	47.0467	0.0011	0.0735	0.1480	0.2492	0.3112	99.8846	-5534.	6163.	16.	09KS_04(A)_ol4	 11	31/10/2013 16:05:08	
12 / 1 . 	11.1343	40.8174	0.0095	47.0390	0.0041	0.0701	0.1557	0.2505	0.3113	99.7918	-5643.	6057.	18.	09KS_04(A)_ol4	 12	31/10/2013 16:11:56	
13 / 1 . 	10.5989	40.9009	0.0582	47.2444	0.0166	0.0713	0.1645	0.3243	0.3154	99.6946	-9324.	5228.	30.	09KS_04(A)_ol5	 13	31/10/2013 16:18:43	
14 / 1 . 	10.7566	40.9398	0.0266	47.2102	0.0119	0.0731	0.1510	0.3231	0.3178	99.8100	-9235.	5278.	30.	09KS_04(A)_ol5	 14	31/10/2013 16:25:27	
15 / 1 . 	10.6050	40.8460	0.0508	47.1868	0.0000	0.0682	0.1634	0.3195	0.3292	99.5688	-9382.	5052.	32.	09KS_04(A)_ol5	 15	31/10/2013 16:32:10	
16 / 1 . 	11.5031	40.5761	0.0479	46.3915	0.0116	0.0677	0.1796	0.3070	0.3300	99.4145	-12482.	4352.	42.	09KS_04(A)_ol6	 16	31/10/2013 16:38:54	
17 / 1 . 	11.3357	40.5964	0.0671	46.7016	0.0139	0.0659	0.1739	0.3050	0.3232	99.5828	-12386.	4274.	42.	09KS_04(A)_ol6	 17	31/10/2013 16:45:39	
18 / 1 . 	11.3590	40.6672	0.0397	46.7670	0.0065	0.0678	0.1638	0.2979	0.3233	99.6921	-12208.	4519.	40.	09KS_04(A)_ol6	 18	31/10/2013 16:52:23	
