FileName :   BLA2013_01G(A)_points.qtiDat 
Signal(s) Used :  Fe Ka, Si Ka, Cr Ka, Mg Ka, Ti Ka, Al Ka, Mn Ka, Ni Ka, Ca Ka 
Spectromers Conditions :   Sp5 LIF,  Sp1 LTAP,  Sp3 LLIF,  Sp4 TAP,  Sp2 PET,  Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp2 PET 
Full Spectromers Conditions :   Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Fe Ka, Si Ka, Cr Ka, Mg Ka, Ti Ka 
 	Cond 2 : Al Ka, Mn Ka, Ni Ka, Ca Ka 
Date :  1-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_31oct2013.qtiSet 
DataSet Comment :  BLA2013_01G(A)_ol14 
Comment :   
Analysis Date :  01/11/2013 10:07:04 
Project Name :  Lucy Tweed 
Sample Name :  31 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp3(Cr Ka)	1815	350	3	560	816	Inte	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte 
Peak Position :   Sp5 48089 (-250, 300),  Sp1 27741 (-500, 300),  Sp3 56853 (-250, 300),  Sp4 38519 (-500, 500),  Sp2 31432 (-350, 250),  Sp4 32472 (-500, 500),  Sp5 52207 (200, 1.0221),  Sp3 41160 (-250, 300),  Sp2 38386 (-300, 250) 
Current Sample Position :   X = 22675 Y = 801 Z = -110 
Standard Name :   
 Fe On Fayalite 
 Si, Ca On Diopside 
 Cr On Cr 
 Mg On Olivine (St. Johns) 
 Ti On Rutile 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cr = Cr : 100.% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Fe : Fayalite_Fe257.calDat 
 Si : Diopside_Si_Si_Ca001.calDat 
 Cr : Cr_Cr_Cr003.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg016.calDat 
 Ti : Rutile_Ti_Ti030.calDat 
 Al : Cor_Al_Al017.calDat 
 Mn : Mn_Mn265.calDat 
 Ni : NiO_Ni065.calDat 
 Ca : Diopside_Si_Si_Ca_Ca020.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Fe	Si	Cr	Mg	Ti	Al	Mn	Ni	Ca	O	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	9.2307	19.0240	0.0382	28.1175	0.0054	0.0347	0.1233	0.2430	0.2330	43.0770	100.1268	18652.	7618.	-62.	BLA2013_01G(A)_ol1	 1	31/10/2013 22:03:09	
2 / 1 . 	9.0720	18.9932	0.0581	28.0994	0.0028	0.0384	0.1307	0.2362	0.2271	42.9932	99.8510	18768.	7665.	-63.	BLA2013_01G(A)_ol1	 2	31/10/2013 22:09:53	
3 / 1 . 	9.1315	18.9925	0.0503	28.1710	0.0003	0.0325	0.1295	0.2423	0.2334	43.0498	100.0330	18715.	7605.	-63.	BLA2013_01G(A)_ol1	 3	31/10/2013 22:16:36	
4 / 1 . 	9.3119	18.9830	0.0572	27.9702	0.0000	0.0344	0.1283	0.2496	0.2171	42.9573	99.9090	20710.	3996.	-87.	BLA2013_01G(A)_ol2	 4	31/10/2013 22:23:22	
5 / 1 . 	9.1384	19.0110	0.0544	27.9719	0.0000	0.0329	0.1356	0.2483	0.2216	42.9394	99.7536	20833.	3968.	-87.	BLA2013_01G(A)_ol2	 5	31/10/2013 22:30:06	
6 / 1 . 	9.2142	18.9659	0.0580	28.0726	0.0069	0.0344	0.1443	0.2454	0.2223	42.9889	99.9530	20737.	3909.	-88.	BLA2013_01G(A)_ol2	 6	31/10/2013 22:36:51	
7 / 1 . 	9.3307	18.9839	0.0505	28.0726	0.0008	0.0533	0.1379	0.2608	0.2096	43.0492	100.1492	18177.	4213.	-91.	BLA2013_01G(A)_ol3	 7	31/10/2013 22:43:37	
8 / 1 . 	9.2996	18.9640	0.0422	27.9344	0.0099	0.0504	0.1447	0.2643	0.2074	42.9284	99.8452	18010.	3990.	-91.	BLA2013_01G(A)_ol3	 8	31/10/2013 22:50:23	
9 / 1 . 	8.8155	18.9481	0.0216	28.4092	0.0004	0.0290	0.1285	0.1944	0.2170	43.0293	99.7928	15202.	4157.	-99.	BLA2013_01G(A)_ol4	 9	31/10/2013 22:57:06	
10 / 1 . 	8.6696	18.9597	0.0173	28.3867	0.0009	0.0290	0.1188	0.1924	0.2104	42.9785	99.5635	15321.	4148.	-100.	BLA2013_01G(A)_ol4	 10	31/10/2013 23:03:52	
11 / 1 . 	8.8134	19.0130	0.0069	28.5459	0.0000	0.0267	0.1301	0.2120	0.2189	43.1881	100.1549	15282.	3936.	-100.	BLA2013_01G(A)_ol4	 11	31/10/2013 23:10:38	
12 / 1 . 	10.3768	18.8396	0.0000	27.4080	0.0085	0.0398	0.1614	0.1334	0.2102	42.6879	99.8656	12454.	4324.	-105.	BLA2013_01G(A)_ol5	 12	31/10/2013 23:17:20	
13 / 1 . 	10.3918	18.8432	0.0044	27.3655	0.0000	0.0387	0.1574	0.1258	0.2116	42.6586	99.7969	12558.	4311.	-105.	BLA2013_01G(A)_ol5	 13	31/10/2013 23:24:04	
14 / 1 . 	10.5750	18.7986	0.0014	27.3003	0.0000	0.0397	0.1627	0.1246	0.2101	42.6187	99.8311	12530.	4229.	-106.	BLA2013_01G(A)_ol5	 14	31/10/2013 23:30:48	
15 / 1 . 	11.9812	18.6898	0.0386	26.5984	0.0000	0.0227	0.1963	0.1418	0.1423	42.4244	100.2354	9196.	4520.	-111.	BLA2013_01G(A)_ol6	 15	31/10/2013 23:37:31	
16 / 1 . 	12.2343	18.6214	0.0318	26.4130	0.0088	0.0231	0.1810	0.1461	0.1381	42.2981	100.0956	9419.	4585.	-111.	BLA2013_01G(A)_ol6	 16	31/10/2013 23:44:19	
17 / 1 . 	12.0615	18.6614	0.0170	26.4615	0.0079	0.0227	0.1780	0.1539	0.1410	42.3208	100.0257	9432.	4386.	-111.	BLA2013_01G(A)_ol6	 17	31/10/2013 23:51:01	
