FileName :   BLA2013_01G(B)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  BLA2013_01G(B)_ol1 
Comment :   
Analysis Date :  09/11/2013 19:09:29 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = -13276 Y = 7118 Z = 16 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	P	Fe	Ti	Cr	Al	Ca	Mn	Ni	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	353.	242.	119.	971.	290.	472.	137.	127.	239.	236.		-13276.	7118.	16.	BLA2013_01G(B)_ol1	0.	 1	09/11/2013 19:09:29	
2 / 1 . 	362.	250.	120.	986.	301.	483.	141.	129.	248.	239.		-13276.	6978.	16.	BLA2013_01G(B)_ol1	140.	 2	09/11/2013 19:17:55	
3 / 1 . 	363.	253.	119.	1013.	302.	490.	143.	124.	243.	249.		-13159.	6978.	16.	BLA2013_01G(B)_ol1	182.45	 3	09/11/2013 19:26:26	
4 / 1 . 	356.	243.	118.	854.	297.	475.	138.	129.	236.	236.		-11003.	7073.	-7.	BLA2013_01G(B)_ol2	2273.56	 4	09/11/2013 19:34:54	
5 / 1 . 	363.	252.	122.	924.	304.	496.	141.	127.	239.	236.		-11003.	7181.	-7.	BLA2013_01G(B)_ol2	2273.99	 5	09/11/2013 19:43:20	
6 / 1 . 	357.	244.	124.	874.	301.	485.	137.	125.	242.	241.		-10913.	7294.	-7.	BLA2013_01G(B)_ol2	2369.66	 6	09/11/2013 19:51:46	
7 / 1 . 	363.	253.	112.	954.	309.	491.	138.	127.	233.	242.		-8768.	7294.	-32.	BLA2013_01G(B)_ol3	4511.69	 7	09/11/2013 20:00:15	
8 / 1 . 	353.	243.	117.	876.	301.	482.	141.	127.	233.	233.		-8768.	7489.	-29.	BLA2013_01G(B)_ol3	4523.46	 8	09/11/2013 20:08:44	
9 / 1 . 	351.	243.	112.	885.	306.	463.	140.	126.	241.	233.		-8991.	7489.	-27.	BLA2013_01G(B)_ol3	4301.25	 9	09/11/2013 20:17:10	
10 / 1 . 	361.	244.	120.	919.	295.	483.	143.	125.	251.	236.		-5368.	4746.	-81.	BLA2013_01G(B)_ol4	8256.65	 10	09/11/2013 20:25:38	
11 / 1 . 	368.	251.	120.	892.	306.	498.	139.	124.	235.	235.		-5368.	4822.	-82.	BLA2013_01G(B)_ol4	8235.15	 11	09/11/2013 20:34:04	
12 / 1 . 	359.	245.	113.	937.	298.	447.	139.	128.	243.	240.		-5627.	4804.	-77.	BLA2013_01G(B)_ol4	7991.9	 12	09/11/2013 20:42:39	
13 / 1 . 	363.	251.	116.	972.	309.	521.	133.	128.	235.	239.		-8341.	4428.	-49.	BLA2013_01G(B)_ol5	5620.9	 13	09/11/2013 20:51:06	
14 / 1 . 	365.	251.	117.	941.	300.	455.	138.	125.	247.	243.		-8170.	4395.	-51.	BLA2013_01G(B)_ol5	5787.09	 14	09/11/2013 20:59:33	
15 / 1 . 	352.	240.	114.	958.	291.	493.	142.	129.	247.	241.		-8188.	4577.	-50.	BLA2013_01G(B)_ol5	5687.6	 15	09/11/2013 21:08:00	
16 / 1 . 	352.	244.	113.	848.	306.	472.	142.	126.	243.	238.		-10850.	3784.	-24.	BLA2013_01G(B)_ol6	4123.43	 16	09/11/2013 21:16:28	
17 / 1 . 	366.	249.	116.	904.	302.	477.	136.	129.	247.	239.		-10610.	3784.	-28.	BLA2013_01G(B)_ol6	4269.08	 17	09/11/2013 21:24:56	
18 / 1 . 	360.	250.	120.	865.	302.	526.	141.	126.	232.	239.		-10610.	3952.	-27.	BLA2013_01G(B)_ol6	4139.2	 18	09/11/2013 21:33:27	
19 / 1 . 	356.	251.	117.	1013.	307.	487.	143.	122.	239.	241.		-12967.	3463.	-6.	BLA2013_01G(B)_ol7	3668.1	 19	09/11/2013 21:42:00	
20 / 1 . 	356.	251.	121.	986.	307.	521.	141.	127.	239.	241.		-13216.	3405.	-1.	BLA2013_01G(B)_ol7	3713.52	 20	09/11/2013 21:50:35	
21 / 1 . 	364.	247.	119.	957.	324.	475.	136.	130.	253.	248.		-13216.	3243.	-1.	BLA2013_01G(B)_ol7	3875.5	 21	09/11/2013 21:59:07	
22 / 1 . 	362.	248.	125.	873.	311.	464.	142.	126.	244.	239.		-15677.	3174.	22.	BLA2013_01G(B)_ol8	4617.36	 22	09/11/2013 22:07:39	
