FileName :   MH2013_G(A)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  MH2013_G(A)_ol6 
Comment :   
Analysis Date :  09/11/2013 01:14:10 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = 4889 Y = 5360 Z = 0 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	P	Fe	Ti	Cr	Al	Ca	Mn	Ni	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	360.	244.	114.	879.	291.	445.	139.	126.	229.	239.		4889.	5360.	.	MH2013_G(A)_ol6	0.	 1	09/11/2013 01:14:10	
2 / 1 . 	363.	253.	123.	857.	302.	502.	138.	124.	233.	239.		4889.	5711.	-1.	MH2013_G(A)_ol6	351.	 2	09/11/2013 01:22:32	
3 / 1 . 	365.	252.	125.	896.	298.	471.	138.	126.	229.	230.		5193.	5711.	-1.	MH2013_G(A)_ol6	464.35	 3	09/11/2013 01:31:05	
4 / 1 . 	361.	253.	117.	853.	296.	519.	138.	124.	240.	227.		17060.	8756.	-54.	MH2013_G(A)_ol1	12636.02	 4	09/11/2013 01:39:38	
5 / 1 . 	354.	246.	117.	879.	296.	458.	139.	127.	238.	244.		17060.	8568.	-52.	MH2013_G(A)_ol1	12586.79	 5	09/11/2013 01:48:10	
6 / 1 . 	355.	244.	123.	826.	305.	481.	142.	127.	238.	240.		17060.	9168.	-55.	MH2013_G(A)_ol1	12752.93	 6	09/11/2013 01:56:39	
7 / 1 . 	356.	246.	108.	848.	301.	472.	137.	128.	242.	233.		19912.	5495.	-53.	MH2013_G(A)_ol2	15023.7	 7	09/11/2013 02:05:12	
8 / 1 . 	361.	245.	120.	851.	297.	491.	137.	129.	243.	237.		20231.	5513.	-55.	MH2013_G(A)_ol2	15342.86	 8	09/11/2013 02:13:39	
9 / 1 . 	370.	248.	118.	891.	300.	523.	137.	129.	238.	237.		20231.	5705.	-54.	MH2013_G(A)_ol2	15345.97	 9	09/11/2013 02:22:08	
10 / 1 . 	362.	251.	120.	947.	305.	473.	137.	129.	254.	243.		16543.	4020.	-36.	MH2013_G(A)_ol3	11730.84	 10	09/11/2013 02:30:40	
11 / 1 . 	357.	245.	119.	879.	296.	464.	138.	125.	231.	234.		16556.	3590.	-36.	MH2013_G(A)_ol3	11800.55	 11	09/11/2013 02:39:14	
12 / 1 . 	356.	242.	121.	892.	291.	496.	139.	121.	241.	231.		16245.	3552.	-35.	MH2013_G(A)_ol3	11499.08	 12	09/11/2013 02:47:41	
13 / 1 . 	359.	245.	111.	831.	302.	499.	138.	125.	237.	236.		12792.	3656.	-21.	MH2013_G(A)_ol4	8084.64	 13	09/11/2013 02:56:07	
14 / 1 . 	359.	247.	121.	862.	297.	479.	139.	126.	251.	240.		12811.	3771.	-23.	MH2013_G(A)_ol4	8079.82	 14	09/11/2013 03:04:36	
15 / 1 . 	365.	253.	119.	869.	303.	476.	137.	127.	241.	239.		13090.	3771.	-21.	MH2013_G(A)_ol4	8353.55	 15	09/11/2013 03:13:03	
16 / 1 . 	373.	252.	117.	844.	307.	440.	138.	125.	232.	234.		8382.	4321.	-11.	MH2013_G(A)_ol5	3644.27	 16	09/11/2013 03:21:36	
17 / 1 . 	368.	252.	119.	879.	316.	480.	136.	125.	233.	229.		8382.	4036.	-8.	MH2013_G(A)_ol5	3735.52	 17	09/11/2013 03:30:09	
18 / 1 . 	370.	253.	120.	907.	321.	507.	134.	124.	223.	232.		8668.	3985.	-9.	MH2013_G(A)_ol5	4021.39	 18	09/11/2013 03:38:39	
19 / 1 . 	357.	246.	117.	875.	301.	488.	137.	129.	240.	237.		5474.	755.	9.	MH2013_G(A)_ol7	4642.02	 19	09/11/2013 03:47:10	
20 / 1 . 	361.	250.	117.	892.	295.	525.	135.	122.	227.	233.		5474.	470.	8.	MH2013_G(A)_ol7	4924.88	 20	09/11/2013 03:55:40	
21 / 1 . 	358.	245.	118.	888.	303.	485.	133.	122.	231.	233.		5751.	836.	7.	MH2013_G(A)_ol7	4605.4	 21	09/11/2013 04:04:11	
22 / 1 . 	364.	252.	126.	867.	315.	516.	137.	124.	238.	234.		9643.	-40.	-2.	MH2013_G(A)_ol8	7194.48	 22	09/11/2013 04:12:39	
23 / 1 . 	366.	253.	116.	849.	309.	452.	136.	120.	216.	229.		9830.	-40.	-2.	MH2013_G(A)_ol8	7319.39	 23	09/11/2013 04:21:08	
