FileName :   MH2013_G(A)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  MH2013_G(A)_ol6 
Comment :   
Analysis Date :  09/11/2013 01:14:10 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = 4889 Y = 5360 Z = 0 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	MgO	SiO2	P2O5	FeO	TiO2	Cr2O3	Al2O3	CaO	MnO	NiO	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	47.7914	40.8438	0.0098	10.5844	0.0046	0.0973	0.0730	0.3562	0.1819	0.3018	100.2442	4889.	5360.	.	MH2013_G(A)_ol6	0.	 1	09/11/2013 01:14:10	
2 / 1 . 	47.7896	40.9032	0.0000	10.6162	0.0000	0.0601	0.0718	0.3645	0.1628	0.3183	100.2864	4889.	5711.	-1.	MH2013_G(A)_ol6	351.	 2	09/11/2013 01:22:32	
3 / 1 . 	47.7996	40.7915	0.0000	10.8016	0.0000	0.0732	0.0616	0.3674	0.1840	0.3189	100.3978	5193.	5711.	-1.	MH2013_G(A)_ol6	464.35	 3	09/11/2013 01:31:05	
4 / 1 . 	47.8019	40.9039	0.0096	10.5646	0.0124	0.0824	0.0522	0.3870	0.1468	0.2708	100.2316	17060.	8756.	-54.	MH2013_G(A)_ol1	12636.02	 4	09/11/2013 01:39:38	
5 / 1 . 	47.8675	40.8371	0.0061	10.5217	0.0078	0.0936	0.0655	0.3771	0.1687	0.2502	100.1954	17060.	8568.	-52.	MH2013_G(A)_ol1	12586.79	 5	09/11/2013 01:48:10	
6 / 1 . 	48.0075	40.9509	0.0007	10.4159	0.0000	0.1182	0.0484	0.3818	0.1720	0.2637	100.3592	17060.	9168.	-55.	MH2013_G(A)_ol1	12752.93	 6	09/11/2013 01:56:39	
7 / 1 . 	47.8134	40.8401	0.0125	10.6279	0.0000	0.1006	0.0799	0.3362	0.1563	0.3149	100.2818	19912.	5495.	-53.	MH2013_G(A)_ol2	15023.7	 7	09/11/2013 02:05:12	
8 / 1 . 	47.7837	40.8753	0.0093	10.2403	0.0072	0.0713	0.0732	0.3252	0.1495	0.3061	99.8412	20231.	5513.	-55.	MH2013_G(A)_ol2	15342.86	 8	09/11/2013 02:13:39	
9 / 1 . 	48.0200	40.9656	0.0199	10.5769	0.0231	0.0695	0.0854	0.3265	0.1584	0.3319	100.5770	20231.	5705.	-54.	MH2013_G(A)_ol2	15345.97	 9	09/11/2013 02:22:08	
10 / 1 . 	46.5915	40.6675	0.0016	12.8983	0.0000	0.0959	0.0768	0.3592	0.1713	0.2511	101.1133	16543.	4020.	-36.	MH2013_G(A)_ol3	11730.84	 10	09/11/2013 02:30:40	
11 / 1 . 	46.3443	40.6397	0.0264	12.4437	0.0195	0.0711	0.0581	0.3527	0.1917	0.2403	100.3875	16556.	3590.	-36.	MH2013_G(A)_ol3	11800.55	 11	09/11/2013 02:39:14	
12 / 1 . 	46.5047	40.6750	0.0046	12.8096	0.0191	0.0507	0.0674	0.3592	0.1805	0.2626	100.9335	16245.	3552.	-35.	MH2013_G(A)_ol3	11499.08	 12	09/11/2013 02:47:41	
13 / 1 . 	47.9406	40.8427	0.0126	10.4246	0.0000	0.0386	0.0643	0.3692	0.1518	0.3218	100.1662	12792.	3656.	-21.	MH2013_G(A)_ol4	8084.64	 13	09/11/2013 02:56:07	
14 / 1 . 	47.9541	40.9208	0.0009	10.4999	0.0000	0.0582	0.0653	0.3803	0.1442	0.3086	100.3322	12811.	3771.	-23.	MH2013_G(A)_ol4	8079.82	 14	09/11/2013 03:04:36	
15 / 1 . 	47.9395	40.8446	0.0053	10.5059	0.0137	0.0973	0.0667	0.3730	0.1539	0.3044	100.3043	13090.	3771.	-21.	MH2013_G(A)_ol4	8353.55	 15	09/11/2013 03:13:03	
16 / 1 . 	49.2625	41.2039	0.0165	9.3995	0.0243	0.1187	0.0736	0.3563	0.1518	0.3209	100.9279	8382.	4321.	-11.	MH2013_G(A)_ol5	3644.27	 16	09/11/2013 03:21:36	
17 / 1 . 	49.1822	41.1906	0.0018	9.1282	0.0000	0.1003	0.0706	0.3578	0.1313	0.3085	100.4713	8382.	4036.	-8.	MH2013_G(A)_ol5	3735.52	 17	09/11/2013 03:30:09	
18 / 1 . 	49.0151	41.2778	0.0133	9.1566	0.0000	0.0718	0.0597	0.3661	0.1432	0.3120	100.4157	8668.	3985.	-9.	MH2013_G(A)_ol5	4021.39	 18	09/11/2013 03:38:39	
