FileName :   MH2013_G(A)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  MH2013_G(A)_ol6 
Comment :   
Analysis Date :  09/11/2013 01:14:10 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = 4889 Y = 5360 Z = 0 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	P	Fe	Ti	Cr	Al	Ca	Mn	Ni	O	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	28.8195	19.0915	0.0043	8.2273	0.0028	0.0666	0.0386	0.2546	0.1409	0.2371	43.3610	100.2442	4889.	5360.	.	MH2013_G(A)_ol6	0.	 1	09/11/2013 01:14:10	
2 / 1 . 	28.8184	19.1192	0.0000	8.2521	0.0000	0.0412	0.0380	0.2605	0.1260	0.2501	43.3762	100.2817	4889.	5711.	-1.	MH2013_G(A)_ol6	351.	 2	09/11/2013 01:22:32	
3 / 1 . 	28.8245	19.0670	0.0000	8.3961	0.0000	0.0501	0.0326	0.2626	0.1425	0.2506	43.3707	100.3967	5193.	5711.	-1.	MH2013_G(A)_ol6	464.35	 3	09/11/2013 01:31:05	
4 / 1 . 	28.8259	19.1196	0.0042	8.2119	0.0074	0.0564	0.0276	0.2766	0.1137	0.2128	43.3755	100.2316	17060.	8756.	-54.	MH2013_G(A)_ol1	12636.02	 4	09/11/2013 01:39:38	
5 / 1 . 	28.8655	19.0884	0.0026	8.1786	0.0047	0.0641	0.0347	0.2695	0.1306	0.1966	43.3602	100.1954	17060.	8568.	-52.	MH2013_G(A)_ol1	12586.79	 5	09/11/2013 01:48:10	
6 / 1 . 	28.9499	19.1415	0.0003	8.0964	0.0000	0.0809	0.0256	0.2728	0.1332	0.2072	43.4432	100.3510	17060.	9168.	-55.	MH2013_G(A)_ol1	12752.93	 6	09/11/2013 01:56:39	
7 / 1 . 	28.8328	19.0898	0.0055	8.2611	0.0000	0.0688	0.0423	0.2403	0.1210	0.2475	43.3678	100.2768	19912.	5495.	-53.	MH2013_G(A)_ol2	15023.7	 7	09/11/2013 02:05:12	
8 / 1 . 	28.8149	19.1062	0.0041	7.9598	0.0043	0.0488	0.0388	0.2324	0.1158	0.2406	43.2756	99.8412	20231.	5513.	-55.	MH2013_G(A)_ol2	15342.86	 8	09/11/2013 02:13:39	
9 / 1 . 	28.9574	19.1484	0.0087	8.2215	0.0138	0.0475	0.0452	0.2334	0.1227	0.2608	43.5177	100.5770	20231.	5705.	-54.	MH2013_G(A)_ol2	15345.97	 9	09/11/2013 02:22:08	
10 / 1 . 	28.0960	19.0091	0.0007	10.0259	0.0000	0.0656	0.0406	0.2567	0.1327	0.1974	43.2868	101.1115	16543.	4020.	-36.	MH2013_G(A)_ol3	11730.84	 10	09/11/2013 02:30:40	
11 / 1 . 	27.9469	18.9961	0.0115	9.6725	0.0117	0.0487	0.0308	0.2521	0.1485	0.1888	43.0800	100.3875	16556.	3590.	-36.	MH2013_G(A)_ol3	11800.55	 11	09/11/2013 02:39:14	
12 / 1 . 	28.0436	19.0126	0.0020	9.9570	0.0114	0.0347	0.0357	0.2567	0.1398	0.2063	43.2336	100.9335	16245.	3552.	-35.	MH2013_G(A)_ol3	11499.08	 12	09/11/2013 02:47:41	
13 / 1 . 	28.9095	19.0910	0.0055	8.1031	0.0000	0.0264	0.0340	0.2638	0.1176	0.2529	43.3593	100.1631	12792.	3656.	-21.	MH2013_G(A)_ol4	8084.64	 13	09/11/2013 02:56:07	
14 / 1 . 	28.9176	19.1275	0.0004	8.1616	0.0000	0.0398	0.0345	0.2718	0.1117	0.2425	43.4202	100.3277	12811.	3771.	-23.	MH2013_G(A)_ol4	8079.82	 14	09/11/2013 03:04:36	
15 / 1 . 	28.9089	19.0918	0.0023	8.1663	0.0082	0.0666	0.0353	0.2666	0.1192	0.2392	43.3999	100.3043	13090.	3771.	-21.	MH2013_G(A)_ol4	8353.55	 15	09/11/2013 03:13:03	
16 / 1 . 	29.7066	19.2598	0.0072	7.3063	0.0146	0.0812	0.0390	0.2546	0.1175	0.2522	43.8889	100.9278	8382.	4321.	-11.	MH2013_G(A)_ol5	3644.27	 16	09/11/2013 03:21:36	
17 / 1 . 	29.6582	19.2536	0.0008	7.0954	0.0000	0.0686	0.0374	0.2557	0.1017	0.2424	43.7499	100.4637	8382.	4036.	-8.	MH2013_G(A)_ol5	3735.52	 17	09/11/2013 03:30:09	
