FileName :   STAP01_13G(B)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  STAP01_13G(B)_ol10 
Comment :   
Analysis Date :  09/11/2013 13:53:17 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = 13489 Y = 27149 Z = 62 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	P	Fe	Ti	Cr	Al	Ca	Mn	Ni	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	361.	252.	119.	918.	308.	507.	142.	126.	238.	236.		7170.	34941.	59.	STAP01_13G(B)_ol1	0.	 1	09/11/2013 09:45:28	
2 / 1 . 	367.	249.	110.	945.	308.	449.	142.	126.	246.	243.		6858.	34941.	60.	STAP01_13G(B)_ol1	312.	 2	09/11/2013 09:53:59	
3 / 1 . 	358.	247.	121.	950.	313.	506.	141.	129.	255.	242.		6858.	34648.	58.	STAP01_13G(B)_ol1	428.01	 3	09/11/2013 10:02:36	
4 / 1 . 	357.	249.	120.	925.	304.	492.	137.	120.	240.	232.		18919.	33656.	89.	STAP01_13G(B)_ol2	11819.1	 4	09/11/2013 10:11:11	
5 / 1 . 	361.	248.	122.	998.	292.	491.	137.	125.	252.	235.		19014.	33508.	87.	STAP01_13G(B)_ol2	11930.41	 5	09/11/2013 10:19:41	
6 / 1 . 	362.	248.	125.	930.	312.	500.	136.	125.	240.	230.		19014.	33059.	86.	STAP01_13G(B)_ol2	11992.62	 6	09/11/2013 10:28:14	
7 / 1 . 	368.	249.	117.	983.	308.	492.	141.	122.	237.	233.		20841.	28867.	80.	STAP01_13G(B)_ol3	14959.62	 7	09/11/2013 10:36:47	
8 / 1 . 	364.	250.	117.	956.	315.	528.	134.	125.	242.	241.		20961.	28765.	76.	STAP01_13G(B)_ol3	15110.76	 8	09/11/2013 10:45:19	
9 / 1 . 	352.	250.	120.	999.	312.	497.	139.	127.	236.	236.		21195.	28765.	78.	STAP01_13G(B)_ol3	15324.62	 9	09/11/2013 10:53:50	
10 / 1 . 	361.	250.	120.	920.	306.	522.	139.	126.	243.	239.		17593.	28764.	73.	STAP01_13G(B)_ol4	12115.88	 10	09/11/2013 11:02:22	
11 / 1 . 	274.	263.	120.	874.	309.	537.	166.	192.	241.	244.		17530.	29175.	73.	STAP01_13G(B)_ol4	11856.5	 11	09/11/2013 11:10:57	
12 / 1 . 	365.	250.	123.	921.	287.	518.	141.	124.	244.	245.		17593.	29475.	75.	STAP01_13G(B)_ol4	11769.3	 12	09/11/2013 11:19:32	
13 / 1 . 	361.	249.	124.	1032.	302.	509.	144.	125.	245.	240.		13546.	30228.	68.	STAP01_13G(B)_ol5	7928.8	 13	09/11/2013 11:28:06	
14 / 1 . 	360.	250.	120.	1044.	310.	503.	148.	127.	250.	249.		13433.	30252.	68.	STAP01_13G(B)_ol5	7823.81	 14	09/11/2013 11:36:38	
15 / 1 . 	345.	241.	107.	1003.	306.	498.	141.	125.	249.	241.		13446.	30449.	70.	STAP01_13G(B)_ol5	7717.93	 15	09/11/2013 11:45:13	
16 / 1 . 	361.	251.	125.	1005.	306.	539.	141.	127.	245.	242.		9779.	31408.	62.	STAP01_13G(B)_ol6	4391.92	 16	09/11/2013 11:53:39	
17 / 1 . 	361.	246.	116.	956.	315.	527.	145.	128.	252.	243.		9782.	31617.	62.	STAP01_13G(B)_ol6	4227.47	 17	09/11/2013 12:02:12	
18 / 1 . 	365.	247.	124.	1020.	303.	450.	138.	133.	240.	243.		9782.	31053.	62.	STAP01_13G(B)_ol6	4683.92	 18	09/11/2013 12:10:47	
19 / 1 . 	362.	249.	117.	1002.	296.	475.	140.	125.	235.	235.		6351.	32178.	53.	STAP01_13G(B)_ol7	2881.83	 19	09/11/2013 12:19:22	
20 / 1 . 	361.	249.	115.	932.	309.	515.	142.	124.	240.	232.		6351.	32022.	54.	STAP01_13G(B)_ol7	3031.72	 20	09/11/2013 12:27:52	
21 / 1 . 	360.	248.	112.	971.	304.	523.	142.	128.	248.	239.		6528.	32056.	53.	STAP01_13G(B)_ol7	2955.58	 21	09/11/2013 12:36:24	
22 / 1 . 	362.	248.	116.	881.	299.	497.	144.	130.	250.	242.		5234.	28977.	44.	STAP01_13G(B)_ol8	6270.38	 22	09/11/2013 12:44:55	
23 / 1 . 	361.	249.	118.	990.	300.	488.	138.	122.	237.	233.		5234.	28667.	43.	STAP01_13G(B)_ol8	6565.93	 23	09/11/2013 12:53:29	
24 / 1 . 	363.	245.	124.	969.	307.	496.	139.	121.	233.	234.		5269.	28410.	40.	STAP01_13G(B)_ol8	6802.07	 24	09/11/2013 13:02:01	
25 / 1 . 	367.	251.	110.	923.	292.	488.	136.	121.	239.	231.		8936.	27693.	53.	STAP01_13G(B)_ol9	7460.05	 25	09/11/2013 13:10:32	
26 / 1 . 	363.	249.	116.	978.	304.	545.	130.	121.	236.	235.		8936.	27367.	49.	STAP01_13G(B)_ol9	7777.17	 26	09/11/2013 13:19:05	
27 / 1 . 	367.	250.	122.	897.	302.	478.	142.	125.	249.	242.		8676.	27367.	51.	STAP01_13G(B)_ol9	7722.28	 27	09/11/2013 13:27:36	
28 / 1 . 	369.	249.	126.	955.	319.	486.	138.	122.	232.	232.		13232.	27260.	59.	STAP01_13G(B)_ol10	9784.97	 28	09/11/2013 13:36:10	
29 / 1 . 	361.	249.	120.	906.	329.	512.	137.	125.	243.	238.		13232.	26998.	59.	STAP01_13G(B)_ol10	9991.95	 29	09/11/2013 13:44:44	
30 / 1 . 	365.	249.	119.	953.	313.	500.	137.	121.	234.	230.		13489.	27149.	62.	STAP01_13G(B)_ol10	10032.2	 30	09/11/2013 13:53:17	
31 / 1 . 	366.	251.	125.	930.	304.	457.	139.	127.	252.	240.		16746.	25650.	61.	STAP01_13G(B)_ol11	13342.51	 31	09/11/2013 14:01:51	
32 / 1 . 	359.	251.	119.	965.	308.	500.	140.	126.	253.	238.		16759.	25423.	62.	STAP01_13G(B)_ol11	13510.78	 32	09/11/2013 14:10:23	
33 / 1 . 	362.	248.	124.	941.	313.	514.	140.	126.	244.	240.		16795.	25183.	60.	STAP01_13G(B)_ol11	13706.17	 33	09/11/2013 14:18:58	
34 / 1 . 	359.	252.	127.	928.	299.	523.	136.	124.	235.	235.		21154.	25183.	67.	STAP01_13G(B)_ol12	17052.01	 34	09/11/2013 14:27:33	
