Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment		Point	Date		Notes	SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol1		1	31/10/2013	22:03:09	0	40.6995	0.009	0.0656	0.0558	0	0	11.8753	0.1592	46.6273	0.326	0	0	0	0.3092	0	0	0	100.1268	0.6175	0.0218	0.0039	0.0275	0	0	0.4753	0.0194	1.4033	0.011	0	0	0	0.016	0	0	0	246	259	4	307	0	0	890	200	439	65	0	0	0	147	0	0	0
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol1		2	31/10/2013	22:09:53	0	40.6335	0.0046	0.0726	0.0849	0	0	11.6711	0.1688	46.5972	0.3178	0	0	0	0.3005	0	0	0	99.851	0.6166	0.022	0.004	0.0281	0	0	0.469	0.0194	1.4025	0.0108	0	0	0	0.0158	0	0	0	249	264	41	30	0	0	844	198	445	65	0	0	0	147	0	0	0
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol1		3	31/10/2013	22:16:36	0	40.632	0.0004	0.0614	0.0735	0	0	11.7477	0.1672	46.7158	0.3266	0	0	0	0.3083	0	0	0	100.033	0.6165	0.0217	0.0039	0.0283	0	0	0.4707	0.019	1.4058	0.0109	0	0	0	0.0156	0	0	0	248	261	41	309	0	0	879	19	437	65	0	0	0	14	0	0	0
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol2		4	31/10/2013	22:23:22	0	40.6118	0	0.0649	0.0836	0	0	11.9798	0.1657	46.383	0.3038	0	0	0	0.3176	0	0	0	99.9101	0.6162	0.0221	0.0039	0.0281	0	0	0.4779	0.0192	1.3959	0.0106	0	0	0	0.0159	0	0	0	250	267	41	302	0	0	908	196	439	67	0	0	0	14	0	0	0
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol2		5	31/10/2013	22:30:06	0	40.6717	0	0.0622	0.0795	0	0	11.7566	0.1751	46.3858	0.3101	0	0	0	0.3159	0	0	0	99.7569	0.6171	0.0216	0.0039	0.0281	0	0	0.4714	0.0194	1.396	0.0107	0	0	0	0.016	0	0	0	250	262	41	304	0	0	928	19	442	66	0	0	0	146	0	0	0
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol2		6	31/10/2013	22:36:51	0	40.5751	0.0115	0.065	0.0848	0	0	11.8541	0.1864	46.5528	0.3111	0	0	0	0.3123	0	0	0	99.953	0.6157	0.0216	0.0039	0.029	0	0	0.4747	0.0195	1.4011	0.0107	0	0	0	0.0159	0	0	0	250	25	41	313	0	0	894	195	442	65	0	0	0	145	0	0	0
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol3		7	31/10/2013	22:43:37	0	40.6136	0.0014	0.1007	0.0738	0	0	12.0039	0.178	46.5527	0.2933	0	0	0	0.3318	0	0	0	100.1492	0.6162	0.0221	0.0043	0.0283	0	0	0.4796	0.0196	1.4011	0.0104	0	0	0	0.0162	0	0	0	250	266	41	309	0	0	926	19	435	65	0	0	0	146	0	0	0
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol3		8	31/10/2013	22:50:23	0	40.571	0.0164	0.0952	0.0617	0	0	11.9639	0.1869	46.3235	0.2902	0	0	0	0.3364	0	0	0	99.8452	0.6155	0.0221	0.0042	0.0273	0	0	0.4773	0.0192	1.3942	0.0104	0	0	0	0.0163	0	0	0	249	261	41	302	0	0	895	189	440	66	0	0	0	145	0	0	0
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol4		9	31/10/2013	22:57:06	0	40.537	0.0006	0.0547	0.0316	0	0	11.3412	0.1659	47.1109	0.3036	0	0	0	0.2473	0	0	0	99.7928	0.6151	0.022	0.0039	0.0263	0	0	0.4603	0.0191	1.4177	0.0106	0	0	0	0.015	0	0	0	24	264	41	302	0	0	925	194	451	65	0	0	0	145	0	0	0
-1	BLA2013_01G_A	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(A)_ol4		10	31/10/2013	23:03:52	0	40.562	0.0016	0.0549	0.0253	0	0	11.1534	0.1534	47.0737	0.2944	0	0	0	0.2448	0	0	0	99.5635	0.6155	0.0218	0.0038	0.0264	0	0	0.4547	0.0191	1.4166	0.0104	0	0	0	0.0149	0	0	0	250	262	40	306	0	0	926	197	442	65	0	0	0	144	0	0	0
