FileName :   BLA2013_01G(A)_points.qtiDat 
Signal(s) Used :  Fe Ka, Si Ka, Cr Ka, Mg Ka, Ti Ka, Al Ka, Mn Ka, Ni Ka, Ca Ka 
Spectromers Conditions :   Sp5 LIF,  Sp1 LTAP,  Sp3 LLIF,  Sp4 TAP,  Sp2 PET,  Sp4 TAP,  Sp5 LIF,  Sp3 LLIF,  Sp2 PET 
Full Spectromers Conditions :   Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Fe Ka, Si Ka, Cr Ka, Mg Ka, Ti Ka 
 	Cond 2 : Al Ka, Mn Ka, Ni Ka, Ca Ka 
Date :  1-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_31oct2013.qtiSet 
DataSet Comment :  BLA2013_01G(A)_ol14 
Comment :   
Analysis Date :  01/11/2013 10:07:04 
Project Name :  Lucy Tweed 
Sample Name :  31 October 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp3(Cr Ka)	1815	350	3	560	816	Inte	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte 
Peak Position :   Sp5 48089 (-250, 300),  Sp1 27741 (-500, 300),  Sp3 56853 (-250, 300),  Sp4 38519 (-500, 500),  Sp2 31432 (-350, 250),  Sp4 32472 (-500, 500),  Sp5 52207 (200, 1.0221),  Sp3 41160 (-250, 300),  Sp2 38386 (-300, 250) 
Current Sample Position :   X = 22675 Y = 801 Z = -110 
Standard Name :   
 Fe On Fayalite 
 Si, Ca On Diopside 
 Cr On Cr 
 Mg On Olivine (St. Johns) 
 Ti On Rutile 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cr = Cr : 100.% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Fe : Fayalite_Fe257.calDat 
 Si : Diopside_Si_Si_Ca001.calDat 
 Cr : Cr_Cr_Cr003.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg016.calDat 
 Ti : Rutile_Ti_Ti030.calDat 
 Al : Cor_Al_Al017.calDat 
 Mn : Mn_Mn265.calDat 
 Ni : NiO_Ni065.calDat 
 Ca : Diopside_Si_Si_Ca_Ca020.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Fe	Si	Cr	Mg	Ti	Al	Mn	Ni	Ca	O	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	0.4753	0.6175	0.0275	1.4033	0.0218	0.0039	0.0194	0.0160	0.0110		18652.	7618.	-62.	BLA2013_01G(A)_ol1	 1	31/10/2013 22:03:09	
2 / 1 . 	0.4690	0.6166	0.0281	1.4025	0.0220	0.0040	0.0194	0.0158	0.0108		18768.	7665.	-63.	BLA2013_01G(A)_ol1	 2	31/10/2013 22:09:53	
3 / 1 . 	0.4707	0.6165	0.0283	1.4058	0.0217	0.0039	0.0190	0.0156	0.0109		18715.	7605.	-63.	BLA2013_01G(A)_ol1	 3	31/10/2013 22:16:36	
4 / 1 . 	0.4779	0.6162	0.0281	1.3959	0.0221	0.0039	0.0192	0.0159	0.0106		20710.	3996.	-87.	BLA2013_01G(A)_ol2	 4	31/10/2013 22:23:22	
5 / 1 . 	0.4714	0.6171	0.0281	1.3960	0.0216	0.0039	0.0194	0.0160	0.0107		20833.	3968.	-87.	BLA2013_01G(A)_ol2	 5	31/10/2013 22:30:06	
6 / 1 . 	0.4747	0.6157	0.0290	1.4011	0.0216	0.0039	0.0195	0.0159	0.0107		20737.	3909.	-88.	BLA2013_01G(A)_ol2	 6	31/10/2013 22:36:51	
7 / 1 . 	0.4796	0.6162	0.0283	1.4011	0.0221	0.0043	0.0196	0.0162	0.0104		18177.	4213.	-91.	BLA2013_01G(A)_ol3	 7	31/10/2013 22:43:37	
8 / 1 . 	0.4773	0.6155	0.0273	1.3942	0.0221	0.0042	0.0192	0.0163	0.0104		18010.	3990.	-91.	BLA2013_01G(A)_ol3	 8	31/10/2013 22:50:23	
9 / 1 . 	0.4603	0.6151	0.0263	1.4177	0.0220	0.0039	0.0191	0.0150	0.0106		15202.	4157.	-99.	BLA2013_01G(A)_ol4	 9	31/10/2013 22:57:06	
10 / 1 . 	0.4547	0.6155	0.0264	1.4166	0.0218	0.0038	0.0191	0.0149	0.0104		15321.	4148.	-100.	BLA2013_01G(A)_ol4	 10	31/10/2013 23:03:52	
11 / 1 . 	0.4593	0.6171	0.0262	1.4242	0.0219	0.0038	0.0192	0.0153	0.0106		15282.	3936.	-100.	BLA2013_01G(A)_ol4	 11	31/10/2013 23:10:38	
12 / 1 . 	0.5196	0.6116	0.0243	1.3686	0.0215	0.0040	0.0201	0.0139	0.0104		12454.	4324.	-105.	BLA2013_01G(A)_ol5	 12	31/10/2013 23:17:20	
13 / 1 . 	0.5188	0.6117	0.0253	1.3663	0.0218	0.0040	0.0201	0.0138	0.0104		12558.	4311.	-105.	BLA2013_01G(A)_ol5	 13	31/10/2013 23:24:04	
14 / 1 . 	0.5266	0.6102	0.0248	1.3631	0.0221	0.0040	0.0201	0.0139	0.0104		12530.	4229.	-106.	BLA2013_01G(A)_ol5	 14	31/10/2013 23:30:48	
15 / 1 . 	0.5802	0.6067	0.0267	1.3287	0.0223	0.0037	0.0202	0.0140	0.0085		9196.	4520.	-111.	BLA2013_01G(A)_ol6	 15	31/10/2013 23:37:31	
16 / 1 . 	0.5897	0.6045	0.0262	1.3196	0.0223	0.0038	0.0207	0.0143	0.0085		9419.	4585.	-111.	BLA2013_01G(A)_ol6	 16	31/10/2013 23:44:19	
17 / 1 . 	0.5841	0.6059	0.0262	1.3222	0.0222	0.0037	0.0199	0.0138	0.0083		9432.	4386.	-111.	BLA2013_01G(A)_ol6	 17	31/10/2013 23:51:01	
18 / 1 . 	0.6944	0.5935	0.0274	1.2208	0.0226	0.0039	0.0220	0.0142	0.0111		5670.	4978.	-117.	BLA2013_01G(A)_ol7	 18	31/10/2013 23:57:45	
19 / 1 . 	0.7033	0.5952	0.0262	1.2241	0.0226	0.0039	0.0221	0.0141	0.0106		5747.	4868.	-118.	BLA2013_01G(A)_ol7	 19	01/11/2013 00:04:28	
