Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment		Point	Date	Notes		SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol1		1	09/11/2013	19:09:29	0	40.2401	0.025	0.0623	0.0646	0	0	14.9512	0.2012	44.6728	0.3101	0	0	0.007	0.2834	0	0	0	100.8177	0.4355	0.0248	0.0128	0.0434	0	0	0.5357	0.024	0.6394	0.0189	0	0	0	0.0259	0	0	0	242	290	137	472	0	0	97	239	353	127	0	0	0	236	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol1		2	09/11/2013	19:17:55	0	40.2006	0.0164	0.0692	0.0585	0	0	15.1694	0.1854	44.1269	0.3021	0	0	0.0076	0.2728	0	0	0	100.4089	0.4356	0.0255	0.0132	0.044	0	0	0.5484	0.0242	0.6333	0.0187	0	0	0	0.0258	0	0	0	250	301	141	483	0	0	986	248	36	129	0	0	0	239	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol1		3	09/11/2013	19:26:26	0	40.1921	0.009	0.0654	0.0961	0	0	14.8161	0.2279	44.3252	0.3043	0	0	0.0113	0.2573	0	0	0	100.3049	0.4356	0.0254	0.0134	0.0471	0	0	0.541	0.025	0.6364	0.0188	0	0	0	0.0263	0	0	0	25	302	14	490	0	0	101	24	36	124	0	0	0	249	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol2		4	09/11/2013	19:34:54	0	40.9284	0.008	0.1233	0.0945	0	0	11.3139	0.173	47.1118	0.3537	0	0	0	0.3095	0	0	0	100.4161	0.4428	0.0249	0.0143	0.0457	0	0	0.4346	0.0233	0.6724	0.0204	0	0	0	0.0268	0	0	0	243	297	138	475	0	0	85	236	356	129	0	0	0	236	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol2		5	09/11/2013	19:43:20	0	41.0187	0.0106	0.1105	0.0859	0	0	11.3534	0.1851	47.4007	0.36	0	0	0.0063	0.3154	0	0	0	100.8464	0.4444	0.0256	0.0142	0.047	0	0	0.4445	0.0238	0.678	0.0205	0	0	0	0.027	0	0	0	252	304	141	496	0	0	924	239	363	127	0	0	0	236	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol2		6	09/11/2013	19:51:46	0	40.9904	0	0.1205	0.0888	0	0	11.4725	0.1678	47.2518	0.3745	0	0	0.0097	0.3091	0	0	0	100.785	0.4435	0.0248	0.0142	0.0461	0	0	0.4398	0.0237	0.6744	0.0209	0	0	0	0.0271	0	0	0	244	301	137	485	0	0	874	242	357	125	0	0	0	241	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol3		7	09/11/2013	20:00:15	0	40.7169	0.0028	0.0548	0.0515	0	0	12.8029	0.2028	46.0817	0.3071	0	0	0.0204	0.2245	0	0	0	100.4655	0.4412	0.0258	0.0128	0.0442	0	0	0.485	0.0238	0.6601	0.0191	0	0	0	0.0251	0	0	0	253	309	138	491	0	0	954	233	363	12	0	0	0	242	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol3		8	09/11/2013	20:08:44	0	40.6119	0	0.0584	0.0672	0	0	12.8347	0.2129	46.107	0.3161	0	0	0.0032	0.2004	0	0	0	100.4117	0.4395	0.0245	0.013	0.0444	0	0	0.4774	0.024	0.6589	0.0193	0	0	0	0.0239	0	0	0	243	301	141	482	0	0	876	233	353	127	0	0	0	233	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol3		9	09/11/2013	20:17:10	0	40.58	0.0083	0.0626	0.016	0	0	13.1839	0.1877	46.1214	0.3012	0	0	0.0189	0.2013	0	0	0	100.6813	0.4391	0.0256	0.0131	0.0394	0	0	0.4865	0.024	0.659	0.0188	0	0	0	0.0238	0	0	0	243	306	140	463	0	0	885	241	351	126	0	0	0	233	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol4		10	09/11/2013	20:25:38	0	40.8852	0.008	0.0712	0.1102	0	0	11.8351	0.1489	47.076	0.3084	0	0	0	0.3052	0	0	0	100.7482	0.4424	0.0248	0.0135	0.0472	0	0	0.4504	0.0239	0.6721	0.019	0	0	0	0.0267	0	0	0	244	295	143	483	0	0	919	251	361	125	0	0	0	236	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol4		11	09/11/2013	20:34:04	0	40.9147	0.0034	0.0855	0.0687	0	0	11.7731	0.1686	46.9313	0.313	0	0	0	0.3239	0	0	0	100.5822	0.4432	0.0256	0.0135	0.0459	0	0	0.454	0.0232	0.6713	0.019	0	0	0	0.0271	0	0	0	251	306	139	498	0	0	892	235	368	124	0	0	0	235	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol4		12	09/11/2013	20:42:39	0	40.6536	0	0.0846	0.1313	0	0	12.0433	0.1682	46.798	0.3299	0	0	0.0131	0.3066	0	0	0	100.5286	0.4399	0.0246	0.0135	0.0461	0	0	0.4563	0.0237	0.6683	0.0197	0	0	0	0.027	0	0	0	245	298	139	447	0	0	937	243	359	128	0	0	0	240	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol5		13	09/11/2013	20:51:06	0	40.5979	0	0.086	0.0041	0	0	13.3023	0.2049	45.4696	0.3025	0	0	0.0105	0.2614	0	0	0	100.2391	0.4399	0.0255	0.0132	0.0433	0	0	0.4988	0.024	0.6518	0.0189	0	0	0	0.0257	0	0	0	251	309	133	521	0	0	972	235	363	128	0	0	0	239	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol5		14	09/11/2013	20:59:33	0	40.5383	0.0109	0.0674	0.0618	0	0	13.3848	0.2018	45.536	0.3177	0	0	0.0112	0.2366	0	0	0	100.3664	0.4393	0.0252	0.0131	0.0422	0	0	0.501	0.0247	0.6528	0.0193	0	0	0	0.0254	0	0	0	251	300	138	455	0	0	941	247	365	125	0	0	0	243	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol5		15	09/11/2013	21:08:00	0	40.6453	0.0131	0.0628	0.0712	0	0	12.8994	0.1842	45.5983	0.3093	0	0	0.0144	0.2607	0	0	0	100.0588	0.4397	0.0245	0.0133	0.0454	0	0	0.4797	0.0243	0.6518	0.0192	0	0	0	0.0258	0	0	0	240	291	142	493	0	0	958	247	352	129	0	0	0	241	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol6		16	09/11/2013	21:16:28	0	40.7427	0	0.0818	0.0713	0	0	11.8123	0.1701	47.1117	0.3014	0	0	0.0145	0.3261	0	0	0	100.632	0.4408	0.0252	0.0137	0.0439	0	0	0.4484	0.0237	0.6725	0.0188	0	0	0	0.0274	0	0	0	244	306	142	472	0	0	848	243	352	126	0	0	0	238	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol6		17	09/11/2013	21:24:56	0	41.0257	0	0.0731	0.1177	0	0	12.0773	0.1606	46.8272	0.3109	0	0	0	0.3172	0	0	0	100.9097	0.4443	0.0247	0.0131	0.0477	0	0	0.4628	0.0238	0.67	0.0192	0	0	0	0.0272	0	0	0	249	302	136	477	0	0	904	247	366	129	0	0	0	239	0	0	0
-1	BLA2013_01G_B	NVZ	Fremri-Namur	Blafjall	Blafjall	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	BLA2013_01G(B)_ol6		18	09/11/2013	21:33:27	0	40.8767	0	0.0699	0.0605	0	0	11.9611	0.1806	46.9844	0.2987	0	0	0.0046	0.3088	0	0	0	100.7453	0.4427	0.0248	0.0134	0.0475	0	0	0.4588	0.0232	0.672	0.0187	0	0	0	0.0269	0	0	0	250	302	141	526	0	0	865	232	360	126	0	0	0	239	0	0	0
