FileName :   BLA2013_01G(B)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  BLA2013_01G(B)_ol1 
Comment :   
Analysis Date :  09/11/2013 19:09:29 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = -13276 Y = 7118 Z = 16 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	P	Fe	Ti	Cr	Al	Ca	Mn	Ni	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.6394	0.4355	0.0101	0.5357	0.0248	0.0434	0.0128	0.0189	0.0240	0.0259		-13276.	7118.	16.	BLA2013_01G(B)_ol1	0.	 1	09/11/2013 19:09:29	
2 / 1 . 	0.6333	0.4356	0.0102	0.5484	0.0255	0.0440	0.0132	0.0187	0.0242	0.0258		-13276.	6978.	16.	BLA2013_01G(B)_ol1	140.	 2	09/11/2013 19:17:55	
3 / 1 . 	0.6364	0.4356	0.0102	0.5410	0.0254	0.0471	0.0134	0.0188	0.0250	0.0263		-13159.	6978.	16.	BLA2013_01G(B)_ol1	182.45	 3	09/11/2013 19:26:26	
4 / 1 . 	0.6724	0.4428	0.0097	0.4346	0.0249	0.0457	0.0143	0.0204	0.0233	0.0268		-11003.	7073.	-7.	BLA2013_01G(B)_ol2	2273.56	 4	09/11/2013 19:34:54	
5 / 1 . 	0.6780	0.4444	0.0103	0.4445	0.0256	0.0470	0.0142	0.0205	0.0238	0.0270		-11003.	7181.	-7.	BLA2013_01G(B)_ol2	2273.99	 5	09/11/2013 19:43:20	
6 / 1 . 	0.6744	0.4435	0.0106	0.4398	0.0248	0.0461	0.0142	0.0209	0.0237	0.0271		-10913.	7294.	-7.	BLA2013_01G(B)_ol2	2369.66	 6	09/11/2013 19:51:46	
7 / 1 . 	0.6601	0.4412	0.0101	0.4850	0.0258	0.0442	0.0128	0.0191	0.0238	0.0251		-8768.	7294.	-32.	BLA2013_01G(B)_ol3	4511.69	 7	09/11/2013 20:00:15	
8 / 1 . 	0.6589	0.4395	0.0098	0.4774	0.0245	0.0444	0.0130	0.0193	0.0240	0.0239		-8768.	7489.	-29.	BLA2013_01G(B)_ol3	4523.46	 8	09/11/2013 20:08:44	
9 / 1 . 	0.6590	0.4391	0.0099	0.4865	0.0256	0.0394	0.0131	0.0188	0.0240	0.0238		-8991.	7489.	-27.	BLA2013_01G(B)_ol3	4301.25	 9	09/11/2013 20:17:10	
10 / 1 . 	0.6721	0.4424	0.0099	0.4504	0.0248	0.0472	0.0135	0.0190	0.0239	0.0267		-5368.	4746.	-81.	BLA2013_01G(B)_ol4	8256.65	 10	09/11/2013 20:25:38	
11 / 1 . 	0.6713	0.4432	0.0099	0.4540	0.0256	0.0459	0.0135	0.0190	0.0232	0.0271		-5368.	4822.	-82.	BLA2013_01G(B)_ol4	8235.15	 11	09/11/2013 20:34:04	
12 / 1 . 	0.6683	0.4399	0.0098	0.4563	0.0246	0.0461	0.0135	0.0197	0.0237	0.0270		-5627.	4804.	-77.	BLA2013_01G(B)_ol4	7991.9	 12	09/11/2013 20:42:39	
13 / 1 . 	0.6518	0.4399	0.0100	0.4988	0.0255	0.0433	0.0132	0.0189	0.0240	0.0257		-8341.	4428.	-49.	BLA2013_01G(B)_ol5	5620.9	 13	09/11/2013 20:51:06	
14 / 1 . 	0.6528	0.4393	0.0101	0.5010	0.0252	0.0422	0.0131	0.0193	0.0247	0.0254		-8170.	4395.	-51.	BLA2013_01G(B)_ol5	5787.09	 14	09/11/2013 20:59:33	
15 / 1 . 	0.6518	0.4397	0.0100	0.4797	0.0245	0.0454	0.0133	0.0192	0.0243	0.0258		-8188.	4577.	-50.	BLA2013_01G(B)_ol5	5687.6	 15	09/11/2013 21:08:00	
16 / 1 . 	0.6725	0.4408	0.0099	0.4484	0.0252	0.0439	0.0137	0.0188	0.0237	0.0274		-10850.	3784.	-24.	BLA2013_01G(B)_ol6	4123.43	 16	09/11/2013 21:16:28	
17 / 1 . 	0.6700	0.4443	0.0095	0.4628	0.0247	0.0477	0.0131	0.0192	0.0238	0.0272		-10610.	3784.	-28.	BLA2013_01G(B)_ol6	4269.08	 17	09/11/2013 21:24:56	
18 / 1 . 	0.6720	0.4427	0.0101	0.4588	0.0248	0.0475	0.0134	0.0187	0.0232	0.0269		-10610.	3952.	-27.	BLA2013_01G(B)_ol6	4139.2	 18	09/11/2013 21:33:27	
