Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment		Point	Date	Notes		SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol1		1	03/11/2013	09:58:47	0	38.4985	0	0.04	0.002	0	0	21.0546	0.3246	39.1948	0.2585	0	0	0	0.1368	0	0	0	99.5097	0.4437	0.0223	0.0037	0.0252	0	0	0.8921	0.0263	0.6253	0.0107	0	0	0	0.0144	0	0	0	242	268	4	303	0	0	1014	209	420	66	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol1		2	03/11/2013	10:06:27	0	38.5514	0.0294	0.0377	0	0	0	21.1749	0.3064	39.4066	0.2502	0	0	0	0.1268	0	0	0	99.8835	0.4443	0.0225	0.0037	0.0249	0	0	0.897	0.0257	0.6285	0.0104	0	0	0	0.0143	0	0	0	246	26	41	30	0	0	1101	210	435	65	0	0	0	149	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol1		3	03/11/2013	10:13:15	0	38.2565	0.0337	0.043	0	0	0	20.7805	0.3292	39.2872	0.2631	0	0	0	0.1407	0	0	0	99.1339	0.4407	0.0221	0.0037	0.0252	0	0	0.879	0.026	0.6255	0.0106	0	0	0	0.0143	0	0	0	239	256	41	307	0	0	1054	201	416	6	0	0	0	145	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol2		4	03/11/2013	10:20:03	0	39.2209	0.0275	0.047	0.0104	0	0	17.0604	0.2669	41.8755	0.2624	0	0	0	0.1312	0	0	0	98.9022	0.452	0.023	0.0038	0.0264	0	0	0.7456	0.0244	0.6652	0.0106	0	0	0	0.0141	0	0	0	246	269	41	313	0	0	1056	209	438	6	0	0	0	145	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol2		5	03/11/2013	10:26:54	0	39.3504	0.0404	0.0467	0	0	0	17.0806	0.2897	42.2428	0.2649	0	0	0	0.1181	0	0	0	99.4337	0.4536	0.0227	0.0038	0.0266	0	0	0.7475	0.025	0.6712	0.0108	0	0	0	0.0142	0	0	0	249	261	42	326	0	0	1009	207	436	66	0	0	0	150	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol2		6	03/11/2013	10:33:42	0	39.5792	0.034	0.0461	0.0054	0	0	17.1493	0.2754	42.3638	0.2773	0	0	0	0.1227	0	0	0	99.8534	0.456	0.0225	0.0038	0.0258	0	0	0.7475	0.0249	0.6721	0.0111	0	0	0	0.0141	0	0	0	245	261	42	308	0	0	1022	213	432	6	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol3		7	03/11/2013	10:40:26	0	39.2654	0.0239	0.047	0.0279	0	0	17.6818	0.2801	42.1679	0.2749	0	0	0	0.1566	0	0	0	99.9255	0.4524	0.022	0.0037	0.0254	0	0	0.767	0.0243	0.6692	0.0108	0	0	0	0.0144	0	0	0	246	258	40	293	0	0	102	205	436	63	0	0	0	144	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol3		8	03/11/2013	10:47:11	0	39.1628	0.0315	0.0474	0.0053	0	0	17.1854	0.2786	41.9102	0.2721	0	0	0	0.1579	0	0	0	99.0512	0.451	0.0222	0.0038	0.0258	0	0	0.7456	0.0246	0.6642	0.0109	0	0	0	0.0146	0	0	0	240	259	41	30	0	0	1006	209	421	64	0	0	0	145	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol3		9	03/11/2013	10:53:55	0	39.3127	0.0094	0.0464	0.0109	0	0	17.6799	0.2793	42.166	0.2638	0	0	0	0.1471	0	0	0	99.9156	0.4526	0.0217	0.0038	0.0254	0	0	0.763	0.0245	0.668	0.0107	0	0	0	0.0146	0	0	0	241	258	41	301	0	0	968	206	427	64	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol4		10	03/11/2013	11:00:41	0	38.7666	0.0017	0.0429	0.0003	0	0	21.0088	0.2581	39.5547	0.1686	0	0	0	0.1247	0	0	0	99.9265	0.4465	0.022	0.0038	0.0249	0	0	0.8878	0.0243	0.6296	0.0085	0	0	0	0.0143	0	0	0	242	265	42	300	0	0	1086	213	416	65	0	0	0	150	0	0	0
