FileName :   CHRG10_5D_points.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp2 PET,  Sp3 LLIF,  Sp5 LIF,  Sp4 TAP,  Sp2 PET,  Sp5 LIF,  Sp3 LLIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  4-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_1nov2013.qtiSet 
DataSet Comment :  CHRG10_5D_ol1 
Comment :   
Analysis Date :  03/11/2013 09:58:47 
Project Name :  Lucy Tweed 
Sample Name :  1 November 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp3(Cr Ka)	1819	362	3	560	816	Inte	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte 
Peak Position :   Sp4 38519 (-500, 500),  Sp1 27734 (-500, 300),  Sp2 31420 (-350, 250),  Sp3 56855 (-250, 300),  Sp5 48105 (-250, 300),  Sp4 32470 (-500, 500),  Sp2 38381 (-300, 250),  Sp5 52217 (200, 1.0221),  Sp3 41162 (-250, 300) 
Current Sample Position :   X = 9880 Y = 3741 Z = -28 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 Ti On Rutile 
 Cr On Cr 
 Fe On Fayalite 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg017.calDat 
 Si, Ca : Diopside_Si_Si_Ca003.calDat 
 Ti : Rutile_Ti236.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Fe : Fayalite_Fe_Fe002.calDat 
 Al : Cor_Al_Al018.calDat 
 Mn : Mn_Mn_Mn004.calDat 
 Ni : NiO_Ni_Ni002.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	MgO	SiO2	TiO2	Cr2O3	FeO	Al2O3	CaO	MnO	NiO	Total	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	39.1948	38.4985	0.0000	0.0020	21.0546	0.0400	0.2585	0.3246	0.1368	99.5097	9880.	3741.	-28.	CHRG10_5D_ol1	 1	03/11/2013 09:58:47	
2 / 1 . 	39.4066	38.5514	0.0294	0.0000	21.1749	0.0377	0.2502	0.3064	0.1268	99.8835	9947.	3901.	-30.	CHRG10_5D_ol1	 2	03/11/2013 10:06:27	
3 / 1 . 	39.2872	38.2565	0.0337	0.0000	20.7805	0.0430	0.2631	0.3292	0.1407	99.1339	10034.	3736.	-32.	CHRG10_5D_ol1	 3	03/11/2013 10:13:15	
4 / 1 . 	41.8755	39.2209	0.0275	0.0104	17.0604	0.0470	0.2624	0.2669	0.1312	98.9022	11241.	4522.	-34.	CHRG10_5D_ol2	 4	03/11/2013 10:20:03	
5 / 1 . 	42.2428	39.3504	0.0404	0.0000	17.0806	0.0467	0.2649	0.2897	0.1181	99.4337	11215.	4373.	-35.	CHRG10_5D_ol2	 5	03/11/2013 10:26:54	
6 / 1 . 	42.3638	39.5792	0.0340	0.0054	17.1493	0.0461	0.2773	0.2754	0.1227	99.8534	11340.	4383.	-35.	CHRG10_5D_ol2	 6	03/11/2013 10:33:42	
7 / 1 . 	42.1679	39.2654	0.0239	0.0279	17.6818	0.0470	0.2749	0.2801	0.1566	99.9255	12559.	4621.	-40.	CHRG10_5D_ol3	 7	03/11/2013 10:40:26	
8 / 1 . 	41.9102	39.1628	0.0315	0.0053	17.1854	0.0474	0.2721	0.2786	0.1579	99.0512	12527.	4476.	-41.	CHRG10_5D_ol3	 8	03/11/2013 10:47:11	
9 / 1 . 	42.1660	39.3127	0.0094	0.0109	17.6799	0.0464	0.2638	0.2793	0.1471	99.9156	12634.	4386.	-41.	CHRG10_5D_ol3	 9	03/11/2013 10:53:55	
10 / 1 . 	39.5547	38.7666	0.0017	0.0003	21.0088	0.0429	0.1686	0.2581	0.1247	99.9265	13885.	4581.	-46.	CHRG10_5D_ol4	 10	03/11/2013 11:00:41	
11 / 1 . 	39.8959	38.8185	0.0191	0.0210	20.4221	0.0435	0.1648	0.2813	0.1318	99.7979	13882.	4467.	-45.	CHRG10_5D_ol4	 11	03/11/2013 11:07:30	
12 / 1 . 	39.6110	38.5187	0.0292	0.0000	20.6765	0.0384	0.1650	0.2783	0.1378	99.4549	13773.	4537.	-47.	CHRG10_5D_ol4	 12	03/11/2013 11:14:20	
13 / 1 . 	43.1567	39.5928	0.0387	0.0417	16.3656	0.0520	0.2758	0.2704	0.1636	99.9573	14893.	4142.	-52.	CHRG10_5D_ol5	 13	03/11/2013 11:21:04	
14 / 1 . 	43.1583	39.5103	0.0052	0.0322	16.6175	0.0484	0.2675	0.2694	0.1733	100.0822	15100.	4070.	-52.	CHRG10_5D_ol5	 14	03/11/2013 11:27:55	
15 / 1 . 	43.2250	39.6665	0.0000	0.0211	16.2628	0.0453	0.2801	0.2500	0.1618	99.9125	15163.	3868.	-53.	CHRG10_5D_ol5	 15	03/11/2013 11:34:43	
16 / 1 . 	42.2380	39.1438	0.0194	0.0215	17.3118	0.0488	0.2594	0.2866	0.1522	99.4815	16451.	3528.	-61.	CHRG10_5D_ol6	 16	03/11/2013 11:41:32	
17 / 1 . 	42.3964	39.3819	0.0294	0.0088	17.0810	0.0524	0.2683	0.2732	0.1528	99.6440	16587.	3454.	-61.	CHRG10_5D_ol6	 17	03/11/2013 11:48:20	
18 / 1 . 	42.3143	39.2613	0.0182	0.0115	17.3579	0.0534	0.2649	0.3027	0.1542	99.7384	16444.	3291.	-60.	CHRG10_5D_ol6	 18	03/11/2013 11:55:06	
19 / 1 . 	41.5986	38.8960	0.0203	0.0179	17.7751	0.0477	0.2776	0.2709	0.1554	99.0594	17292.	2268.	-70.	CHRG10_5D_ol7	 19	03/11/2013 12:01:56	
20 / 1 . 	41.7373	39.2746	0.0190	0.0147	18.0461	0.0475	0.2943	0.2808	0.1485	99.8628	17432.	2084.	-70.	CHRG10_5D_ol7	 20	03/11/2013 12:08:44	
21 / 1 . 	41.7435	39.2853	0.0260	0.0114	18.1104	0.0433	0.2841	0.2870	0.1454	99.9365	17495.	1984.	-70.	CHRG10_5D_ol7	 21	03/11/2013 12:15:36	
22 / 1 . 	42.4591	39.1665	0.0281	0.0247	17.3352	0.0417	0.2578	0.2727	0.1634	99.7491	16144.	1688.	-65.	CHRG10_5D_ol8	 22	03/11/2013 12:22:22	
23 / 1 . 	42.5640	39.2671	0.0103	0.0166	17.3702	0.0468	0.2599	0.2802	0.1567	99.9719	16264.	1773.	-66.	CHRG10_5D_ol8	 23	03/11/2013 12:29:10	
24 / 1 . 	42.3070	39.3514	0.0000	0.0029	16.7347	0.0496	0.2551	0.2849	0.1527	99.1382	16198.	1529.	-66.	CHRG10_5D_ol8	 24	03/11/2013 12:35:55	
25 / 1 . 	42.1286	39.1437	0.0049	0.0105	17.2225	0.0455	0.2753	0.2832	0.1404	99.2546	14810.	2161.	-58.	CHRG10_5D_ol9	 25	03/11/2013 12:42:45	
26 / 1 . 	42.0034	39.1211	0.0215	0.0213	17.5028	0.0461	0.2700	0.2631	0.1532	99.4024	14973.	2186.	-59.	CHRG10_5D_ol9	 26	03/11/2013 12:49:32	
27 / 1 . 	41.9557	39.4126	0.0334	0.0329	17.2530	0.0491	0.2689	0.2799	0.1381	99.4236	14866.	2043.	-56.	CHRG10_5D_ol9	 27	03/11/2013 12:56:19	
28 / 1 . 	42.4389	39.3341	0.0083	0.0000	16.6674	0.0512	0.2648	0.2741	0.1546	99.1933	13085.	2137.	-50.	CHRG10_5D_ol10B	 28	03/11/2013 13:03:11	
