Ref_number,Sample_number,Volcanic_zone,System,Eruption,Location,Phase,Phase_number,Point_number,Core_rim,Profile_distance,Pheno_xeno_nod_gm,Texture,Inclusion,Hostref,Machine,Lab,Analyst,Comment,Point,Date,Notes,SiO2,TiO2,Al203,Cr2O3,V2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,SO2,F,Cl,Total,SiO2_err,TiO2_err,Al2O3_err,Cr2O3_err,V2O3_err,Fe2O3_err,FeO_err,MnO_err,MgO_err,CaO_err,Na2O_err,K2O_err,P2O5_err,NiO_err,SO2_err,F_err,Cl_err,SiO2_dl,TiO2_dl,Al203_dl,Cr2O3_dl,V2O3_dl,Fe2O3_dl,FeO_dl,MnO_dl,MgO_dl,CaO_dl,Na2O_dl,K2O_dl,P2O5_dl,NiO_dl,SO2_dl,F_dl,Cl_dl,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol6,1,09/11/2013,0.0000,40.8438,0.0046,0.0730,0.0973,0.0000,0.0000,10.5844,0.1819,47.7914,0.3562,0.0000,0.0000,0.0098,0.3018,0.0000,0.0000,0.0000,100.2442,0.4419,0.0243,0.0133,0.0438,0.0000,0.0000,0.4153,0.0230,0.6818,0.0203,0.0000,0.0000,0.0000,0.0267,0.0000,0.0000,0.0000,244.0000,29.0000,139.0000,445.0000,0.0000,0.0000,879.0000,229.0000,360.0000,126.0000,0.0000,0.0000,0.0000,239.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol6,2,09/11/2013,0.0000,40.9032,0.0000,0.0718,0.0601,0.0000,0.0000,10.6162,0.1628,47.7896,0.3645,0.0000,0.0000,0.0000,0.3183,0.0000,0.0000,0.0000,100.2864,0.4431,0.0248,0.0132,0.0456,0.0000,0.0000,0.4216,0.0229,0.6830,0.0205,0.0000,0.0000,0.0000,0.0272,0.0000,0.0000,0.0000,253.0000,30.0000,138.0000,50.0000,0.0000,0.0000,857.0000,233.0000,363.0000,124.0000,0.0000,0.0000,0.0000,239.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol6,3,09/11/2013,0.0000,40.7915,0.0000,0.0616,0.0732,0.0000,0.0000,10.8016,0.1840,47.7996,0.3674,0.0000,0.0000,0.0000,0.3189,0.0000,0.0000,0.0000,100.3978,0.4419,0.0248,0.0128,0.0442,0.0000,0.0000,0.4271,0.0229,0.6831,0.0204,0.0000,0.0000,0.0000,0.0265,0.0000,0.0000,0.0000,252.0000,298.0000,138.0000,471.0000,0.0000,0.0000,896.0000,229.0000,365.0000,126.0000,0.0000,0.0000,0.0000,230.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol1,4,09/11/2013,0.0000,40.9039,0.0124,0.0522,0.0824,0.0000,0.0000,10.5646,0.1468,47.8019,0.3870,0.0000,0.0000,0.0096,0.2708,0.0000,0.0000,0.0000,100.2316,0.4430,0.0250,0.0127,0.0484,0.0000,0.0000,0.4197,0.0229,0.6830,0.0209,0.0000,0.0000,0.0000,0.0250,0.0000,0.0000,0.0000,253.0000,296.0000,138.0000,519.0000,0.0000,0.0000,853.0000,240.0000,361.0000,12.0000,0.0000,0.0000,0.0000,227.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol1,5,09/11/2013,0.0000,40.8371,0.0078,0.0655,0.0936,0.0000,0.0000,10.5217,0.1687,47.8675,0.3771,0.0000,0.0000,0.0061,0.2502,0.0000,0.0000,0.0000,100.1954,0.4419,0.0248,0.0132,0.0445,0.0000,0.0000,0.4141,0.0235,0.6829,0.0211,0.0000,0.0000,0.0000,0.0259,0.0000,0.0000,0.0000,246.0000,296.0000,139.0000,458.0000,0.0000,0.0000,879.0000,238.0000,354.0000,127.0000,0.0000,0.0000,0.0000,244.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol1,6,09/11/2013,0.0000,40.9509,0.0000,0.0484,0.1182,0.0000,0.0000,10.4159,0.1720,48.0075,0.3818,0.0000,0.0000,0.0007,0.2637,0.0000,0.0000,0.0000,100.3592,0.4431,0.0248,0.0129,0.0477,0.0000,0.0000,0.4104,0.0234,0.6848,0.0211,0.0000,0.0000,0.0000,0.0259,0.0000,0.0000,0.0000,244.0000,305.0000,142.0000,481.0000,0.0000,0.0000,82.0000,238.0000,355.0000,127.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol2,7,09/11/2013,0.0000,40.8401,0.0000,0.0799,0.1006,0.0000,0.0000,10.6279,0.1563,47.8134,0.3362,0.0000,0.0000,0.0125,0.3149,0.0000,0.0000,0.0000,100.2818,0.4419,0.0247,0.0133,0.0459,0.0000,0.0000,0.4164,0.0234,0.6821,0.0198,0.0000,0.0000,0.0000,0.0267,0.0000,0.0000,0.0000,246.0000,301.0000,13.0000,472.0000,0.0000,0.0000,848.0000,242.0000,356.0000,128.0000,0.0000,0.0000,0.0000,233.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol2,8,09/11/2013,0.0000,40.8753,0.0072,0.0732,0.0713,0.0000,0.0000,10.2403,0.1495,47.7837,0.3252,0.0000,0.0000,0.0093,0.3061,0.0000,0.0000,0.0000,99.8412,0.4423,0.0249,0.0132,0.0454,0.0000,0.0000,0.4055,0.0234,0.6817,0.0198,0.0000,0.0000,0.0000,0.0269,0.0000,0.0000,0.0000,245.0000,297.0000,137.0000,491.0000,0.0000,0.0000,851.0000,243.0000,361.0000,129.0000,0.0000,0.0000,0.0000,237.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol2,9,09/11/2013,0.0000,40.9656,0.0231,0.0854,0.0695,0.0000,0.0000,10.5769,0.1584,48.0200,0.3265,0.0000,0.0000,0.0199,0.3319,0.0000,0.0000,0.0000,100.5770,0.4437,0.0256,0.0134,0.0478,0.0000,0.0000,0.4209,0.0232,0.6861,0.0197,0.0000,0.0000,0.0000,0.0275,0.0000,0.0000,0.0000,248.0000,300.0000,137.0000,523.0000,0.0000,0.0000,891.0000,238.0000,370.0000,12.0000,0.0000,0.0000,0.0000,237.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_A,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(A)_ol3,10,09/11/2013,0.0000,40.6675,0.0000,0.0768,0.0959,0.0000,0.0000,12.8983,0.1713,46.5915,0.3592,0.0000,0.0000,0.0016,0.2511,0.0000,0.0000,0.0000,101.1133,0.4405,0.0252,0.0133,0.0459,0.0000,0.0000,0.4855,0.0246,0.6667,0.0207,0.0000,0.0000,0.0000,0.0259,0.0000,0.0000,0.0000,251.0000,305.0000,137.0000,473.0000,0.0000,0.0000,947.0000,254.0000,362.0000,129.0000,0.0000,0.0000,0.0000,243.0000,0.0000,0.0000,0.0000,
