Ref_number,Sample_number,Volcanic_zone,System,Eruption,Location,Phase,Phase_number,Point_number,Core_rim,Profile_distance,Pheno_xeno_nod_gm,Texture,Inclusion,Hostref,Machine,Lab,Analyst,Comment,Point,Date,Notes,SiO2,TiO2,Al203,Cr2O3,V2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,SO2,F,Cl,Total,SiO2_err,TiO2_err,Al2O3_err,Cr2O3_err,V2O3_err,Fe2O3_err,FeO_err,MnO_err,MgO_err,CaO_err,Na2O_err,K2O_err,P2O5_err,NiO_err,SO2_err,F_err,Cl_err,SiO2_dl,TiO2_dl,Al203_dl,Cr2O3_dl,V2O3_dl,Fe2O3_dl,FeO_dl,MnO_dl,MgO_dl,CaO_dl,Na2O_dl,K2O_dl,P2O5_dl,NiO_dl,SO2_dl,F_dl,Cl_dl,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol1, 1,03/11/2013 22:42:07,0.0000,40.2401,0.0136,0.0629,0.0413,0.0000,0.0000,12.6939,0.1926,45.4944,0.3518,0.0000,0.0000,0.0000,0.2087,0.0000,0.0000,0.0000,99.2993,0.4631,0.0215,0.0038,0.0271,0.0000,0.0000,0.5773,0.0216,0.7169,0.0128,0.0000,0.0000,0.0000,0.0158,0.0000,0.0000,0.0000,243.0000,255.0000,40.0000,309.0000,0.0000,0.0000,939.0000,204.0000,432.0000,64.0000,0.0000,0.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol1, 2,03/11/2013 22:48:56,0.0000,40.2956,0.0040,0.0607,0.0607,0.0000,0.0000,12.8399,0.2008,45.5668,0.3569,0.0000,0.0000,0.0000,0.2298,0.0000,0.0000,0.0000,99.6151,0.4637,0.0214,0.0037,0.0265,0.0000,0.0000,0.5824,0.0210,0.7180,0.0128,0.0000,0.0000,0.0000,0.0160,0.0000,0.0000,0.0000,24.0000,256.0000,39.0000,29.0000,0.0000,0.0000,905.0000,193.0000,435.0000,63.0000,0.0000,0.0000,0.0000,141.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol1, 3,03/11/2013 22:55:39,0.0000,40.3677,0.0000,0.0666,0.0282,0.0000,0.0000,12.9211,0.1866,45.7711,0.3542,0.0000,0.0000,0.0000,0.2217,0.0000,0.0000,0.0000,99.9171,0.4645,0.0213,0.0039,0.0264,0.0000,0.0000,0.5853,0.0215,0.7211,0.0130,0.0000,0.0000,0.0000,0.0162,0.0000,0.0000,0.0000,24.0000,258.0000,41.0000,306.0000,0.0000,0.0000,899.0000,204.0000,43.0000,65.0000,0.0000,0.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol2, 4,03/11/2013 23:02:27,0.0000,40.8586,0.0081,0.0817,0.1047,0.0000,0.0000,9.4503,0.1523,48.1627,0.3511,0.0000,0.0000,0.0000,0.3238,0.0000,0.0000,0.0000,99.4933,0.4706,0.0218,0.0039,0.0290,0.0000,0.0000,0.4602,0.0195,0.7581,0.0127,0.0000,0.0000,0.0000,0.0185,0.0000,0.0000,0.0000,253.0000,260.0000,39.0000,303.0000,0.0000,0.0000,898.0000,192.0000,451.0000,62.0000,0.0000,0.0000,0.0000,141.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol2, 5,03/11/2013 23:09:16,0.0000,40.8550,0.0000,0.0802,0.1028,0.0000,0.0000,9.5906,0.1620,48.1390,0.3430,0.0000,0.0000,0.0000,0.3190,0.0000,0.0000,0.0000,99.5916,0.4705,0.0218,0.0040,0.0290,0.0000,0.0000,0.4652,0.0201,0.7577,0.0127,0.0000,0.0000,0.0000,0.0188,0.0000,0.0000,0.0000,249.0000,264.0000,40.0000,30.0000,0.0000,0.0000,889.0000,194.0000,45.0000,64.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol2, 6,03/11/2013 23:16:08,0.0000,40.8814,0.0000,0.0714,0.1104,0.0000,0.0000,9.7770,0.1456,48.0634,0.3530,0.0000,0.0000,0.0000,0.3182,0.0000,0.0000,0.0000,99.7204,0.4704,0.0216,0.0039,0.0285,0.0000,0.0000,0.4674,0.0203,0.7549,0.0129,0.0000,0.0000,0.0000,0.0188,0.0000,0.0000,0.0000,244.0000,262.0000,40.0000,297.0000,0.0000,0.0000,867.0000,204.0000,434.0000,64.0000,0.0000,0.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol3a, 7,03/11/2013 23:22:56,0.0000,40.8318,0.0010,0.0605,0.0854,0.0000,0.0000,10.2246,0.1559,47.5376,0.3556,0.0000,0.0000,0.0000,0.3077,0.0000,0.0000,0.0000,99.5600,0.4704,0.0223,0.0037,0.0286,0.0000,0.0000,0.4902,0.0198,0.7493,0.0127,0.0000,0.0000,0.0000,0.0181,0.0000,0.0000,0.0000,251.0000,26.0000,39.0000,306.0000,0.0000,0.0000,866.0000,195.0000,454.0000,61.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol3a, 8,03/11/2013 23:29:41,0.0000,40.6529,0.0071,0.0591,0.0774,0.0000,0.0000,10.4608,0.1641,47.4575,0.3571,0.0000,0.0000,0.0000,0.2962,0.0000,0.0000,0.0000,99.5321,0.4683,0.0219,0.0037,0.0282,0.0000,0.0000,0.4987,0.0200,0.7476,0.0128,0.0000,0.0000,0.0000,0.0178,0.0000,0.0000,0.0000,251.0000,261.0000,39.0000,305.0000,0.0000,0.0000,936.0000,194.0000,441.0000,63.0000,0.0000,0.0000,0.0000,141.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol3a, 9,03/11/2013 23:36:29,0.0000,40.6847,0.0000,0.0588,0.0732,0.0000,0.0000,10.3556,0.1522,47.4639,0.3577,0.0000,0.0000,0.0000,0.2989,0.0000,0.0000,0.0000,99.4450,0.4682,0.0212,0.0037,0.0267,0.0000,0.0000,0.4893,0.0200,0.7461,0.0128,0.0000,0.0000,0.0000,0.0179,0.0000,0.0000,0.0000,244.0000,261.0000,3.0000,288.0000,0.0000,0.0000,856.0000,198.0000,433.0000,62.0000,0.0000,0.0000,0.0000,142.0000,0.0000,0.0000,0.0000,
-1,MH2013_G_B,WVZ,Hengill_swarm,Midfell,Midfell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,MH2013_G(B)_ol4, 10,03/11/2013 23:43:13,0.0000,40.5142,0.0072,0.0670,0.0588,0.0000,0.0000,12.0861,0.1733,46.3593,0.3377,0.0000,0.0000,0.0000,0.2379,0.0000,0.0000,0.0000,99.8415,0.4662,0.0212,0.0038,0.0265,0.0000,0.0000,0.5548,0.0203,0.7298,0.0123,0.0000,0.0000,0.0000,0.0162,0.0000,0.0000,0.0000,242.0000,254.0000,39.0000,294.0000,0.0000,0.0000,933.0000,195.0000,430.0000,63.0000,0.0000,0.0000,0.0000,141.0000,0.0000,0.0000,0.0000,
