FileName :   MH2013_G(B)_points.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp2 PET,  Sp3 LLIF,  Sp5 LIF,  Sp4 TAP,  Sp2 PET,  Sp5 LIF,  Sp3 LLIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LLIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LLIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, Ti Ka, Cr Ka, Fe Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  4-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_1nov2013.qtiSet 
DataSet Comment :  MH2013_G(B)_ol1 
Comment :   
Analysis Date :  03/11/2013 22:42:07 
Project Name :  Lucy Tweed 
Sample Name :  1 November 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1306	2697	3	2074	2433	Inte	 
  Sp1(Si Ka)	1301	2683	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1298	891	3	890	2548	Inte	 
  Sp3(Cr Ka)	1819	362	3	560	816	Inte	 
  Sp5(Fe Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1306	2697	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1298	891	3	890	2548	Inte	 
  Sp5(Mn Ka)	1819	359	3	1007	399	Inte	 
  Sp3(Ni Ka)	1819	362	3	560	816	Inte 
Peak Position :   Sp4 38519 (-500, 500),  Sp1 27734 (-500, 300),  Sp2 31420 (-350, 250),  Sp3 56855 (-250, 300),  Sp5 48105 (-250, 300),  Sp4 32470 (-500, 500),  Sp2 38381 (-300, 250),  Sp5 52217 (200, 1.0221),  Sp3 41162 (-250, 300) 
Current Sample Position :   X = -11884 Y = -33625 Z = -116 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 Ti On Rutile 
 Cr On Cr 
 Fe On Fayalite 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg017.calDat 
 Si, Ca : Diopside_Si_Si_Ca003.calDat 
 Ti : Rutile_Ti236.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Fe : Fayalite_Fe_Fe002.calDat 
 Al : Cor_Al_Al018.calDat 
 Mn : Mn_Mn_Mn004.calDat 
 Ni : NiO_Ni_Ni002.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	Ti	Cr	Fe	Al	Ca	Mn	Ni	O	X	Y	Z	Comment	Point#	Date	
1 / 1 . 	0.7169	0.4631	0.0215	0.0271	0.5773	0.0038	0.0128	0.0216	0.0158		-11884.	-33625.	-116.	MH2013_G(B)_ol1	 1	03/11/2013 22:42:07	
2 / 1 . 	0.7180	0.4637	0.0214	0.0265	0.5824	0.0037	0.0128	0.0210	0.0160		-11870.	-33879.	-117.	MH2013_G(B)_ol1	 2	03/11/2013 22:48:56	
3 / 1 . 	0.7211	0.4645	0.0213	0.0264	0.5853	0.0039	0.0130	0.0215	0.0162		-12185.	-33843.	-117.	MH2013_G(B)_ol1	 3	03/11/2013 22:55:39	
4 / 1 . 	0.7581	0.4706	0.0218	0.0290	0.4602	0.0039	0.0127	0.0195	0.0185		-15092.	-35144.	-117.	MH2013_G(B)_ol2	 4	03/11/2013 23:02:27	
5 / 1 . 	0.7577	0.4705	0.0218	0.0290	0.4652	0.0040	0.0127	0.0201	0.0188		-14929.	-35366.	-122.	MH2013_G(B)_ol2	 5	03/11/2013 23:09:16	
6 / 1 . 	0.7549	0.4704	0.0216	0.0285	0.4674	0.0039	0.0129	0.0203	0.0188		-14907.	-34868.	-117.	MH2013_G(B)_ol2	 6	03/11/2013 23:16:08	
7 / 1 . 	0.7493	0.4704	0.0223	0.0286	0.4902	0.0037	0.0127	0.0198	0.0181		-17281.	-31905.	-93.	MH2013_G(B)_ol3a	 7	03/11/2013 23:22:56	
8 / 1 . 	0.7476	0.4683	0.0219	0.0282	0.4987	0.0037	0.0128	0.0200	0.0178		-17183.	-31873.	-93.	MH2013_G(B)_ol3a	 8	03/11/2013 23:29:41	
9 / 1 . 	0.7461	0.4682	0.0212	0.0267	0.4893	0.0037	0.0128	0.0200	0.0179		-17239.	-31998.	-93.	MH2013_G(B)_ol3a	 9	03/11/2013 23:36:29	
10 / 1 . 	0.7298	0.4662	0.0212	0.0265	0.5548	0.0038	0.0123	0.0203	0.0162		-14531.	-29552.	-87.	MH2013_G(B)_ol4	 10	03/11/2013 23:43:13	
11 / 1 . 	0.7329	0.4680	0.0221	0.0277	0.5555	0.0038	0.0125	0.0203	0.0163		-14401.	-29705.	-88.	MH2013_G(B)_ol4	 11	03/11/2013 23:49:56	
12 / 1 . 	0.7304	0.4683	0.0211	0.0267	0.5477	0.0039	0.0130	0.0209	0.0166		-14612.	-29850.	-87.	MH2013_G(B)_ol4	 12	03/11/2013 23:56:40	
13 / 1 . 	0.7282	0.4660	0.0210	0.0260	0.5569	0.0036	0.0127	0.0207	0.0163		-11436.	-28699.	-89.	MH2013_G(B)_ol5	 13	04/11/2013 00:03:26	
14 / 1 . 	0.7236	0.4654	0.0211	0.0261	0.5765	0.0037	0.0130	0.0216	0.0159		-11234.	-28817.	-88.	MH2013_G(B)_ol5	 14	04/11/2013 00:10:12	
15 / 1 . 	0.7249	0.4665	0.0217	0.0263	0.5668	0.0037	0.0125	0.0215	0.0161		-11149.	-29008.	-90.	MH2013_G(B)_ol5	 15	04/11/2013 00:16:58	
16 / 1 . 	0.7238	0.4656	0.0220	0.0280	0.5616	0.0037	0.0122	0.0207	0.0161		-7439.	-27090.	-84.	MH2013_G(B)_ol6	 16	04/11/2013 00:23:47	
17 / 1 . 	0.7216	0.4652	0.0214	0.0262	0.5566	0.0038	0.0126	0.0215	0.0165		-7197.	-26936.	-86.	MH2013_G(B)_ol6	 17	04/11/2013 00:30:30	
18 / 1 . 	0.7243	0.4662	0.0215	0.0268	0.5693	0.0038	0.0125	0.0213	0.0164		-7141.	-27039.	-85.	MH2013_G(B)_ol6	 18	04/11/2013 00:37:16	
