FileName	:			STAP01_13G(B)_ol7_profile.qtiDat																																																																					
Signal(s)	Used	:		Mg	Ka		Si	Ka		P		Ka		Fe	Ka		Ti	Ka		Cr	Ka		Al	Ka		Ca	Ka		Mn	Ka		Ni	Ka																																								
Spectromers	Conditions	:			Sp4	TAP			Sp1	LTAP			Sp3	LPET			Sp5	LIF			Sp2	PET			Sp5	LIF			Sp4	TAP			Sp3	LPET			Sp5	LIF			Sp5	LIF																															
Full	Spectromers	Conditions	:			Sp4	TAP(2d=	25.745	K=	0.00218)			Sp1	LTAP(2d=	25.745	K=	0.00218)			Sp3	LPET(2d=	8.75	K=	0.000144)			Sp5	LIF(2d=	4.0267	K=	0.000058)			Sp2	PET(2d=	8.75	K=	0.000144)			Sp5	LIF(2d=	4.0267	K=	0.000058)			Sp4	TAP(2d=	25.745	K=	0.00218)			Sp3	LPET(2d=	8.75	K=	0.000144)			Sp5	LIF(2d=	4.0267	K=	0.000058)			Sp5	LIF(2d=	4.0267	K=	0.000058)
Column	Conditions	:		Cond	1	:	15keV	20nA			Cond	2	:	15keV	60nA																																																										
		Cond	1	:	Mg	Ka		Si	Ka		P		Ka		Fe	Ka		Ti	Ka		Cr	Ka																																																			
		Cond	2	:	Al	Ka		Ca	Ka		Mn	Ka		Ni	Ka																																																										
Date	:		11-Nov-2013																																																																						
User	Name	:		sx																																																																					
Setup	Name	:		lucy_ol_8nov2013.qtiSet																																																																					
DataSet	Comment	:		STAP01_13G(B)_ol7_profile																																																																					
Comment	:																																																																								
Analysis	Date	:		10/11/2013	07:26:56																																																																				
Project	Name	:		Lucy	Tweed																																																																				
Sample	Name	:		8	Nov	2013																																																																			
Pha	Parameters	:																																																																							
			Bias	Gain	Dtime	Blin	Wind	Mode																																																																	
		Sp4(Mg	Ka)	1310	2759	3	2074	2433	Inte																																																																
		Sp1(Si	Ka)	1296	2612	3	2008	2194	Inte																																																																
		Sp3(P		Ka)	1827	815	3	560	791	Inte																																																															
		Sp5(Fe	Ka)	1820	361	3	1007	399	Inte																																																																
		Sp2(Ti	Ka)	1302	897	3	890	2548	Inte																																																																
		Sp5(Cr	Ka)	1819	359	3	1007	399	Inte																																																																
		Sp4(Al	Ka)	1310	2759	3	2074	2433	Inte																																																																
		Sp3(Ca	Ka)	1827	815	3	560	791	Inte																																																																
		Sp5(Mn	Ka)	1820	361	3	1007	399	Inte																																																																
		Sp5(Ni	Ka)	1820	361	3	1007	399	Inte																																																																
Peak	Position	:			Sp4	38514	(-500		500)			Sp1	27742	(-500		300)			Sp3	70305	(-700		600)			Sp5	48082	(-250		300)			Sp2	31427	(-350		250)			Sp5	56882	(-250		300)			Sp4	32471	(-500		500)			Sp3	38386	(-300		250)			Sp5	52202	(200		1.0221)			Sp5	41163	(-250		300)	
Current	Sample	Position	:			X	=	6966.857	Y	=	32634.86	Z	=	56																																																											
Standard	Name	:																																																																							
	Mg	On	Olivine	(St.	Johns)																																																																				
	Si		Ca	On	Diopside																																																																				
	P		On	Apatite																																																																					
	Fe	On	Fayalite																																																																						
	Ti	On	Rutile																																																																						
	Cr	On	Cr																																																																						
	Al	On	Cor																																																																						
	Mn	On	Mn																																																																						
	Ni	On	NiO																																																																						
Standard	composition	:																																																																							
	Olivine	(St.	Johns)	=	O		:	43.4%		Mg	:	29.7%		Si	:	19.1%		Mn	:	0.1%		Fe	:	7.4%		Ni	:	0.3%																																													
	Diopside	=	O		:	44.5%		Mg	:	11.2%		Si	:	25.9%		Ca	:	18.4%																																																							
	Apatite	=	O		:	38.1%		F		:	3.4%		P		:	18.4%		Cl	:	0.4%		Ca	:	39.7%																																																	
