Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment	Point	Date	Notes			SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6226	12189	-17417	0	0	0	39.5378	0	0	0	42.8371	0.0396	0	0.0042	0	0	0	16.4339	0	0	0	0.0369	0	0	0.4556	0	0	0	0.6794	0.0254	0	0.0221	0	0	0	0.722	0	0	0	0	0	247	0	0	0	442	288	0	265	0	0	0	1046	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.1206	12393	-17420	0	1	0	39.8186	0	0	0	42.7531	0.0056	0	0.0118	0	0	0	16.7566	0	0	0	0.0384	1	0	0.4588	0	0	0	0.6782	0.0256	0	0.0225	0	0	0	0.7338	0	0	0	1	0	246	0	0	0	444	306	0	267	0	0	0	998	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7272	12478	-17543	0	1	0	39.9173	0	0	0	43.7529	0.0142	0	0.0259	0	0	0	15.2456	0	0	0	0.0402	1	0	0.4599	0	0	0	0.6929	0.0262	0	0.0222	0	0	0	0.6772	0	0	0	1	0	245	0	0	0	435	309	0	259	0	0	0	945	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5401	15111	-16860	0	1	0	40.2931	0	0	0	45.3262	0.0189	0	0	0	0	0	13.1813	0	0	0	0.0454	1	0	0.4641	0	0	0	0.7161	0.0267	0	0.0219	0	0	0	0.5996	0	0	0	1	0	249	0	0	0	447	313	0	271	0	0	0	905	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7096	15256	-16859	0	1	0	40.351	0	0	0	45.3739	0.0272	0	0.0189	0	0	0	13.2151	0	0	0	0.045	1	0	0.4647	0	0	0	0.7166	0.0262	0	0.0223	0	0	0	0.6008	0	0	0	1	0	248	0	0	0	436	303	0	262	0	0	0	942	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.0544	15305	-17140	0	1	0	40.3697	0	0	0	45.7378	0.0371	0	0.0171	0	0	0	13.1355	0	0	0	0.0473	1	0	0.465	0	0	0	0.7224	0.0259	0	0.0222	0	0	0	0.5985	0	0	0	1	0	249	0	0	0	447	295	0	262	0	0	0	905	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.9623	18172	-20087	0	1	0	40.6143	0	0	0	46.2885	0.0483	0	0.0103	0	0	0	12.2371	0	0	0	0.0469	1	0	0.4678	0	0	0	0.7303	0.0273	0	0.0217	0	0	0	0.5642	0	0	0	1	0	249	0	0	0	446	30	0	258	0	0	0	894	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.9686	18234	-20322	0	1	0	40.5542	0	0	0	46.4233	0.0366	0	0	0	0	0	12.1955	0	0	0	0.038	1	0	0.467	0	0	0	0.732	0.0274	0	0.0213	0	0	0	0.5624	0	0	0	1	0	250	0	0	0	437	314	0	259	0	0	0	937	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8368	18416	-20174	0	1	0	40.5851	0	0	0	46.2858	0.0482	0	0.0175	0	0	0	12.1254	0	0	0	0.0461	1	0	0.4675	0	0	0	0.7304	0.0274	0	0.0223	0	0	0	0.5615	0	0	0	1	0	248	0	0	0	446	30	0	263	0	0	0	971	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8639	15120	-20592	0	1	0	40.4854	0	0	0	46.205	0.0406	0	0.0246	0	0	0	12.2951	0	0	0	0.0513	1	0	0.4663	0	0	0	0.7289	0.0278	0	0.0221	0	0	0	0.5663	0	0	0	1	0	248	0	0	0	443	317	0	259	0	0	0	920	0	0	0		
