FileName :   STAP01_13G(B)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  STAP01_13G(B)_ol10 
Comment :   
Analysis Date :  09/11/2013 13:53:17 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = 13489 Y = 27149 Z = 62 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	P	Fe	Ti	Cr	Al	Ca	Mn	Ni	O	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	26.7598	18.6269	0.0025	12.1029	0.0155	0.0032	0.0134	0.1772	0.1898	0.1639	42.5041	100.5592	7170.	34941.	59.	STAP01_13G(B)_ol1	0.	 1	09/11/2013 09:45:28	
2 / 1 . 	26.8000	18.6116	0.0093	12.2146	0.0000	0.0284	0.0189	0.1845	0.1858	0.1711	42.5633	100.7874	6858.	34941.	60.	STAP01_13G(B)_ol1	312.	 2	09/11/2013 09:53:59	
3 / 1 . 	26.6660	18.6431	0.0012	12.2562	0.0002	0.0150	0.0148	0.1774	0.1791	0.1589	42.4951	100.6070	6858.	34648.	58.	STAP01_13G(B)_ol1	428.01	 3	09/11/2013 10:02:36	
4 / 1 . 	27.4144	18.7695	0.0000	10.8829	0.0015	0.0464	0.0251	0.1919	0.1595	0.1978	42.7707	100.4598	18919.	33656.	89.	STAP01_13G(B)_ol2	11819.1	 4	09/11/2013 10:11:11	
5 / 1 . 	27.4361	18.7861	0.0000	10.8307	0.0207	0.0369	0.0308	0.1997	0.1443	0.2093	42.8037	100.4983	19014.	33508.	87.	STAP01_13G(B)_ol2	11930.41	 5	09/11/2013 10:19:41	
6 / 1 . 	27.3991	18.7833	0.0000	10.8720	0.0003	0.0345	0.0358	0.1910	0.1606	0.1903	42.7753	100.4421	19014.	33059.	86.	STAP01_13G(B)_ol2	11992.62	 6	09/11/2013 10:28:14	
7 / 1 . 	26.9675	18.7200	0.0054	11.9133	0.0113	0.0151	0.0134	0.1852	0.1874	0.1763	42.7048	100.8996	20841.	28867.	80.	STAP01_13G(B)_ol3	14959.62	 7	09/11/2013 10:36:47	
8 / 1 . 	26.9165	18.7363	0.0032	11.7465	0.0000	0.0000	0.0229	0.1991	0.1764	0.1667	42.6268	100.5944	20961.	28765.	76.	STAP01_13G(B)_ol3	15110.76	 8	09/11/2013 10:45:19	
9 / 1 . 	26.9251	18.6879	0.0040	11.9014	0.0000	0.0394	0.0164	0.1847	0.1760	0.1622	42.6340	100.7311	21195.	28765.	78.	STAP01_13G(B)_ol3	15324.62	 9	09/11/2013 10:53:50	
10 / 1 . 	27.7610	18.9171	0.0115	10.5429	0.0068	0.0305	0.0222	0.1678	0.1521	0.1890	43.0652	100.8660	17593.	28764.	73.	STAP01_13G(B)_ol4	12115.88	 10	09/11/2013 11:02:22	
11 / 1 . 	14.2874	22.3729	0.1020	8.6699	0.6385	0.0019	4.3736	4.0698	0.1522	0.0791	43.5203	98.2676	17530.	29175.	73.	STAP01_13G(B)_ol4	11856.5	 11	09/11/2013 11:10:57	
12 / 1 . 	27.8937	18.8759	0.0061	10.6295	0.0194	0.0247	0.0228	0.1703	0.1507	0.1792	43.1276	101.0999	17593.	29475.	75.	STAP01_13G(B)_ol4	11769.3	 12	09/11/2013 11:19:32	
13 / 1 . 	26.2178	18.5540	0.0057	12.9775	0.0098	0.0000	0.0126	0.1779	0.2042	0.1487	42.3125	100.6207	13546.	30228.	68.	STAP01_13G(B)_ol5	7928.8	 13	09/11/2013 11:28:06	
14 / 1 . 	26.2011	18.5397	0.0129	13.3713	0.0156	0.0043	0.0120	0.1635	0.2033	0.1450	42.4064	101.0751	13433.	30252.	68.	STAP01_13G(B)_ol5	7823.81	 14	09/11/2013 11:36:38	
15 / 1 . 	26.1946	18.5516	0.0053	12.9800	0.0000	0.0317	0.0230	0.1717	0.1933	0.1606	42.3098	100.6216	13446.	30449.	70.	STAP01_13G(B)_ol5	7717.93	 15	09/11/2013 11:45:13	
16 / 1 . 	27.0206	18.6777	0.0020	11.4619	0.0000	0.0034	0.0309	0.1923	0.1780	0.1753	42.5545	100.2966	9779.	31408.	62.	STAP01_13G(B)_ol6	4391.92	 16	09/11/2013 11:53:39	
17 / 1 . 	26.9883	18.7104	0.0059	11.5935	0.0015	0.0085	0.0172	0.1986	0.1752	0.1744	42.6116	100.4850	9782.	31617.	62.	STAP01_13G(B)_ol6	4227.47	 17	09/11/2013 12:02:12	
18 / 1 . 	26.9873	18.7626	0.0004	11.2952	0.0030	0.0408	0.0248	0.1934	0.1817	0.1851	42.6034	100.2777	9782.	31053.	62.	STAP01_13G(B)_ol6	4683.92	 18	09/11/2013 12:10:47	
19 / 1 . 	26.4659	18.6642	0.0067	12.2283	0.0111	0.0346	0.0211	0.2033	0.1953	0.1406	42.4185	100.3896	6351.	32178.	53.	STAP01_13G(B)_ol7	2881.83	 19	09/11/2013 12:19:22	
