Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment		Point	Date	Notes		SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol1		1	09/11/2013	09:45:28	0	39.8499	0.0259	0.0253	0.0047	0	0	15.5703	0.245	44.3757	0.2479	0	0	0.0058	0.2086	0	0	0	100.5592	0.4319	0.0263	0.0123	0.0422	0	0	0.5587	0.0248	0.6368	0.0171	0	0	0	0.024	0	0	0	252	308	142	507	0	0	918	238	36	126	0	0	0	236	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol1		2	09/11/2013	09:53:59	0	39.8172	0	0.0357	0.0416	0	0	15.714	0.2399	44.4424	0.2582	0	0	0.0212	0.2177	0	0	0	100.7877	0.4315	0.0255	0.0127	0.0402	0	0	0.5627	0.0256	0.6377	0.0177	0	0	0	0.025	0	0	0	249	308	14	449	0	0	945	246	367	126	0	0	0	243	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol1		3	09/11/2013	10:02:36	0	39.8845	0.0003	0.0281	0.0219	0	0	15.7676	0.2313	44.2201	0.2482	0	0	0.0028	0.2022	0	0	0	100.607	0.4322	0.026	0.0124	0.0433	0	0	0.5643	0.0258	0.6346	0.0174	0	0	0	0.0244	0	0	0	247	31	141	506	0	0	950	255	358	129	0	0	0	242	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol2		4	09/11/2013	10:11:11	0	40.155	0.0025	0.0475	0.0679	0	0	14.0008	0.2059	45.4612	0.2685	0	0	0	0.2517	0	0	0	100.4611	0.4351	0.0253	0.0125	0.0454	0	0	0.5154	0.0241	0.6514	0.0173	0	0	0	0.0248	0	0	0	249	30	137	492	0	0	925	240	357	120	0	0	0	232	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol2		5	09/11/2013	10:19:41	0	40.1906	0.0345	0.0581	0.0539	0	0	13.9337	0.1864	45.4973	0.2794	0	0	0	0.2664	0	0	0	100.5001	0.4355	0.0253	0.0127	0.0443	0	0	0.5148	0.0247	0.6519	0.0181	0	0	0	0.0256	0	0	0	248	292	137	491	0	0	998	252	361	12	0	0	0	23	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol2		6	09/11/2013	10:28:14	0	40.1845	0.0004	0.0676	0.0504	0	0	13.9867	0.2073	45.4359	0.2673	0	0	0	0.2422	0	0	0	100.4424	0.4354	0.026	0.0128	0.0448	0	0	0.5155	0.0242	0.6511	0.0175	0	0	0	0.0244	0	0	0	248	312	13	500	0	0	930	240	362	125	0	0	0	230	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol3		7	09/11/2013	10:36:47	0	40.0491	0.0189	0.0253	0.022	0	0	15.3264	0.2419	44.7201	0.2592	0	0	0.0124	0.2244	0	0	0	100.8996	0.434	0.0261	0.0123	0.0422	0	0	0.5528	0.0247	0.6415	0.0172	0	0	0	0.0242	0	0	0	249	308	141	492	0	0	983	23	368	122	0	0	0	233	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol3		8	09/11/2013	10:45:19	0	40.084	0	0.0433	0	0	0	15.1118	0.2278	44.6356	0.2786	0	0	0.0074	0.2122	0	0	0	100.6005	0.4343	0.0259	0.0122	0.043	0	0	0.5464	0.0249	0.6402	0.0181	0	0	0	0.0246	0	0	0	250	315	134	52	0	0	956	242	364	125	0	0	0	241	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol3		9	09/11/2013	10:53:50	0	39.9804	0	0.0311	0.0576	0	0	15.3112	0.2272	44.6499	0.2584	0	0	0.0091	0.2064	0	0	0	100.7311	0.4333	0.0259	0.0122	0.045	0	0	0.5525	0.0243	0.6405	0.0174	0	0	0	0.0239	0	0	0	250	312	13	497	0	0	99	236	352	127	0	0	0	236	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol4		10	09/11/2013	11:02:22	0	40.4707	0.0114	0.042	0.0446	0	0	13.5634	0.1964	46.036	0.2348	0	0	0.0263	0.2404	0	0	0	100.866	0.4384	0.0258	0.0126	0.0461	0	0	0.5036	0.0244	0.6592	0.017	0	0	0	0.0253	0	0	0	250	306	139	522	0	0	920	243	361	126	0	0	0	239	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol4		11	09/11/2013	11:10:57	0	47.8641	1.065	8.264	0.0028	0	0	11.1537	0.1965	23.6928	5.6945	0	0	0.2337	0.1007	0	0	0	98.2676	0.5163	0.052	0.1233	0.0445	0	0	0.4363	0.0242	0.3517	0.174	0	0	0	0.0223	0	0	0	263	309	166	537	0	0	874	241	274	192	0	0	0	244	0	0	0
