FileName :   STAP01_13G(B)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  STAP01_13G(B)_ol10 
Comment :   
Analysis Date :  09/11/2013 13:53:17 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = 13489 Y = 27149 Z = 62 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	MgO	SiO2	P2O5	FeO	TiO2	Cr2O3	Al2O3	CaO	MnO	NiO	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	44.3757	39.8499	0.0058	15.5703	0.0259	0.0047	0.0253	0.2479	0.2450	0.2086	100.5592	7170.	34941.	59.	STAP01_13G(B)_ol1	0.	 1	09/11/2013 09:45:28	
2 / 1 . 	44.4424	39.8172	0.0212	15.7140	0.0000	0.0416	0.0357	0.2582	0.2399	0.2177	100.7877	6858.	34941.	60.	STAP01_13G(B)_ol1	312.	 2	09/11/2013 09:53:59	
3 / 1 . 	44.2201	39.8845	0.0028	15.7676	0.0003	0.0219	0.0281	0.2482	0.2313	0.2022	100.6070	6858.	34648.	58.	STAP01_13G(B)_ol1	428.01	 3	09/11/2013 10:02:36	
4 / 1 . 	45.4612	40.1550	0.0000	14.0008	0.0025	0.0679	0.0475	0.2685	0.2059	0.2517	100.4611	18919.	33656.	89.	STAP01_13G(B)_ol2	11819.1	 4	09/11/2013 10:11:11	
5 / 1 . 	45.4973	40.1906	0.0000	13.9337	0.0345	0.0539	0.0581	0.2794	0.1864	0.2664	100.5001	19014.	33508.	87.	STAP01_13G(B)_ol2	11930.41	 5	09/11/2013 10:19:41	
6 / 1 . 	45.4359	40.1845	0.0000	13.9867	0.0004	0.0504	0.0676	0.2673	0.2073	0.2422	100.4424	19014.	33059.	86.	STAP01_13G(B)_ol2	11992.62	 6	09/11/2013 10:28:14	
7 / 1 . 	44.7201	40.0491	0.0124	15.3264	0.0189	0.0220	0.0253	0.2592	0.2419	0.2244	100.8996	20841.	28867.	80.	STAP01_13G(B)_ol3	14959.62	 7	09/11/2013 10:36:47	
8 / 1 . 	44.6356	40.0840	0.0074	15.1118	0.0000	0.0000	0.0433	0.2786	0.2278	0.2122	100.6005	20961.	28765.	76.	STAP01_13G(B)_ol3	15110.76	 8	09/11/2013 10:45:19	
9 / 1 . 	44.6499	39.9804	0.0091	15.3112	0.0000	0.0576	0.0311	0.2584	0.2272	0.2064	100.7311	21195.	28765.	78.	STAP01_13G(B)_ol3	15324.62	 9	09/11/2013 10:53:50	
10 / 1 . 	46.0360	40.4707	0.0263	13.5634	0.0114	0.0446	0.0420	0.2348	0.1964	0.2404	100.8660	17593.	28764.	73.	STAP01_13G(B)_ol4	12115.88	 10	09/11/2013 11:02:22	
11 / 1 . 	23.6928	47.8641	0.2337	11.1537	1.0650	0.0028	8.2640	5.6945	0.1965	0.1007	98.2676	17530.	29175.	73.	STAP01_13G(B)_ol4	11856.5	 11	09/11/2013 11:10:57	
12 / 1 . 	46.2561	40.3827	0.0140	13.6748	0.0324	0.0360	0.0430	0.2383	0.1946	0.2280	101.0999	17593.	29475.	75.	STAP01_13G(B)_ol4	11769.3	 12	09/11/2013 11:19:32	
13 / 1 . 	43.4769	39.6939	0.0130	16.6955	0.0163	0.0000	0.0238	0.2489	0.2637	0.1892	100.6213	13546.	30228.	68.	STAP01_13G(B)_ol5	7928.8	 13	09/11/2013 11:28:06	
14 / 1 . 	43.4492	39.6634	0.0297	17.2021	0.0261	0.0063	0.0227	0.2288	0.2625	0.1845	101.0751	13433.	30252.	68.	STAP01_13G(B)_ol5	7823.81	 14	09/11/2013 11:36:38	
15 / 1 . 	43.4384	39.6889	0.0122	16.6987	0.0000	0.0464	0.0434	0.2403	0.2495	0.2044	100.6222	13446.	30449.	70.	STAP01_13G(B)_ol5	7717.93	 15	09/11/2013 11:45:13	
16 / 1 . 	44.8082	39.9586	0.0046	14.7457	0.0000	0.0049	0.0585	0.2691	0.2298	0.2231	100.3024	9779.	31408.	62.	STAP01_13G(B)_ol6	4391.92	 16	09/11/2013 11:53:39	
17 / 1 . 	44.7546	40.0286	0.0135	14.9150	0.0025	0.0124	0.0324	0.2779	0.2263	0.2219	100.4850	9782.	31617.	62.	STAP01_13G(B)_ol6	4227.47	 17	09/11/2013 12:02:12	
18 / 1 . 	44.7529	40.1402	0.0010	14.5312	0.0050	0.0596	0.0469	0.2705	0.2347	0.2356	100.2777	9782.	31053.	62.	STAP01_13G(B)_ol6	4683.92	 18	09/11/2013 12:10:47	
