FileName :   STAP01_13G(B)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  STAP01_13G(B)_ol10 
Comment :   
Analysis Date :  09/11/2013 13:53:17 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = 13489 Y = 27149 Z = 62 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	Mg	Si	P	Fe	Ti	Cr	Al	Ca	Mn	Ni	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.6368	0.4319	0.0101	0.5587	0.0263	0.0422	0.0123	0.0171	0.0248	0.0240		7170.	34941.	59.	STAP01_13G(B)_ol1	0.	 1	09/11/2013 09:45:28	
2 / 1 . 	0.6377	0.4315	0.0099	0.5627	0.0255	0.0402	0.0127	0.0177	0.0256	0.0250		6858.	34941.	60.	STAP01_13G(B)_ol1	312.	 2	09/11/2013 09:53:59	
3 / 1 . 	0.6346	0.4322	0.0101	0.5643	0.0260	0.0433	0.0124	0.0174	0.0258	0.0244		6858.	34648.	58.	STAP01_13G(B)_ol1	428.01	 3	09/11/2013 10:02:36	
4 / 1 . 	0.6514	0.4351	0.0099	0.5154	0.0253	0.0454	0.0125	0.0173	0.0241	0.0248		18919.	33656.	89.	STAP01_13G(B)_ol2	11819.1	 4	09/11/2013 10:11:11	
5 / 1 . 	0.6519	0.4355	0.0100	0.5148	0.0253	0.0443	0.0127	0.0181	0.0247	0.0256		19014.	33508.	87.	STAP01_13G(B)_ol2	11930.41	 5	09/11/2013 10:19:41	
6 / 1 . 	0.6511	0.4354	0.0103	0.5155	0.0260	0.0448	0.0128	0.0175	0.0242	0.0244		19014.	33059.	86.	STAP01_13G(B)_ol2	11992.62	 6	09/11/2013 10:28:14	
7 / 1 . 	0.6415	0.4340	0.0102	0.5528	0.0261	0.0422	0.0123	0.0172	0.0247	0.0242		20841.	28867.	80.	STAP01_13G(B)_ol3	14959.62	 7	09/11/2013 10:36:47	
8 / 1 . 	0.6402	0.4343	0.0100	0.5464	0.0259	0.0430	0.0122	0.0181	0.0249	0.0246		20961.	28765.	76.	STAP01_13G(B)_ol3	15110.76	 8	09/11/2013 10:45:19	
9 / 1 . 	0.6405	0.4333	0.0103	0.5525	0.0259	0.0450	0.0122	0.0174	0.0243	0.0239		21195.	28765.	78.	STAP01_13G(B)_ol3	15324.62	 9	09/11/2013 10:53:50	
10 / 1 . 	0.6592	0.4384	0.0109	0.5036	0.0258	0.0461	0.0126	0.0170	0.0244	0.0253		17593.	28764.	73.	STAP01_13G(B)_ol4	12115.88	 10	09/11/2013 11:02:22	
11 / 1 . 	0.3517	0.5163	0.0173	0.4363	0.0520	0.0445	0.1233	0.1740	0.0242	0.0223		17530.	29175.	73.	STAP01_13G(B)_ol4	11856.5	 11	09/11/2013 11:10:57	
12 / 1 . 	0.6623	0.4375	0.0107	0.5068	0.0248	0.0452	0.0128	0.0170	0.0243	0.0253		17593.	29475.	75.	STAP01_13G(B)_ol4	11769.3	 12	09/11/2013 11:19:32	
13 / 1 . 	0.6246	0.4302	0.0107	0.5905	0.0256	0.0418	0.0125	0.0173	0.0259	0.0240		13546.	30228.	68.	STAP01_13G(B)_ol5	7928.8	 13	09/11/2013 11:28:06	
14 / 1 . 	0.6242	0.4299	0.0110	0.6042	0.0264	0.0420	0.0128	0.0169	0.0263	0.0246		13433.	30252.	68.	STAP01_13G(B)_ol5	7823.81	 14	09/11/2013 11:36:38	
15 / 1 . 	0.6227	0.4296	0.0093	0.5838	0.0254	0.0442	0.0128	0.0170	0.0258	0.0244		13446.	30449.	70.	STAP01_13G(B)_ol5	7717.93	 15	09/11/2013 11:45:13	
16 / 1 . 	0.6425	0.4330	0.0105	0.5368	0.0250	0.0449	0.0131	0.0180	0.0253	0.0251		9779.	31408.	62.	STAP01_13G(B)_ol6	4391.92	 16	09/11/2013 11:53:39	
17 / 1 . 	0.6418	0.4337	0.0101	0.5409	0.0263	0.0444	0.0128	0.0183	0.0256	0.0251		9782.	31617.	62.	STAP01_13G(B)_ol6	4227.47	 17	09/11/2013 12:02:12	
18 / 1 . 	0.6418	0.4349	0.0103	0.5314	0.0253	0.0416	0.0126	0.0184	0.0251	0.0254		9782.	31053.	62.	STAP01_13G(B)_ol6	4683.92	 18	09/11/2013 12:10:47	
19 / 1 . 	0.6301	0.4327	0.0103	0.5639	0.0252	0.0429	0.0125	0.0180	0.0247	0.0233		6351.	32178.	53.	STAP01_13G(B)_ol7	2881.83	 19	09/11/2013 12:19:22	
